,GNL3 (26354)
ACH-000004,-0.5909384632079355
ACH-000005,-0.8812903132182193
ACH-000007,-0.833196877820764
ACH-000009,-0.6780635432691321
ACH-000011,-0.4221470300409288
ACH-000012,-0.7022147678969308
ACH-000013,-0.6548602131480841
ACH-000014,-0.7436858026625338
ACH-000015,-0.7962797758574559
ACH-000017,-0.5796128984837761
ACH-000018,-0.8246635212566285
ACH-000019,-0.8100839520885689
ACH-000021,-0.8411537203348631
ACH-000022,-0.4603619762433229
ACH-000025,-0.6263306091192713
ACH-000028,-0.732129279516962
ACH-000030,-0.8039307436956687
ACH-000035,-0.5923333980826807
ACH-000036,-0.6600541461412929
ACH-000037,-1.0005901016313763
ACH-000039,-0.40391337982752185
ACH-000040,-0.5404182322410086
ACH-000041,-0.32390505971130074
ACH-000042,-0.7132039468899112
ACH-000045,-0.5149578467006066
ACH-000047,-0.733215866720044
ACH-000052,-0.6590058942383897
ACH-000053,-0.7351759913129291
ACH-000054,-0.5440990952725223
ACH-000055,-0.3780568642911315
ACH-000060,-0.7384436115616914
ACH-000067,-0.7854958755957556
ACH-000070,-0.4507626114029285
ACH-000075,-0.9181600465366746
ACH-000078,-0.5823500546392659
ACH-000082,-0.5404308054754751
ACH-000085,-0.904174418771202
ACH-000086,-0.6577628378164649
ACH-000087,-0.5425962428586913
ACH-000092,-0.6978252957316459
ACH-000095,-0.5546128613464157
ACH-000097,-0.8048410133141982
ACH-000098,-0.6817060981622459
ACH-000099,-0.50261528965766
ACH-000108,-0.4893285180524432
ACH-000113,-0.5916750934424551
ACH-000116,-0.7562940444487366
ACH-000118,-0.5064312427671656
ACH-000120,-0.5574196051768825
ACH-000123,-0.7362499711168403
ACH-000127,-0.6731392471557416
ACH-000128,-0.6731128495191898
ACH-000132,-0.5720633111612251
ACH-000133,-0.7300212018072744
ACH-000137,-0.6017793503659526
ACH-000138,-0.6622259477528016
ACH-000142,-0.8230560935210229
ACH-000143,-0.6972657007104013
ACH-000146,-0.5463550681403053
ACH-000148,-0.5902110722004743
ACH-000150,-0.4528465896674872
ACH-000152,-0.5395510766116652
ACH-000153,-0.5309213195278066
ACH-000159,-0.5930953222207584
ACH-000160,-0.8831934713700191
ACH-000163,-0.5630015299716439
ACH-000167,-0.9904419241740876
ACH-000168,-0.667899516120289
ACH-000169,-0.7792482821973475
ACH-000178,-0.5294369857845181
ACH-000183,-0.7245307528783994
ACH-000188,-0.6331366909732593
ACH-000189,-0.45155255772193104
ACH-000190,-0.4859513752503253
ACH-000198,-0.7719546798969984
ACH-000203,-0.589470190665876
ACH-000204,-0.464152530006068
ACH-000206,-0.7460144960079428
ACH-000207,-0.5305742550347146
ACH-000208,-0.8833865353436232
ACH-000210,-0.6968461210747317
ACH-000211,-0.7293664268084131
ACH-000215,-0.6120189590127171
ACH-000221,-0.8280881626024632
ACH-000222,-0.518517015102724
ACH-000223,-0.4804419339520606
ACH-000226,-0.5482374068324677
ACH-000227,-0.2712419691952501
ACH-000228,-0.8715690786067389
ACH-000231,-0.5736156960745709
ACH-000232,-0.5970091021342604
ACH-000233,-0.6688274614852223
ACH-000234,-0.7607117590716596
ACH-000235,-0.6752752984051587
ACH-000237,-0.6272789948167138
ACH-000238,-0.7675678668308
ACH-000242,-0.3646246975156923
ACH-000243,-0.6271166606332944
ACH-000244,-0.623185404768423
ACH-000246,-0.7246576073748382
ACH-000248,-0.6006564340597544
ACH-000250,-0.6342787655212939
ACH-000251,-0.6968558919234578
ACH-000252,-0.5468058203775287
ACH-000253,-0.7748854044207479
ACH-000255,-0.7782774752602506
ACH-000256,-0.5209589734279524
ACH-000257,-0.6093121319393938
ACH-000258,-0.4951890659000349
ACH-000259,-0.3897592300550372
ACH-000260,-0.9120420302908656
ACH-000261,-0.7311881959780027
ACH-000262,-0.6904718368842007
ACH-000263,-0.5629145647203831
ACH-000264,-0.4783660202548557
ACH-000265,-0.5972476002297908
ACH-000266,-0.6761414416728239
ACH-000272,-0.7295203130854988
ACH-000274,-0.4968323701640381
ACH-000277,-0.6536393700608439
ACH-000278,-0.6659483422981162
ACH-000279,-0.4518434374937512
ACH-000280,-0.7421413138362059
ACH-000281,-0.6019084828871283
ACH-000288,-0.5953018452983213
ACH-000291,-0.8011152600336466
ACH-000293,-0.7146783199124773
ACH-000294,-0.5394019966812962
ACH-000295,-0.5987210819644888
ACH-000296,-0.8870677012505955
ACH-000302,-0.7142312785489112
ACH-000304,-0.6123018556152903
ACH-000307,-0.6088302937689831
ACH-000308,-0.9017701849987768
ACH-000310,-0.66610724042363
ACH-000311,-0.5747682585949814
