,UBXN2A (165324)
ACH-000004,0.1095264158489796
ACH-000005,-0.1936532518308529
ACH-000007,0.19737381770551496
ACH-000009,0.2158138770778458
ACH-000011,0.05273147374947183
ACH-000012,0.21676522183739266
ACH-000013,0.20160269749553747
ACH-000014,0.25699341470459763
ACH-000015,0.1578391352260124
ACH-000017,0.20023988591948585
ACH-000018,0.20589407941999796
ACH-000019,0.3752671914339821
ACH-000021,0.18854624712916832
ACH-000022,0.17464283532658792
ACH-000025,0.08508394978614904
ACH-000028,0.3291251454531925
ACH-000030,0.21777901917870174
ACH-000035,0.25364120172967186
ACH-000036,0.188529276195898
ACH-000037,0.3705603557439918
ACH-000039,0.2148731619580559
ACH-000040,0.10259421035004017
ACH-000041,0.2632357713884992
ACH-000042,0.17929721830251782
ACH-000045,0.15225851467290988
ACH-000047,0.1375178764961916
ACH-000052,0.2614514620681354
ACH-000053,0.16788011700283012
ACH-000054,0.2425074525898454
ACH-000055,-0.008950965427180024
ACH-000060,0.2223484064198366
ACH-000067,0.3232139899953761
ACH-000070,0.16337724334591194
ACH-000075,0.15079921682938596
ACH-000078,0.3102650730088761
ACH-000082,0.15742860035161207
ACH-000085,0.39717895863793307
ACH-000086,0.1174261143285982
ACH-000087,0.17247635408373646
ACH-000092,0.16894286533522335
ACH-000095,0.12716550477637908
ACH-000097,0.2534149548733919
ACH-000098,0.0811494311583372
ACH-000099,0.2736379096411871
ACH-000108,0.042112811623105983
ACH-000113,0.23766480616273744
ACH-000116,0.1273536392086333
ACH-000118,0.19344428976791234
ACH-000120,0.20144612423660072
ACH-000123,0.20801811576015275
ACH-000127,0.20685114000320207
ACH-000128,0.2267633914130852
ACH-000132,0.28161045702400955
ACH-000133,0.016609294725107332
ACH-000137,0.20280172773726
ACH-000138,0.1754511598009567
ACH-000142,0.3657635621983865
ACH-000143,0.3337577911033013
ACH-000146,0.23755959144632854
ACH-000148,0.25644907411257184
ACH-000150,0.2200186615327484
ACH-000152,0.1272297184824581
ACH-000153,0.3719859410910853
ACH-000159,0.16442934844138135
ACH-000160,0.11267756842655327
ACH-000163,0.3140321989448698
ACH-000167,-0.2401183653069392
ACH-000168,0.35213793371172697
ACH-000169,0.2173522570349233
ACH-000178,0.13573050601346484
ACH-000183,0.22906838906234206
ACH-000188,0.03621722391948548
ACH-000189,0.3961756714258114
ACH-000190,-0.0006087447645178436
ACH-000198,0.18941456262092324
ACH-000203,0.22285071751690125
ACH-000204,0.07393241281049481
ACH-000206,0.33090359462060703
ACH-000207,0.21803209934359305
ACH-000208,0.2384233694264174
ACH-000210,-0.007419045446379321
ACH-000211,0.19847773101820826
ACH-000215,0.2348284684443689
ACH-000221,0.2272639064089037
ACH-000222,0.10415573487129501
ACH-000223,0.18065991555679456
ACH-000226,0.2722961857818729
ACH-000227,0.17463711187834685
ACH-000228,0.15799590341104305
ACH-000231,0.2561414091125124
ACH-000232,0.2598265143814323
