,RET (5979)
ACH-000004,0.039067092643231965
ACH-000005,0.08758530177958967
ACH-000007,-0.014677897026949353
ACH-000009,-0.13835003806522758
ACH-000011,-0.12341650084160477
ACH-000012,-0.0235133505877828
ACH-000013,-0.07931823951386806
ACH-000014,-0.015567841070051387
ACH-000015,-0.15671044411375915
ACH-000017,-0.08918052509155804
ACH-000018,-0.0989063636817112
ACH-000019,-0.4140135964681278
ACH-000021,-0.04785914782908924
ACH-000022,-0.13855960870703535
ACH-000025,-0.2515655274114102
ACH-000028,-0.08812020209850055
ACH-000030,-0.3253198495410991
ACH-000035,-0.12252219679485962
ACH-000036,-0.08832820632558944
ACH-000037,-0.15718011348109967
ACH-000039,-0.14049022244777734
ACH-000040,-0.11286725205801786
ACH-000041,-0.037990290173491696
ACH-000042,-0.15861024565328774
ACH-000045,-0.040501585901648575
ACH-000047,-0.09729830530106592
ACH-000052,-0.0865141241022597
ACH-000053,-0.1447137486807249
ACH-000054,-0.07344219774544301
ACH-000055,-0.21890636490571533
ACH-000060,-0.18005097847752513
ACH-000067,-0.16692200094926393
ACH-000070,-0.09776029315272694
ACH-000075,0.014284068164517954
ACH-000078,-0.06449791196746471
ACH-000082,-0.11644810935197092
ACH-000085,-0.0475630246339068
ACH-000086,-0.26108755013724105
ACH-000087,0.006398489233763813
ACH-000092,-0.26140337979460776
ACH-000095,-0.04150610816573168
ACH-000097,-0.08206285044342211
ACH-000098,-0.14581710949850835
ACH-000099,-0.14785965133829085
ACH-000108,-0.17479628924159682
ACH-000113,-0.07821522651930912
ACH-000116,-0.018854934348311557
ACH-000118,-0.16192435415693365
ACH-000120,0.0032417253007735905
ACH-000123,-0.12914482135143646
ACH-000127,-0.2146928015797819
ACH-000128,-0.15818725419719296
ACH-000132,-0.165183033645799
ACH-000133,-0.18291200477126876
ACH-000137,-0.05147988130258701
ACH-000138,0.020410820676847883
ACH-000142,0.04146787128449109
ACH-000143,-0.14401845415332698
ACH-000146,-0.13777754647829016
ACH-000148,-0.08290256370651415
ACH-000150,0.12123087868996915
ACH-000152,-0.10065948537287744
ACH-000153,-0.1116532538582588
ACH-000159,-0.09427938469150056
ACH-000160,-0.14620569608356804
ACH-000163,-0.1358128597825679
ACH-000167,-0.1872772377737328
ACH-000168,0.02697435644990526
ACH-000169,-0.08964165417108425
ACH-000178,-0.026871378369063382
ACH-000183,-0.22300762608247665
ACH-000188,-0.15239827401839745
ACH-000189,0.07285028030165855
ACH-000190,-0.03190618459253753
ACH-000198,-0.12096989844705995
ACH-000203,-0.5104235507771945
ACH-000204,0.19677386099616415
ACH-000206,-0.20817659504238545
ACH-000207,-0.3085958103655435
ACH-000208,0.041443209010213734
ACH-000210,0.1138605536449626
ACH-000211,-0.21958395256725255
ACH-000215,-0.1139535473334865
ACH-000221,-0.2027627096236891
ACH-000222,-0.12160252914450505
ACH-000223,-0.1648150670118271
ACH-000226,-0.3034693310093082
ACH-000227,-0.061510527167230676
ACH-000228,-0.2537489988056615
ACH-000231,-0.1156248771310175
ACH-000232,-0.14885616096758453
ACH-000233,-0.09352430459173508
ACH-000234,-0.006851362494621462
ACH-000235,-0.13310302261287107
ACH-000237,-0.17358047004045551
ACH-000238,-0.06410830496044233
ACH-000242,-0.1328611436889208
ACH-000243,-0.17230886474220627
ACH-000244,0.20173319600809436
ACH-000246,0.059150434953755486
ACH-000248,0.01057324487409902
ACH-000250,-0.2386924973982545
ACH-000251,-0.20919358131689095
ACH-000252,-0.09880744811559483
ACH-000253,-0.04921979306472588
ACH-000255,-0.4794588268045967
ACH-000256,0.03236379264150638
ACH-000257,-0.0210854815771801
ACH-000258,-0.3398664610419864
ACH-000259,-0.10130925008779446
ACH-000260,-0.12348334908156215
ACH-000261,-0.22916931545161795
ACH-000262,-0.05059809251570835
ACH-000263,-0.2938770907654928
ACH-000264,-0.0882381520448064
ACH-000265,-0.15131329191976353
ACH-000266,-0.10523773447823057
ACH-000272,-0.171171335690028
ACH-000274,-0.1295340666434024
ACH-000277,0.07624589332461403
ACH-000278,-0.03398338955167917
ACH-000279,-0.2250183896979137
ACH-000280,0.011983059300249505
ACH-000281,0.021553525485116982
ACH-000288,-0.1293301357050413
ACH-000291,-0.03706553897473791
ACH-000293,-0.09482680875359943
ACH-000294,0.036994720207248886
ACH-000295,-0.15156491489339774
ACH-000296,0.10839049758488306
ACH-000302,-0.2134392580212545
ACH-000304,0.1640871677427529
ACH-000307,-0.05272623176288587
ACH-000308,-0.028656200380838256
ACH-000310,-0.04370367275872234
ACH-000311,-0.1248658872282596
ACH-000312,-0.09776059115358317
ACH-000315,-0.20478364714835012
ACH-000316,-0.15738865278956185
ACH-000317,0.06455549651549937
ACH-000318,-0.12946724479598473
ACH-000319,-0.09861162182712246
ACH-000320,-0.2123965106689387
ACH-000322,-0.09508446304107793
ACH-000323,-0.2483858628101252
ACH-000324,-0.11512713801743978
ACH-000329,-0.08328095097671752
ACH-000330,-0.17179438456515414
ACH-000331,-0.2374563021849689
