,CAPN1 (823)
ACH-000004,-0.16059650678346368
ACH-000005,0.08139476099525418
ACH-000007,0.12106429294487706
ACH-000009,-0.12727915045436486
ACH-000011,0.009085804742929806
ACH-000012,-0.359305249961239
ACH-000013,-0.2226293142525711
ACH-000014,0.0525576594930082
ACH-000015,-0.06221202219620142
ACH-000017,-0.18614231863469427
ACH-000018,-0.1776558815618842
ACH-000019,0.08944781387530287
ACH-000021,-0.19788322030459315
ACH-000022,-0.07129672374014187
ACH-000025,-0.10707643437040662
ACH-000028,-0.22510245169197776
ACH-000030,-0.15387059536008624
ACH-000035,-0.24829424834100666
ACH-000036,-0.13763786562399835
ACH-000037,-0.12203940471815572
ACH-000039,-0.304436349367506
ACH-000040,0.002047420261385507
ACH-000041,-0.08615287547590783
ACH-000042,-0.18026895499071036
ACH-000045,-0.16480503768283944
ACH-000047,-0.08476099164771557
ACH-000052,-0.14126673724826727
ACH-000053,-0.11052654875244858
ACH-000054,-0.059382109346922125
ACH-000055,-0.3745102414838605
ACH-000060,-0.24348839558551336
ACH-000067,0.12511530011675515
ACH-000070,-0.08100029821301279
ACH-000075,-0.12737705171201918
ACH-000078,-0.2703873097127646
ACH-000082,-0.1693877218167576
ACH-000085,-0.091570988490726
ACH-000086,-0.272545371418331
ACH-000087,-0.1344748088368715
ACH-000092,-0.11661330838431586
ACH-000095,-0.22605707694290125
ACH-000097,-0.09980719694842627
ACH-000098,-0.15764796359753327
ACH-000099,-0.12154349037253225
ACH-000108,-0.1008586482175452
ACH-000113,-0.06896099234284922
ACH-000116,-0.3337777509217129
ACH-000118,-0.3089153120572228
ACH-000120,-0.17203098061932068
ACH-000123,-0.3196421458259847
ACH-000127,-0.09627744918727553
ACH-000128,-0.19210343464688048
ACH-000132,-0.20784727900586356
ACH-000133,-0.03152158616826906
ACH-000137,0.04841329598148976
ACH-000138,-0.19199068152837226
ACH-000142,-0.1886669410524144
ACH-000143,-0.07011369989547749
ACH-000146,-0.07305688431673467
ACH-000148,-0.17712682199205254
ACH-000150,-0.36111406873499297
ACH-000152,-0.16216067577695215
ACH-000153,-0.19987428447481584
ACH-000159,-0.00021568724155950493
ACH-000160,-0.1626126033796451
ACH-000163,-0.28073120913887645
ACH-000167,-0.15410148325069192
ACH-000168,-0.18251001671684197
ACH-000169,-0.06298711062354725
ACH-000178,-0.15175898263384666
ACH-000183,-0.1101347823599332
ACH-000188,-0.3111698625521101
ACH-000189,-0.4472260609029753
ACH-000190,-0.15185609710662773
ACH-000198,-0.09218424816537488
ACH-000203,-0.3102340258163265
ACH-000204,-0.14386793766391176
ACH-000206,-0.08787113498764497
ACH-000207,-0.103210983649307
ACH-000208,0.1311227143895393
ACH-000210,0.10929057362342057
ACH-000211,-0.16266057148467078
ACH-000215,-0.06428840459704024
ACH-000221,-0.217955600185928
ACH-000222,-0.09140410896036487
ACH-000223,-0.019425149551515645
ACH-000226,-0.12568632741887256
ACH-000227,-0.03358569551547455
ACH-000228,-0.2958225271008784
ACH-000231,-0.1242990493284773
ACH-000232,-0.20537643532498445
ACH-000233,-0.1568531738673501
ACH-000234,-0.21133190513931324
ACH-000235,-0.08810033235915529
ACH-000237,-0.2289866121546229
ACH-000238,-0.11450741090846905
ACH-000242,-0.04426595596629171
ACH-000243,-0.14289214596577468
ACH-000244,-0.22463903580265587
ACH-000246,-0.2591568554540932
ACH-000248,-0.0815748391931069
ACH-000250,-0.3289583953449893
ACH-000251,-0.0045290681043070775
ACH-000252,-0.4000641509525568
ACH-000253,-0.08402321438236762
ACH-000255,-0.2381143333135848
ACH-000256,-0.3878975894467076
ACH-000257,-0.13906084301408994
ACH-000258,-0.1406559476255191
ACH-000259,-0.2472187161195661
ACH-000260,-0.2046612530323491
ACH-000261,-0.19434090007576935
ACH-000262,0.045063222677715
ACH-000263,0.09214086844639367
ACH-000264,-0.06588663350423901
ACH-000265,-0.07869962260633838
ACH-000266,-0.10745651216576
ACH-000272,0.018573798981885985
ACH-000274,-0.025565747783212703
ACH-000277,-0.07778859040962961
ACH-000278,-0.07749377823315531
ACH-000279,-0.08989540048371808
ACH-000280,-0.0852567668141276
ACH-000281,-0.08481340748311655
ACH-000288,-0.2433828464783339
ACH-000291,-0.12431309313032132
ACH-000293,-0.22109621159868134
ACH-000294,-0.2064909991044373
ACH-000295,-0.15895703718254708
ACH-000296,-0.3809861762513715
ACH-000302,-0.06430098490494464
ACH-000304,-0.16281398954588225
ACH-000307,-0.110222481838225
ACH-000308,-0.2315541068944516
ACH-000310,-0.0041285372644587655
ACH-000311,-0.22540039322361136
ACH-000312,-0.15926230511036216
ACH-000315,0.21464421796668612
