,TNKS1BP1 (85456)
ACH-000004,0.0025598918772740545
ACH-000005,-0.18713734079749625
ACH-000007,0.1157777286238796
ACH-000009,0.07247304750787792
ACH-000011,0.03596907832598142
ACH-000012,-0.11429128781501878
ACH-000013,0.05572108131765218
ACH-000014,0.13897441329328833
ACH-000015,0.06220083575841824
ACH-000017,-0.003073613162912957
ACH-000018,0.17023901439222225
ACH-000019,-0.1994460086886332
ACH-000021,-0.10932849673818132
ACH-000022,0.18081997295770116
ACH-000025,-0.1836058740866484
ACH-000028,-0.03076317586802053
ACH-000030,-0.06039298438309883
ACH-000035,0.11574183577683625
ACH-000036,-0.10443329172879856
ACH-000037,-0.13264634675146816
ACH-000039,-0.15552292956801267
ACH-000040,-0.09724422436820374
ACH-000041,-0.15086017066804772
ACH-000042,0.02392625754386337
ACH-000045,-0.10172663040858863
ACH-000047,0.017772581295625547
ACH-000052,-0.02240733894298902
ACH-000053,-0.13424664244682866
ACH-000054,-0.08033091133571106
ACH-000055,-0.06928557226139556
ACH-000060,-0.10310901523740132
ACH-000067,-0.0046236381168065785
ACH-000070,0.02721690849374778
ACH-000075,-0.17921951188963636
ACH-000078,-0.22026272783393055
ACH-000082,-0.19946664762241872
ACH-000085,0.09736721072506917
ACH-000086,-0.11482182713056613
ACH-000087,0.3202429062732871
ACH-000092,-0.2069083673320356
ACH-000095,-0.04823596966197854
ACH-000097,-0.041792382623757
ACH-000098,0.0032069183259268376
ACH-000099,-0.17470212179812153
ACH-000108,0.03844871472873992
ACH-000113,-0.2003137719673748
ACH-000116,-0.0672525548367975
ACH-000118,-0.08604417835394731
ACH-000120,-0.16038580571748942
ACH-000123,-0.036833386450573116
ACH-000127,-0.022760404114606617
ACH-000128,-0.022787487005945392
ACH-000132,-0.08502867507185878
ACH-000133,0.0693763563738161
ACH-000137,0.01786330803608654
ACH-000138,-0.17557005499039252
ACH-000142,-0.09987609734210384
ACH-000143,0.11061913715770992
ACH-000146,-0.1808297896771309
ACH-000148,-0.09409901588145628
ACH-000150,-0.003920527339330286
ACH-000152,-0.08629880458114679
ACH-000153,-0.0980820844287117
ACH-000159,-0.025425272251554616
ACH-000160,-0.2150387052969112
ACH-000163,0.032836997303331686
ACH-000167,-0.15838948189914515
ACH-000168,-0.05956281025952907
ACH-000169,-0.1280363067785983
ACH-000178,-0.09571619671832828
ACH-000183,-0.0631046762174251
ACH-000188,-0.25664539339918035
ACH-000189,-0.2273875255500115
ACH-000190,0.019186078512737532
ACH-000198,-0.16850328400864875
ACH-000203,-0.04605973128172003
ACH-000204,-0.10851616715600784
ACH-000206,-0.08274016749755718
ACH-000207,-0.11018190781113033
ACH-000208,-0.11169441612690116
ACH-000210,-0.19582387037842786
ACH-000211,-0.12222679239266268
ACH-000215,-0.018353874908796343
ACH-000221,-0.04765322667296299
ACH-000222,0.054427286249145466
ACH-000223,-0.07233886992310692
ACH-000226,-0.2761833596611015
ACH-000227,-0.04711525363434025
ACH-000228,-0.0778291171311549
ACH-000231,-0.15826009792917722
ACH-000232,-0.05998847124150537
ACH-000233,-0.02687324742150995
ACH-000234,-0.09540938671877072
ACH-000235,-0.05591363684079341
ACH-000237,-0.0673766759801723
ACH-000238,-0.08903670396283987
ACH-000242,0.07036190793875269
ACH-000243,0.13380235592671288
ACH-000244,0.008635251306970352
ACH-000246,-0.12445622414762793
ACH-000248,-0.010743484868809041
ACH-000250,-0.03407256210058804
ACH-000251,-0.052512042163768737
ACH-000252,0.18981993065586372
ACH-000253,-0.026550637315253884
ACH-000255,-0.07429771836931162
ACH-000256,0.12625957490274514
ACH-000257,-0.011770246600616405
ACH-000258,-0.06223929575138752
ACH-000259,-0.06519565193642324
ACH-000260,-0.20006437895144552
ACH-000261,-0.22141389272656165
ACH-000262,-0.2841342962494529
ACH-000263,0.16926355909415391
ACH-000264,-0.09057970583451402
ACH-000265,-0.0006491554836569988
