,RMND5A (64795)
ACH-000004,-0.10273043830514264
ACH-000005,-0.08396663079164766
ACH-000007,-0.4221563157460338
ACH-000009,-0.16637598987647656
ACH-000011,-0.1923738358109184
ACH-000012,-0.4110776432440009
ACH-000013,-0.3789188329329996
ACH-000014,-0.3746347456834936
ACH-000015,-0.3585492326489496
ACH-000017,-0.1600315165859273
ACH-000018,-0.5460400438044204
ACH-000019,-0.20695612528795326
ACH-000021,-0.16739353308303062
ACH-000022,-0.1859848159581088
ACH-000025,-0.435546233830586
ACH-000028,-0.14129504294345505
ACH-000030,-0.4299190355945977
ACH-000035,-0.2176759880407165
ACH-000036,-0.28332978477972465
ACH-000037,-0.6690060033381167
ACH-000039,-0.2863228219806004
ACH-000040,-0.413790206520144
ACH-000041,-0.18844272999860434
ACH-000042,-0.1747098788619835
ACH-000045,-0.4965112328628477
ACH-000047,-0.51293128149596
ACH-000052,-0.5278492697600312
ACH-000053,0.04628406125356162
ACH-000054,-0.4952004812845635
ACH-000055,-0.30202858455681275
ACH-000060,-0.14761608217241093
ACH-000067,-0.1396046539398242
ACH-000070,-0.28108740984314
ACH-000075,-0.08019912757471219
ACH-000078,-0.4287473994217164
ACH-000082,-0.5401244054402847
ACH-000085,-0.2668947691655917
ACH-000086,-0.42356466392148506
ACH-000087,-0.12420944069521833
ACH-000092,-0.4066456524757445
ACH-000095,-0.07713446842904369
ACH-000097,-0.2711026025053665
ACH-000098,-0.31088983882921045
ACH-000099,-0.114754739726082
ACH-000108,-0.2661476446870297
ACH-000113,-0.5364903232114566
ACH-000116,-0.2637890262843171
ACH-000118,-0.5601176449556493
ACH-000120,-0.030896865253262483
ACH-000123,-0.25698493389947186
ACH-000127,-0.2515192263144679
ACH-000128,-0.1263756397552426
ACH-000132,-0.25215972872676257
ACH-000133,-0.6603791994248489
ACH-000137,-0.6003174985572496
ACH-000138,-0.1978168358534413
ACH-000142,-0.2962672881197229
ACH-000143,-0.2702984407774541
ACH-000146,-0.2719320987718237
ACH-000148,-0.2066742239388649
ACH-000150,-0.15230207613316704
