,SHE (126669)
ACH-000004,-0.20891923174329585
ACH-000005,-0.040751783098394334
ACH-000007,-0.2204277800174571
ACH-000009,-0.3402889722204306
ACH-000011,-0.3154659652437849
ACH-000012,-0.3828156748677225
ACH-000013,-0.17689629333126444
ACH-000014,-0.4504990527387685
ACH-000015,-0.11818831653232792
ACH-000017,-0.14797615215420235
ACH-000018,-0.4802893321385616
ACH-000019,-0.2322815899790888
ACH-000021,-0.32893534263253954
ACH-000022,-0.14477488459001175
ACH-000025,-0.2995159665034337
ACH-000028,-0.2108841975070096
ACH-000030,-0.1966825347484742
ACH-000035,-0.3311964660985135
ACH-000036,-0.18870315780056746
ACH-000037,-0.1851319518450905
ACH-000039,-0.2264202507013001
ACH-000040,-0.3091243028490593
ACH-000041,-0.15375633794772345
ACH-000042,-0.16548664638679736
ACH-000045,-0.17264590600544494
ACH-000047,-0.1226116247395742
ACH-000052,-0.3664808156251438
ACH-000053,-0.17189921979831582
ACH-000054,-0.027174036483182062
ACH-000055,-0.49073936458530604
ACH-000060,-0.2613672350701569
ACH-000067,-0.1109125419360079
ACH-000070,-0.2580360852746227
ACH-000075,-0.16643803190904818
ACH-000078,-0.29649152961245673
ACH-000082,-0.19995335072232773
ACH-000085,-0.4378690063304158
ACH-000086,-0.2922550561471902
ACH-000087,-0.17825892956669642
ACH-000092,-0.2499016295929501
ACH-000095,-0.2754390987642793
ACH-000097,-0.30088105388246505
ACH-000098,-0.3149934370619579
ACH-000099,-0.1651462076647191
ACH-000108,-0.2559559921894909
ACH-000113,-0.14788472548231205
ACH-000116,-0.19668767295229075
ACH-000118,-0.2343582653988486
ACH-000120,-0.13181628346198046
ACH-000123,-0.23225449085325034
ACH-000127,-0.18055852909128453
ACH-000128,-0.15333084664872124
ACH-000132,-0.20060778915666927
ACH-000133,-0.3569041230203753
ACH-000137,0.026395867674382463
ACH-000138,-0.11262227077854822
ACH-000142,-0.2523217214823681
ACH-000143,-0.16684287701002698
ACH-000146,-0.21244704676768006
ACH-000148,-0.2528389874078795
