,MAT2A (4144)
ACH-000004,-1.147887726172664
ACH-000005,-1.5718079264612577
ACH-000007,-0.7244158733613433
ACH-000009,-0.7426421466521179
ACH-000011,-0.7150572013932734
ACH-000012,-0.7216274122085099
ACH-000013,-0.3558349909269937
ACH-000014,-1.174797960603293
ACH-000015,-0.7318279502773808
ACH-000017,-0.9276324163080428
ACH-000018,-0.6555288208830202
ACH-000019,-1.1625831711523502
ACH-000021,-0.9089915042374802
ACH-000022,-0.9816930689481068
ACH-000025,-0.7894571531110202
ACH-000028,-0.8146690986153855
ACH-000030,-0.8672150825200551
ACH-000035,-0.9136737917880556
ACH-000036,-0.8778970240112866
ACH-000037,-0.5298665111143095
ACH-000039,-0.7043510905227849
ACH-000040,-0.5088533581232126
ACH-000041,-0.7246802449261721
ACH-000042,-0.7676322840787879
ACH-000045,-0.8798646429985947
ACH-000047,-0.9327277511728358
ACH-000052,-0.6686788199930379
ACH-000053,-0.9498606486982064
ACH-000054,-1.0943405989747956
ACH-000055,-1.0220138438616426
ACH-000060,-0.9094949941402728
ACH-000067,-0.8308471051018934
ACH-000070,-0.8698270253926138
ACH-000075,-0.5112927461108665
ACH-000078,-0.6929057503580665
ACH-000082,-0.37110060854789895
ACH-000085,-1.1385358461975152
ACH-000086,-0.4875233682672633
ACH-000087,-1.2029505430561431
ACH-000092,-1.020354532025778
ACH-000095,-0.6848342073199454
ACH-000097,-0.9712078106344808
ACH-000098,-0.2915430682280495
ACH-000099,-0.6783399742735303
ACH-000108,-0.948290278042318
ACH-000113,-1.0062127910983756
ACH-000116,-0.544494213360197
ACH-000118,-1.01285783700227
ACH-000120,-0.5137476910168743
ACH-000123,-0.7462905839758995
ACH-000127,-0.8328965816557735
ACH-000128,-0.7579879535961969
ACH-000132,-1.1324735007667184
ACH-000133,-0.4981988949743542
ACH-000137,-0.44651336577657935
ACH-000138,-0.7824176584284671
ACH-000142,-0.9729964640519044
ACH-000143,-0.9747032012497768
ACH-000146,-1.2356489458190854
ACH-000148,-0.4655472806200921
ACH-000150,-0.6963689284900372
ACH-000152,-1.0665799731551509
ACH-000153,-0.7125575801104778
ACH-000159,-1.1152827432027874
ACH-000160,-0.8108591064211353
ACH-000163,-0.3729921466745444
ACH-000167,-0.8941366127998498
ACH-000168,-1.053908777116303
ACH-000169,-0.8136076313271007
ACH-000178,-0.9440933179849186
ACH-000183,-1.155740501038782
ACH-000188,-0.8859215160947387
ACH-000189,-1.2518607750674091
ACH-000190,-0.8157265787583939
ACH-000198,-0.9840387150765992
ACH-000203,-0.8524228100905582
ACH-000204,-0.7702759408264407
ACH-000206,-1.32630394100212
ACH-000207,-1.1436520122591642
ACH-000208,-0.8134205161342349
ACH-000210,-1.0381181124578591
ACH-000211,-0.8481766982952741
ACH-000215,-0.5639912885428429
ACH-000221,-0.7174387285818923
ACH-000222,-0.9206057907172084
ACH-000223,-0.9299634989013524
ACH-000226,-0.9274259981506776
ACH-000227,-0.9362772479976758
ACH-000228,-0.9173275599309568
ACH-000231,-0.646467615821982
ACH-000232,-0.6850964042343738
ACH-000233,-1.0134954755256669
ACH-000234,-1.0377228741825162
ACH-000235,-0.7450986939062073
ACH-000237,-0.6050782806061615
ACH-000238,-0.5609750527912769
ACH-000242,-0.5543400609041649
ACH-000243,-0.8732071771029888
ACH-000244,-0.6600331117299912
ACH-000246,-0.7261378503984403
ACH-000248,-0.9551148319216975
ACH-000250,-0.7989529307066544
ACH-000251,-0.8879876450444126
ACH-000252,-0.9735972032562664
ACH-000253,-1.012002606387718
ACH-000255,-0.9492587299120312
ACH-000256,-0.6676939181138485
ACH-000257,-0.9561665010113772
ACH-000258,-0.9869346605768088
ACH-000259,-1.1361129864080974
ACH-000260,-0.4443403892946042
ACH-000261,-0.8007779010739801
ACH-000262,-0.8612256974238436
ACH-000263,-0.9398992696392534
ACH-000264,-0.8098055970520776
ACH-000265,-1.1020314002402174
ACH-000266,-1.057962150766797
ACH-000272,-0.90111446492973
ACH-000274,-0.7621794633157897
ACH-000277,-1.288977540869646
ACH-000278,-1.103624294455695
ACH-000279,-0.7347277711558828
ACH-000280,-0.8637191052682935
ACH-000281,-0.7631088197544107
ACH-000288,-0.9176731947551576
ACH-000291,-0.6114321096438108
ACH-000293,-0.917305186585982
ACH-000294,-0.5077548978670634
