,SFTPB (6439)
ACH-000004,-0.08785853715761541
ACH-000005,-0.3666329248139855
ACH-000007,-0.1433312963325852
ACH-000009,-0.11009432240071663
ACH-000011,-0.2272446464523337
ACH-000012,-0.3148787900030873
ACH-000013,-0.18265093786633674
ACH-000014,-0.13727576824396234
ACH-000015,-0.1930405987240612
ACH-000017,-0.2605544558655584
ACH-000018,-0.24851442073022165
ACH-000019,-0.08637655182254445
ACH-000021,-0.3551241114158797
ACH-000022,-0.2201658589469004
ACH-000025,-0.06175399695823591
ACH-000028,-0.3093940909704763
ACH-000030,-0.232261869638278
ACH-000035,-0.21001436364545747
ACH-000036,-0.13595501957766465
ACH-000037,-0.14420688841019258
ACH-000039,-0.2157232148764358
ACH-000040,-0.2493561923909515
ACH-000041,-0.21595624176931374
ACH-000042,-0.1832702240657252
ACH-000045,-0.15720440853983267
ACH-000047,-0.3867084279719745
ACH-000052,-0.2265916629918541
ACH-000053,-0.2683229613838589
ACH-000054,-0.146938827799222
ACH-000055,-0.25698564200859986
ACH-000060,-0.2230767606852982
ACH-000067,-0.13495411131190446
ACH-000070,-0.124949518187581
ACH-000075,-0.3173517235292831
ACH-000078,-0.3133545438070531
ACH-000082,-0.08087570117268039
ACH-000085,-0.27318448880587304
ACH-000086,-0.3275806471961669
ACH-000087,-0.006390179714794539
ACH-000092,-0.3716595731399765
ACH-000095,-0.1792393093440715
ACH-000097,-0.21099513811501974
ACH-000098,-0.1580075586155206
ACH-000099,-0.19884795110923287
ACH-000108,-0.21873793204962425
ACH-000113,-0.2367055451573895
ACH-000116,-0.3125893110480418
ACH-000118,-0.22154462211453216
ACH-000120,-0.11185690891193746
ACH-000123,-0.30199623836517697
ACH-000127,-0.23559635334242365
ACH-000128,-0.10261391280420258
ACH-000132,-0.1845684507557018
ACH-000133,-0.16136297421834642
ACH-000137,-0.1463156004808412
ACH-000138,-0.121028254154663
ACH-000142,-0.3562450796967405
ACH-000143,-0.16996480201605235
ACH-000146,-0.20125983414102586
ACH-000148,-0.17846742173430835
ACH-000150,-0.2654696895181013
ACH-000152,-0.2803628511232195
ACH-000153,0.04729636871282158
ACH-000159,-0.19660839518547965
ACH-000160,-0.28711809256274473
ACH-000163,-0.1022378859344735
ACH-000167,0.0716865650562245
ACH-000168,-0.26419711706666577
ACH-000169,-0.2299351065554676
ACH-000178,-0.12517620506112065
ACH-000183,-0.10850611509929516
ACH-000188,-0.3717312637080401
ACH-000189,-0.2666484524775698
ACH-000190,-0.16790677860414852
ACH-000198,-0.2622959838956254
ACH-000203,0.12957021006892142
ACH-000204,-0.3199744048767464
ACH-000206,-0.04993955993051829
ACH-000207,-0.4265631004020959
ACH-000208,-0.09736586859904868
ACH-000210,-0.06533633376471462
ACH-000211,-0.13021077141973514
ACH-000215,-0.18901735809273612
ACH-000221,-0.24104776348700946
ACH-000222,-0.23178577641761305
ACH-000223,-0.0921093245806056
ACH-000226,-0.2272207764876951
ACH-000227,-0.20388929551524893
ACH-000228,-0.18463422915235644
ACH-000231,-0.19025860570277772
ACH-000232,-0.1961695737289073
ACH-000233,-0.24096611839687795
ACH-000234,-0.17374886724928826
ACH-000235,-0.16828487561866154
ACH-000237,-0.1488575815466631
ACH-000238,-0.3348611719084361
ACH-000242,-0.3458836051362844
ACH-000243,-0.2904635124078712
ACH-000244,-0.2877055450669518
ACH-000246,-0.10811940259413916
ACH-000248,-0.2609893262984416
ACH-000250,-0.24387944571112846
ACH-000251,-0.18008264746666855
ACH-000252,-0.4224782725681219
ACH-000253,-0.2322740287030025
ACH-000255,-0.23026816023942395
ACH-000256,-0.3007973618859037
ACH-000257,-0.2179895188247868
ACH-000258,-0.0491826112779994
ACH-000259,-0.1994583645425337
ACH-000260,-0.33113169182064045
ACH-000261,-0.2417383962265944
ACH-000262,-0.2274507654824802
ACH-000263,-0.29533234374163325
ACH-000264,-0.1738690618100876
