,OVCA2 (124641)
ACH-000004,-0.4470189383767234
ACH-000005,-0.15791224462727438
ACH-000007,-0.1467308225061875
ACH-000009,-0.7142160586855794
ACH-000011,-0.3572617772049847
ACH-000012,-0.29403793761014524
ACH-000013,-0.2642306279653129
ACH-000014,-0.19377162203540227
ACH-000015,-0.3674402100285633
ACH-000017,-0.18984292205847528
ACH-000018,-0.23130714340760794
ACH-000019,-0.4588601960216659
ACH-000021,-0.2452908815579441
ACH-000022,-0.4590019803257924
ACH-000025,-0.3195714714428347
ACH-000028,-0.45085251683966493
ACH-000030,-0.3621119201789038
ACH-000035,-0.3320262240745661
ACH-000036,-0.260677853125585
ACH-000037,-0.22090113523013294
ACH-000039,-0.3433067164916375
ACH-000040,-0.5145042756710877
ACH-000041,-0.3745499847487769
ACH-000042,-0.3465756430622798
ACH-000045,-0.3230736384535106
ACH-000047,-0.4383319945540686
ACH-000052,-0.6093271748478488
ACH-000053,-0.32828546662656066
ACH-000054,-0.25338957238917603
ACH-000055,-0.234684071878429
ACH-000060,-0.3597165500668421
ACH-000067,-0.5278332377926291
ACH-000070,-0.23166688708978264
ACH-000075,-0.2247417622789847
ACH-000078,-0.4193841119100092
ACH-000082,-0.1384384739167866
ACH-000085,-0.11286135634519537
ACH-000086,-0.2837245183555753
ACH-000087,-0.2302258212065259
ACH-000092,-0.320240788568362
ACH-000095,-0.28301824979784485
ACH-000097,-0.3246812139156389
ACH-000098,-0.4656552569339274
ACH-000099,-0.34611991368549555
ACH-000108,-0.2902312155698832
ACH-000113,-0.28289051562531803
ACH-000116,-0.3765068951066466
ACH-000118,-0.46150601315029705
ACH-000120,-0.2580081293663943
ACH-000123,-0.1804000130377649
ACH-000127,-0.28995493203202577
ACH-000128,-0.3958680991629108
ACH-000132,-0.4138712164088169
ACH-000133,-0.5210197373726008
ACH-000137,-0.2749416872675946
ACH-000138,-0.3319790802896778
ACH-000142,-0.283317909281805
ACH-000143,-0.2149714840824606
ACH-000146,-0.2741682042496061
ACH-000148,-0.3926409072711503
ACH-000150,-0.37139018377744615
ACH-000152,-0.4148060870746152
ACH-000153,-0.11554743461595535
ACH-000159,-0.4417687622396535
ACH-000160,-0.2968902298794733
ACH-000163,-0.3646774730828167
ACH-000167,-0.03399711686372379
ACH-000168,-0.5057203000010009
ACH-000169,-0.3067739212488699
ACH-000178,-0.3635888346865381
ACH-000183,-0.20240146100554834
ACH-000188,-0.3514716522699066
ACH-000189,-0.2886239967854758
ACH-000190,-0.4364684682038361
ACH-000198,-0.1340852758071996
ACH-000203,-0.5829524003489477
ACH-000204,-0.37076854915021823
ACH-000206,-0.4092732641210737
ACH-000207,-0.5971684472896022
ACH-000208,-0.17106141787586646
ACH-000210,-0.2488844318861607
ACH-000211,-0.21230783540983508
ACH-000215,-0.32840188939704484
ACH-000221,-0.4817289035209222
ACH-000222,-0.2466123690241973
ACH-000223,-0.4133107743180958
ACH-000226,-0.27367518890899395
ACH-000227,-0.4867065008968013
ACH-000228,-0.2584307937159792
ACH-000231,-0.3925210214477311
ACH-000232,-0.4235447972015509
ACH-000233,-0.21308981852294606
ACH-000234,-0.3293813014092758
ACH-000235,-0.2784171554454453
ACH-000237,-0.3097097822241617
ACH-000238,-0.35772987980275944
ACH-000242,0.010693690060696807
ACH-000243,-0.3729300946496881
ACH-000244,-0.4759578396551245
ACH-000246,-0.39625835231732665
ACH-000248,-0.3868686148499572
ACH-000250,-0.4249038550213072
ACH-000251,-0.19857869984290272
ACH-000252,-0.12963189209012693
ACH-000253,-0.3856869396734917
ACH-000255,-0.22235772834232206
