,HYAL2 (8692)
ACH-000004,-0.03934392958628725
ACH-000005,0.2359564685102499
ACH-000007,-0.259149050139078
ACH-000009,-0.1034610160860768
ACH-000011,-0.09916401243946994
ACH-000012,-0.013014113302988637
ACH-000013,-0.06711902282682265
ACH-000014,-0.2272953422761657
ACH-000015,-0.1365374798157733
ACH-000017,-0.1468552489540284
ACH-000018,-0.13062391063733358
ACH-000019,0.06579589028174247
ACH-000021,-0.13399288318374794
ACH-000022,-0.09228128447250876
ACH-000025,-0.2885806910805919
ACH-000028,-0.008430472817284686
ACH-000030,-0.0916680456960072
ACH-000035,-0.09891505611351327
ACH-000036,-0.21596610969900548
ACH-000037,-0.23379516568590736
ACH-000039,-0.4325665967011477
ACH-000040,-0.09839810490942118
ACH-000041,-0.164544870087725
ACH-000042,-0.14363150548631445
ACH-000045,-0.07476382461182858
ACH-000047,-0.04223391319121186
ACH-000052,-0.2359417738332091
ACH-000053,-0.1116811032942112
ACH-000054,-0.0947035535943758
ACH-000055,-0.221596820838882
ACH-000060,-0.2370192809549329
ACH-000067,-0.12173496701565115
ACH-000070,-0.1753980419212002
ACH-000075,-0.19997081401183872
ACH-000078,0.08739994045480735
ACH-000082,-0.1360066572694814
ACH-000085,-0.2369454153271464
ACH-000086,-0.22367179024535191
ACH-000087,0.007687144338939028
ACH-000092,-0.12360118817344988
ACH-000095,-0.23376212261930104
ACH-000097,-0.11866951523938585
ACH-000098,-0.13467917690076056
ACH-000099,-0.06246356955887863
ACH-000108,-0.2257227969214723
ACH-000113,-0.14850638073490185
ACH-000116,0.029468198184675432
ACH-000118,-0.14159841288479932
ACH-000120,0.030064669868682233
ACH-000123,-0.023338261360409285
ACH-000127,-0.07897294902566654
ACH-000128,-0.3340787969280059
ACH-000132,-0.019785547325744
ACH-000133,-0.1524909291169223
ACH-000137,-0.057739218608125135
ACH-000138,-0.17316461927718813
ACH-000142,-0.1696581229583639
ACH-000143,0.08911173471944507
ACH-000146,-0.06713490620528458
ACH-000148,0.018458780531352092
ACH-000150,-0.3099308972502147
ACH-000152,-0.13858214216258075
ACH-000153,-0.14343735980753247
ACH-000159,-0.2285828901190041
ACH-000160,-0.2285232693205465
ACH-000163,-0.02454475991740115
ACH-000167,-0.30475088551954704
ACH-000168,0.048663982362634126
ACH-000169,-0.15616922012750326
ACH-000178,-0.20279210838925796
ACH-000183,-0.20881492645776809
ACH-000188,-0.13720399822320667
ACH-000189,-0.17426591247042875
ACH-000190,-0.14604155593888782
ACH-000198,-0.03692179434292102
ACH-000203,0.2059434486981298
ACH-000204,-0.19587210143773312
ACH-000206,-0.2173704216409452
ACH-000207,-0.10671088381395473
ACH-000208,-0.2129027861919162
ACH-000210,-0.06262118689682504
ACH-000211,-0.1798318927413677
ACH-000215,-0.0340060061504475
ACH-000221,-0.06695225661500051
ACH-000222,-0.2669720380582902
ACH-000223,-0.2187677120924604
ACH-000226,-0.2658462632962397
ACH-000227,-0.05782011531429543
ACH-000228,-0.30646524259451696
ACH-000231,-0.18597073361333527
ACH-000232,-0.055526345854256434
ACH-000233,-0.13659738995475648
ACH-000234,-0.3014385785214348
ACH-000235,-0.09447173964742696
ACH-000237,-0.1953973261447513
ACH-000238,-0.15702484372762307
ACH-000242,-0.029879686589742462
ACH-000243,-0.16114674244515434
ACH-000244,-0.1809877626560877
ACH-000246,-0.1087981364711774
ACH-000248,-0.00805599118138651
ACH-000250,-0.1326245031550699
ACH-000251,-0.05248857168770042
ACH-000252,-0.2941164837966345
ACH-000253,-0.20450940746808785
ACH-000255,-0.19377043235054012
ACH-000256,-0.11422390021706208
ACH-000257,-0.1445166414160559
ACH-000258,-0.11533393783221113
ACH-000259,-0.044989400304405784
ACH-000260,-0.18631750055825827
ACH-000261,-0.13324971302159844
ACH-000262,-0.20654746235996055
ACH-000263,-0.14904010485915464
