,NT5DC2 (64943)
ACH-000004,-0.2706121713135941
ACH-000005,-0.06910801632901052
ACH-000007,-0.19803560487596603
ACH-000009,-0.14561448198125035
ACH-000011,-0.06402865466609838
ACH-000012,-0.2408106073419137
ACH-000013,-0.07706845279935509
ACH-000014,-0.047822073523321004
ACH-000015,-0.27529036244221783
ACH-000017,-0.0700006016840988
ACH-000018,-0.2305440820054023
ACH-000019,-0.11120459954354996
ACH-000021,-0.10746033461542444
ACH-000022,-0.21060115104775992
ACH-000025,-0.1592348129802838
ACH-000028,-0.1221621080716934
ACH-000030,-0.12308696752697755
ACH-000035,-0.13667402090516342
ACH-000036,-0.2554733836627435
ACH-000037,-0.03648121763654828
ACH-000039,-0.10916155846253964
ACH-000040,-0.1263583922257636
ACH-000041,-0.06308613773636755
ACH-000042,-0.2694829180019186
ACH-000045,0.007087107974155209
ACH-000047,-0.2275128871945583
ACH-000052,-0.1520444945759791
ACH-000053,-0.11499034080098823
ACH-000054,-0.15770170675161754
ACH-000055,-0.07159289539167535
ACH-000060,-0.14040101478512731
ACH-000067,-0.2963473032070909
ACH-000070,-0.1961274479408508
ACH-000075,-0.0033506701285180127
ACH-000078,-0.13856301112298788
ACH-000082,-0.031470696648840515
ACH-000085,-0.1894753823302168
ACH-000086,-0.2298706368457801
ACH-000087,-0.2927817517698101
ACH-000092,-0.0766754869237682
ACH-000095,-0.11412170885782953
ACH-000097,-0.02601816968435881
ACH-000098,-0.13318695501636524
ACH-000099,-0.03725018240258205
ACH-000108,-0.25044658916324386
ACH-000113,-0.08559110144126816
ACH-000116,-0.15116082645595613
ACH-000118,-0.16960571979284084
ACH-000120,-0.1007419423260029
ACH-000123,-0.16506600989547227
ACH-000127,-0.14700123917357286
ACH-000128,-0.1917088302537205
ACH-000132,-0.05229872161254381
ACH-000133,-0.16010031586568707
ACH-000137,0.0400161673203342
ACH-000138,-0.13780377580998485
ACH-000142,-0.2638510982590945
ACH-000143,-0.28126726387324064
ACH-000146,-0.18562989108101655
ACH-000148,-0.01782658482082801
ACH-000150,-0.2820913297853697
ACH-000152,-0.1558700003296013
ACH-000153,-0.06139811760581799
ACH-000159,-0.2086639444897312
ACH-000160,-0.15950849581199528
ACH-000163,-0.08731349786374154
ACH-000167,-0.1236698985365563
ACH-000168,-0.3339600659747744
ACH-000169,-0.21706816094893136
ACH-000178,-0.14540569952379884
ACH-000183,-0.031497599215150836
ACH-000188,-0.2728399704884931
ACH-000189,-0.36053596645700864
ACH-000190,0.028526151032956932
ACH-000198,0.14465696183912652
ACH-000203,-0.09876006915466827
ACH-000204,0.012710171968620829
ACH-000206,-0.10024876422172536
ACH-000207,-0.3630032250809606
ACH-000208,-0.3742557594725801
ACH-000210,0.2340334253319503
ACH-000211,-0.23132106902048244
ACH-000215,-0.17594638702836346
ACH-000221,-0.2582511228368273
ACH-000222,-0.14076450927864415
ACH-000223,-0.11579111507663367
ACH-000226,-0.054295327766389886
ACH-000227,-0.14150156657260318
ACH-000228,-0.12293988112537688
ACH-000231,-0.06898126787105878
ACH-000232,-0.10905883311326148
ACH-000233,-0.064796681816604
ACH-000234,-0.011769582733495787
ACH-000235,-0.2132797696477793
ACH-000237,-0.12965258628440773
ACH-000238,-0.20288827607407264
ACH-000242,-0.010115624704098691
ACH-000243,-0.08333610355523778
ACH-000244,-0.17420313834275333
ACH-000246,-0.1705331561687228
ACH-000248,-0.10136855830336597
ACH-000250,-0.16316639551538284
ACH-000251,-0.1622394470537563
ACH-000252,-0.2116971348199611
ACH-000253,-0.01668836647925111
ACH-000255,-0.14815181710594674
ACH-000256,-0.1013964524446016
ACH-000257,-0.2697205215900204
ACH-000258,-0.12441938977380874
ACH-000259,-0.18176551019366508
ACH-000260,-0.1139398591002896
ACH-000261,-0.1130704961717072
ACH-000262,-0.129745823687856
ACH-000263,-0.3475885353872093
ACH-000264,-0.19931314676017065
ACH-000265,-0.13514087290001986
ACH-000266,-0.1429956891073212
ACH-000272,-0.1185284504214284
ACH-000274,-0.2049750840703708
ACH-000277,-0.07858213622688595
ACH-000278,-0.05770208662069602
ACH-000279,-0.12872833317908472
ACH-000280,-0.2881657650388213
ACH-000281,-0.16913596037891954
ACH-000288,-0.16523535521277471
ACH-000291,-0.105501701814572
ACH-000293,-0.1878904535825726
ACH-000294,-0.7071106672926687
ACH-000295,-0.44823794182294896
ACH-000296,-0.17948089316852173
ACH-000302,-0.10601385087065886
ACH-000304,0.08924895170075657
ACH-000307,-0.11879892804890048
ACH-000308,-0.0882527380206359
ACH-000310,-0.039751025357669265
ACH-000311,-0.10445014959642898
ACH-000312,-0.08694018341028324
ACH-000315,-0.24224360829469765
ACH-000316,-0.1753341391183752
ACH-000317,-0.14417706441531608
ACH-000318,-0.03723617909070327
ACH-000319,-0.12557704234660974
ACH-000320,-0.0005016850436845
ACH-000322,-0.14752889806975258
ACH-000323,-0.2394177234824164
ACH-000324,-0.08974503442661277
ACH-000329,-0.2301541773413784
ACH-000330,-0.2560485510253717
ACH-000331,-0.08030106928947715
ACH-000332,-0.16581336002994926
ACH-000334,-0.10675366590107242
ACH-000335,-0.08461083436439819
ACH-000336,-0.1865443998147322
ACH-000337,-0.1890951391779292
ACH-000338,-0.2078133847396524
ACH-000339,-0.10248856173786476
ACH-000341,-0.1430277868169023
ACH-000348,-0.08166346735416274
ACH-000350,-0.0938070768817672
ACH-000352,-0.11700312323648294
ACH-000356,-0.04704922219999736
ACH-000361,-0.2772499222154211
ACH-000362,-0.2642574806191841
ACH-000363,-0.02995719053584455
ACH-000364,-0.1841620902726774
ACH-000365,-0.2394348476878945
ACH-000366,-0.10859884498456808
ACH-000368,-0.11622747295012595
ACH-000374,-0.2289964811452073
ACH-000375,0.05529282033302301
ACH-000376,-0.14853437322723734
ACH-000381,-0.1350607080873546
ACH-000383,-0.1870756375470209
ACH-000387,-0.30814475171059685
ACH-000389,0.002745856692908128
ACH-000390,-0.20548710715611146
ACH-000393,-0.20814271762223727
ACH-000395,-0.1885965452924636
ACH-000396,-0.08583225367000498
ACH-000397,-0.1930533385637215
ACH-000401,-0.1432729529620059
ACH-000402,-0.24794666251300376
ACH-000403,-0.04006299466408314
ACH-000404,-0.201243062390054
ACH-000406,-0.19480719864897256
ACH-000407,-0.1540928586319627
ACH-000408,-0.26434808340079863
ACH-000410,-0.14439803225243147
ACH-000411,-0.042803627313324766
ACH-000414,-0.10490431461122443
ACH-000415,-0.2576688562572292
ACH-000416,-0.004030342553481532
ACH-000420,-0.08986133147384134
ACH-000421,-0.09492554301999592
ACH-000424,-0.13543693172744325
ACH-000425,-0.13222651466031113
ACH-000426,0.04540754323193024
ACH-000427,-0.15809897347180818
ACH-000433,-0.06090037760081943
ACH-000435,0.05920435252113492
ACH-000436,-0.004264229078668479
ACH-000444,-0.05533653993453072
ACH-000445,-0.08295066131928272
ACH-000448,-0.16078998433726266
ACH-000450,-0.09373757245197616
ACH-000452,-0.2835454059426034
ACH-000454,-0.3584138237481129
ACH-000458,-0.22116907790452872
ACH-000459,-0.08586051999111474
ACH-000460,-0.15877575793828402
ACH-000461,-0.29670798156899475
ACH-000463,-0.07939576520711833
ACH-000464,-0.10614658644090072
ACH-000466,-0.1780859362505988
ACH-000467,-0.11904799640615366
ACH-000468,-0.3170142264909834
ACH-000469,-0.1399114073404187
ACH-000470,0.0069626018498056864
ACH-000471,-0.1926582207549789
ACH-000472,-0.18376075358676947
ACH-000473,-0.2445661635045697
ACH-000475,-0.08494437068656382
ACH-000476,-0.12325891501396948
ACH-000477,-0.07701024631921308
ACH-000479,-0.04640520880360402
ACH-000480,-0.09971140767484504
ACH-000481,-0.21146665738144105
ACH-000483,-0.1038457451361011
ACH-000484,-0.11723249000208175
ACH-000485,-0.07527512599633741
ACH-000486,-0.24906069755699264
ACH-000487,-0.16315923557099846
ACH-000488,-0.20835684640452495
ACH-000490,-0.09064629067444424
ACH-000491,-0.05153634283672622
ACH-000495,-0.09002059525209757
ACH-000496,0.03703036230313555
ACH-000499,-0.24453899146784985
ACH-000500,-0.32755573677748223
ACH-000502,-0.2575757648209132
ACH-000503,-0.0819436457614412
ACH-000505,-0.10638294091163177
ACH-000507,-0.08391060036926064
ACH-000510,-0.13580061501154347
ACH-000511,-0.3032222828402249
ACH-000512,-0.43794080588875295
ACH-000516,-0.05462449529504322
ACH-000517,-0.11883906670697432
ACH-000518,-0.10006539091530342
ACH-000520,-0.19230591433662167
ACH-000521,-0.1316178308561599
ACH-000522,-0.06249103597112592
ACH-000524,-0.15455176646466187
ACH-000527,-0.11458010287456978
ACH-000528,-0.1368001291432576
ACH-000537,-0.1702740371076444
ACH-000541,-0.17105448072871365
ACH-000542,-0.1509200849754184
ACH-000544,-0.08393007302095655
ACH-000545,-0.2327300247737383
ACH-000547,-0.00717237424127308
ACH-000548,-0.027186322790600462
ACH-000549,-0.20585989190763299
ACH-000550,-0.15519117465245172
ACH-000552,-0.10973269029843306
