,RAB3D (9545)
ACH-000004,-0.2131416201918956
ACH-000005,-0.6063086364473432
ACH-000007,-0.2400796712393255
ACH-000009,0.047464763450439706
ACH-000011,-0.19090260538703727
ACH-000012,-0.30608260000742565
ACH-000013,-0.12996374475730205
ACH-000014,-0.11486131326257368
ACH-000015,-0.2069765416183676
ACH-000017,-0.09444157061519416
ACH-000018,-0.31359541614218245
ACH-000019,-0.2699488754141024
ACH-000021,-0.22836941851633866
ACH-000022,-0.0465961755704288
ACH-000025,-0.16813780464127967
ACH-000028,-0.1983317883744339
ACH-000030,-0.16429148957675951
ACH-000035,-0.22876382336394335
ACH-000036,-0.115877727373513
ACH-000037,-0.08064355926220211
ACH-000039,-0.14015832775642356
ACH-000040,-0.05541936786630943
ACH-000041,-0.1509747663861422
ACH-000042,-0.03605877417845648
ACH-000045,-0.2717835202895364
ACH-000047,0.02547973874602919
ACH-000052,0.01459991219708028
ACH-000053,-0.08045578572684567
ACH-000054,-0.15475819520218986
ACH-000055,-0.09094750472499616
ACH-000060,0.013242443243413568
ACH-000067,0.01006452196037973
ACH-000070,-0.045849644650292495
ACH-000075,-0.23751317012146025
ACH-000078,-0.129678543384179
ACH-000082,-0.044144991367705166
ACH-000085,0.054486915292428266
ACH-000086,-0.16105521541769072
ACH-000087,-0.1102421819536144
ACH-000092,-0.19358763840064264
ACH-000095,-0.2528965853407705
ACH-000097,-0.20077675837360293
ACH-000098,-0.21702455109835814
ACH-000099,-0.08207333754250137
ACH-000108,-0.14883325637216974
ACH-000113,0.008081756966641977
ACH-000116,-0.2469313417467074
ACH-000118,-0.19408032068116668
ACH-000120,-0.13657246181501909
ACH-000123,-0.07527381219342709
ACH-000127,-0.17227510229052745
ACH-000128,-0.13272428511238735
ACH-000132,-0.13070179070209734
ACH-000133,-0.100825977850195
ACH-000137,0.01265478104463076
ACH-000138,-0.21002532367944315
ACH-000142,-0.20633838043246547
ACH-000143,-0.04686376516818209
ACH-000146,0.02005696714922797
ACH-000148,-0.01365418078485706
ACH-000150,-0.17395099349998686
ACH-000152,-0.1090305644245222
ACH-000153,-0.015758703581890108
ACH-000159,-0.13966535978755806
ACH-000160,0.0618216124394971
ACH-000163,-0.3125690589343586
ACH-000167,0.07805468937383503
ACH-000168,-0.07665634855642117
ACH-000169,-0.0721837487394501
ACH-000178,-0.024052012120424758
ACH-000183,-0.11359135560516047
ACH-000188,-0.4398711284936364
ACH-000189,0.06180164585593369
ACH-000190,0.04021952282241188
ACH-000198,-0.10201176854090292
ACH-000203,-0.24644250729027806
ACH-000204,-0.26592367809548745
ACH-000206,-0.10958802258471556
ACH-000207,-0.1627668900121602
ACH-000208,0.012900459650908408
ACH-000210,-0.11893059127530588
ACH-000211,-0.1420970511946418
ACH-000215,-0.05696815910788437
ACH-000221,-0.11720619061342832
ACH-000222,-0.1203769435554565
ACH-000223,-0.11190781369747936
ACH-000226,-0.1436800141901355
ACH-000227,-0.07285884470197787
ACH-000228,-0.2468052501623537
ACH-000231,0.053029464696795585
ACH-000232,-0.10904904310528046
ACH-000233,-0.24068304361905804
ACH-000234,-0.1204603693067835
ACH-000235,-0.11461181198581198
ACH-000237,-0.0806516279979243
ACH-000238,-0.040390733558539886
ACH-000242,-0.06614550110089376
ACH-000243,-0.11198231300456668
ACH-000244,-0.2407899640876101
ACH-000246,-0.10506105881734444
ACH-000248,-0.10627755821721056
ACH-000250,-0.12606511259725228
ACH-000251,-0.25338156261077377
ACH-000252,-0.15771110576833386
ACH-000253,-0.13532679600294398
ACH-000255,-0.08677554979942599
ACH-000256,-0.06007582471212145
ACH-000257,-0.130452851134074
ACH-000258,-0.16516859820073246
ACH-000259,-0.026254460560473092
ACH-000260,-0.10386473389635796
ACH-000261,-0.0815758642771193
ACH-000262,0.1779883765202572
ACH-000263,-0.21933551593497908
ACH-000264,-0.163064770655013
ACH-000265,-0.0952498285205541
ACH-000266,-0.0510739826402994
ACH-000272,-0.06675022662334101
ACH-000274,-0.08789560712357979
ACH-000277,-0.14382609023504958
ACH-000278,-0.07015196061681905
ACH-000279,0.005146753377685378
ACH-000280,-0.11298024142817226
ACH-000281,-0.15335866688789976
ACH-000288,-0.041248375449374736
ACH-000291,-0.14131921954069834
ACH-000293,-0.2537567439917077
ACH-000294,-0.2190330779062183
ACH-000295,-0.02174878627177884
ACH-000296,-0.1600082036323974
ACH-000302,-0.15983381501150712
ACH-000304,0.03614638623011368
ACH-000307,-0.20009211629887932
ACH-000308,-0.1114789324571972
ACH-000310,-0.015436199584953375
ACH-000311,-0.013551783375486166
ACH-000312,-0.2080336101126005
ACH-000315,-0.28257377867676753
ACH-000316,-0.0325413282387145
ACH-000317,-0.10224750490080536
ACH-000318,-0.27482971964399905
ACH-000319,-0.1228698800280472
ACH-000320,-0.0639893852179188
ACH-000322,0.06946407478448767
ACH-000323,-0.14115017312132988
ACH-000324,-0.020935503791931098
ACH-000329,0.04913913521155157
ACH-000330,-0.06935379168493506
ACH-000331,-0.15705183777245416
ACH-000332,-0.12004347488668518
ACH-000334,-0.2286489384872553
ACH-000335,-0.04795044179544945
ACH-000336,-0.28838349010054043
ACH-000337,-0.1993484212006317
ACH-000338,-0.10796178503102907
ACH-000339,-0.10407614878626748
ACH-000341,-0.051005385552093406
ACH-000348,-0.059959889842241036
ACH-000350,-0.07750039823326219
ACH-000352,-0.07933539331225407
ACH-000356,-0.3083594498180141
