,CHI3L2 (1117)
ACH-000004,-0.1967909588533361
ACH-000005,0.07873380768800392
ACH-000007,-0.02308374402672925
ACH-000009,-0.06968176435641081
ACH-000011,-0.0450579193124148
ACH-000012,-0.20243801195657807
ACH-000013,-0.08239460988745982
ACH-000014,-0.13818783209666538
ACH-000015,-0.06048702884251449
ACH-000017,-0.1323810317151436
ACH-000018,0.11124472455550427
ACH-000019,-0.02584377276557545
ACH-000021,-0.10910853224820796
ACH-000022,-0.09051815398155057
ACH-000025,-0.26861896879996805
ACH-000028,-0.34614014861498626
ACH-000030,-0.08892021516763764
ACH-000035,-0.13194307598698912
ACH-000036,-0.12317369812063575
ACH-000037,-0.1101699802654902
ACH-000039,0.0049769463926505894
ACH-000040,-0.15085331600004126
ACH-000041,-0.032780653587569826
ACH-000042,-0.06326529833971409
ACH-000045,-0.06786087940260252
ACH-000047,-0.007290898069905156
ACH-000052,-0.3215056184579224
ACH-000053,-0.03172686875254749
ACH-000054,-0.21312691739383066
ACH-000055,-0.21707692202924625
ACH-000060,-0.11110618196436536
ACH-000067,-0.07137507228372318
ACH-000070,-0.06351400576160794
ACH-000075,-0.09277566440280854
ACH-000078,-0.044539356415768484
ACH-000082,-0.1393105019556816
ACH-000085,-0.3786022001125792
ACH-000086,-0.2031810194039015
ACH-000087,0.11132322423189392
ACH-000092,-0.32874939106102896
ACH-000095,-0.028631027013841175
ACH-000097,-0.13105704139363353
ACH-000098,-0.16656634585523236
ACH-000099,-0.0747807418888092
ACH-000108,0.029412312677830118
ACH-000113,-0.16532993644567742
ACH-000116,-0.2349859139321272
ACH-000118,-0.14919088327482552
ACH-000120,-0.014056754165982982
ACH-000123,-0.1470782195992516
ACH-000127,-0.15192824372191102
ACH-000128,-0.04855407678105517
ACH-000132,-0.1984665043599099
ACH-000133,-0.11306895495274101
ACH-000137,-0.19025744593085656
ACH-000138,0.027712239337979387
ACH-000142,0.00998005031176796
ACH-000143,-0.04814549664477241
ACH-000146,-0.06620226277260563
ACH-000148,-0.11660121388158905
ACH-000150,0.04515593902975496
ACH-000152,-0.2594075063637049
