,ATP5I (521)
ACH-000004,-0.4244275598429148
ACH-000005,-0.7136910065951148
ACH-000007,-0.7035519620427108
ACH-000009,-0.4347909645312513
ACH-000011,-0.3055753753094913
ACH-000012,-0.4146099247869493
ACH-000013,-0.8837842699323122
ACH-000014,-0.4784477213430322
ACH-000015,-0.7518741142477311
ACH-000017,-0.7543195554231557
ACH-000018,-0.5206110346369379
ACH-000019,-0.8576204595418191
ACH-000021,-0.5522996293931232
ACH-000022,-0.8830334235531873
ACH-000025,-0.4029495000540176
ACH-000028,-0.6308787044876946
ACH-000030,-0.5900466332110489
ACH-000035,-0.8320176417296681
ACH-000036,-0.1326376571126707
ACH-000037,-0.3833790480944125
ACH-000039,-0.5953511415183438
ACH-000040,-0.4710789738896247
ACH-000041,-0.5617080321250586
ACH-000042,-0.3201944354603616
ACH-000045,-0.7527285764045063
ACH-000047,-0.5919978397375582
ACH-000052,-0.42495445391697984
ACH-000053,-0.5813803791145937
ACH-000054,-0.8966322486868697
ACH-000055,-0.2577095724343221
ACH-000060,-0.5533626745133686
ACH-000067,-0.4011386534185155
ACH-000070,-0.719117129935032
ACH-000075,-0.4635139564508787
ACH-000078,-0.5187588595726309
ACH-000082,-0.4137827696138317
ACH-000085,-0.6572992057286084
ACH-000086,-0.7750696420619072
ACH-000087,-0.43393632310905744
ACH-000092,-0.4651610514780971
ACH-000095,-0.3021319011035889
ACH-000097,-0.7086881230957214
ACH-000098,-0.5856777814610051
ACH-000099,-0.6822277604261816
ACH-000108,-0.43785693292189054
ACH-000113,-0.48637759574012895
ACH-000116,-1.0320319209429432
ACH-000118,-1.10817581026996
ACH-000120,-0.49703020282961397
ACH-000123,-0.8266856973592596
ACH-000127,-1.0456054328426272
ACH-000128,-0.7274002566554899
ACH-000132,-0.6086425890527992
ACH-000133,-0.5926153944511989
ACH-000137,-0.3432456039934694
ACH-000138,-0.5992455576524849
ACH-000142,-0.5673755498966121
ACH-000143,-0.5791467781251673
ACH-000146,-0.44069555473202976
ACH-000148,-0.5708838169513759
ACH-000150,-0.9291595905656173
ACH-000152,-0.6800551812168175
ACH-000153,-0.8593043606583961
ACH-000159,-0.6095161780065456
ACH-000160,-0.9493690357715749
ACH-000163,-0.2918210795937541
ACH-000167,-0.30559625185503536
ACH-000168,-0.2886875724956244
ACH-000169,-0.8271297565215064
ACH-000178,-0.4501495973305595
ACH-000183,-0.599462828641942
ACH-000188,-0.4797180104687533
ACH-000189,-0.6978989184021128
ACH-000190,-0.7922676585526837
ACH-000198,-0.5802830688235013
ACH-000203,-0.7437416146017441
ACH-000204,-0.5954583763279029
ACH-000206,-0.697231041272957
ACH-000207,-0.4560527783425698
ACH-000208,-0.5509285007603874
ACH-000210,-0.6054313376179465
ACH-000211,-0.6438222518331372
ACH-000215,-0.8205806829879361
ACH-000221,-0.8957512022944908
ACH-000222,-0.7597854868173501
ACH-000223,-0.783454609121626
ACH-000226,-0.2951280390810601
ACH-000227,-0.40145223518247386
ACH-000228,-0.3823483746098797
ACH-000231,-0.2968888788338752
ACH-000232,-0.6353958497035466
ACH-000233,-0.4897563913707224
ACH-000234,-0.4574297980335109
ACH-000235,-0.3797907703612449
ACH-000237,-0.3000190403750585
ACH-000238,-0.5008102663052043
ACH-000242,-0.41771703043016295
ACH-000243,-0.4074868638898045
ACH-000244,-0.5772184391884564
ACH-000246,-0.7432880611202067
ACH-000248,-0.7931836197116133
ACH-000250,-0.2486149182242924
ACH-000251,-0.8757039857952668
ACH-000252,-0.5972741776886111
ACH-000253,-0.3935909980191123
ACH-000255,-0.7869522446736088
ACH-000256,-0.4424519683103605
ACH-000257,-0.7923050881079762
ACH-000258,-0.3687147859543448
ACH-000259,-1.1853971163987782
ACH-000260,-0.3244520525295052
ACH-000261,-0.5316535234203243
ACH-000262,-0.9149930002235224
ACH-000263,-0.7872758298183297
ACH-000264,-0.5273038819512061
ACH-000265,-0.7615165141223281
ACH-000266,-0.3345748346631695
ACH-000272,-0.4345186058218748
ACH-000274,-0.7656841702818367
ACH-000277,-0.9334061156020652
ACH-000278,-0.7579925582085184
ACH-000279,-0.5515640064997707
ACH-000280,-0.7415168264870184
ACH-000281,-0.4935769694220549
ACH-000288,-0.8461663944773752
ACH-000291,-0.6842370246489052
ACH-000293,-0.7328672540869337
ACH-000294,-0.19863516178635232
ACH-000295,-1.0495009360438758
ACH-000296,-0.7029661866237913
ACH-000302,-0.8650917680956174
ACH-000304,-1.1051727024443565
ACH-000307,-0.3952493834594668
ACH-000308,-0.7162689665612206
ACH-000310,-0.5041211863080622
ACH-000311,-0.5343604649128871
ACH-000312,-0.5870209349380455
ACH-000315,-0.3401353765592041
ACH-000316,-0.4561506447629133
ACH-000317,-1.1414604208197847
ACH-000318,-0.7078853058625891
ACH-000319,-0.6644274352748434
ACH-000320,-0.6196405372909699
ACH-000322,-0.9100603863679524
ACH-000323,-0.6418206974429389
ACH-000324,-0.35874794467430776
ACH-000329,-0.8051787799659106
ACH-000330,-0.7204378448877511
ACH-000331,-0.7168165419171886
ACH-000332,-0.3840786589652422
ACH-000334,-0.2557937998506733
ACH-000335,-0.7555411340258944
ACH-000336,-0.6048485127576134
ACH-000337,-0.5199196060413162
ACH-000338,-0.9788142282822646
ACH-000339,-0.28085422871184035
ACH-000341,-0.31812433433852866
ACH-000348,-0.6763065910106363
ACH-000350,-0.6208136013087932
ACH-000352,-0.7457739058663656
ACH-000356,-0.7054277157129152
ACH-000361,-1.1509665177989754
ACH-000362,-0.6231188722794432
ACH-000363,-0.7469788733596399
ACH-000364,-0.8035755750398718
ACH-000365,-0.6284877392032798
ACH-000366,-0.3939653256744123
ACH-000368,-0.6522960913784436
ACH-000374,-0.9021397919700308
ACH-000375,-0.5362756695832827
ACH-000376,-1.0486956982759963
ACH-000381,-0.4631477149315548
ACH-000383,-0.5789338049579145
ACH-000387,-0.5873992356325562
ACH-000389,-0.20174550196712066
ACH-000390,-0.6079982569607659
ACH-000393,-0.2975330893011709
ACH-000395,-0.4791419312637146
ACH-000396,-0.7481412984473729
ACH-000397,-0.33840608447266857
ACH-000401,-0.3848289414908788
ACH-000402,-0.7710270052988961
ACH-000403,-0.576343937758858
ACH-000404,-0.7722772876010691
ACH-000406,-0.8272301708247963
ACH-000407,-0.4132848005041185
ACH-000408,-1.0072310711154482
ACH-000410,-0.7663644278310054
ACH-000411,-0.6784189707577064
ACH-000414,-0.8142798479132848
ACH-000415,-0.8243633463827601
ACH-000416,-0.32352944966560565
ACH-000420,-0.5416610223386201
ACH-000421,-0.4399574268122412
ACH-000424,-0.5177674288750699
ACH-000425,-0.3830420413056629
ACH-000426,-0.4878267312678973
ACH-000427,-0.8914636582210725
ACH-000433,-0.5495240465556872
ACH-000435,-0.2391776172314476
ACH-000436,-0.8023889742899158
ACH-000444,-0.39860409614152303
ACH-000445,-0.4888549832850601
ACH-000448,-0.4391295761508144
ACH-000450,-0.8464819109280035
ACH-000452,-0.6126204625267427
ACH-000454,-0.9998371249428302
ACH-000458,-0.3005292640400949
ACH-000459,-1.0647532617396371
ACH-000460,-0.5911894826447577
ACH-000461,-0.9010558943710256
ACH-000463,-0.7228204445617084
ACH-000464,-0.5452979442054791
ACH-000466,-0.9708384266819337
ACH-000467,-0.8704384435727804
ACH-000468,-0.5530154468447901
ACH-000469,-0.8799034323254653
ACH-000470,-0.3410930989869421
