,SH3YL1 (26751)
ACH-000004,-0.038425938137934
ACH-000005,0.2610974666338738
ACH-000007,0.030301802959044288
ACH-000009,-0.10051441436390812
ACH-000011,-0.06667958528018354
ACH-000012,-0.09179890646523507
ACH-000013,0.036183070678101364
ACH-000014,-0.04498173915238598
ACH-000015,-0.06655045888547759
ACH-000017,-0.0798136412261482
ACH-000018,-0.06690236744264766
ACH-000019,-0.09942621907224107
ACH-000021,-0.030931105362645213
ACH-000022,-0.14318144818553313
ACH-000025,0.006615002050477146
ACH-000028,-0.06004076607904525
ACH-000030,0.008113288423342125
ACH-000035,0.0512689797170552
ACH-000036,-0.10322792683111827
ACH-000037,-0.2253876897769821
ACH-000039,-0.07749725303531589
ACH-000040,-0.07940316083217543
ACH-000041,0.07715215884640504
ACH-000042,-0.030220609188627286
ACH-000045,-0.08746380528366154
ACH-000047,-0.03915107846317265
ACH-000052,0.06269375356727709
ACH-000053,-0.10103936297740784
ACH-000054,-0.09120353643724784
ACH-000055,0.0956086774704638
ACH-000060,-0.00406501069258421
ACH-000067,-0.1924943990563771
ACH-000070,0.054864398889464254
ACH-000075,0.054676173505500775
ACH-000078,-0.15272035592916985
ACH-000082,-0.09058430334749563
ACH-000085,0.02566089310937405
ACH-000086,0.019139174024071764
ACH-000087,0.06099747614461636
ACH-000092,-0.10074944199760452
ACH-000095,0.020934845074532308
ACH-000097,-0.08436209980705525
ACH-000098,-0.1336838718932126
ACH-000099,-0.16224201696680987
ACH-000108,-0.1638434298074005
ACH-000113,-0.15910447291933566
ACH-000116,-0.06621538193688721
ACH-000118,0.07795208511316327
ACH-000120,-0.1629282286456519
ACH-000123,-0.050149218809234564
ACH-000127,-0.16001334635476822
ACH-000128,-0.027214263783256438
ACH-000132,-0.01309041825992578
ACH-000133,-0.034520950351199835
ACH-000137,0.0313633046852135
ACH-000138,-0.11806082837270307
ACH-000142,-0.37197815883832297
ACH-000143,-0.14190308229464152
ACH-000146,-0.028226601467680492
ACH-000148,-0.15424354721140593
ACH-000150,0.06999531911441598
ACH-000152,-0.10888656300336216
ACH-000153,0.18413706055609344
ACH-000159,-0.028494579109507225
ACH-000160,-0.009492233365170064
ACH-000163,-0.04723703184373482
ACH-000167,-0.2418109038902025
ACH-000168,-0.06979689113426832
ACH-000169,0.007561874028345434
ACH-000178,-0.03975194911130648
ACH-000183,0.014453750114456038
ACH-000188,-0.08014967532912047
ACH-000189,-0.04883830831791477
ACH-000190,0.0509090146067236
ACH-000198,0.01561223657212606
ACH-000203,-0.061074152675482364
ACH-000204,0.1533903510874521
ACH-000206,-0.05920003149445925
ACH-000207,-0.0823636152999252
