,NPIPB6 (728741)
ACH-000004,-0.6241373194373114
ACH-000005,-0.583325742803617
ACH-000007,-0.2740961242092277
ACH-000009,-0.21647976905505245
ACH-000011,-0.34007800578657754
ACH-000012,-0.24285690493229256
ACH-000013,-0.4612173802889897
ACH-000014,-0.4011877268881592
ACH-000015,-0.4822866341834137
ACH-000017,-0.16480745988643092
ACH-000018,-0.3849101682278028
ACH-000019,-0.12432278369029935
ACH-000021,-0.4745112908434903
ACH-000022,-0.4133037598575301
ACH-000025,-0.41410151720444
ACH-000028,-0.04617109202574138
ACH-000030,-0.3685666002529868
ACH-000035,-0.3582164564217835
ACH-000036,-0.39026704003145896
ACH-000037,-0.36746884400124336
ACH-000039,-0.24302883947164364
ACH-000040,-0.16285000124662008
ACH-000041,-0.32147107156635096
ACH-000042,-0.3386115805103741
ACH-000045,-0.3769810308953874
ACH-000047,-0.1713955291032595
ACH-000052,-0.15457936794028654
ACH-000053,-0.3741295721196225
ACH-000054,-0.20877445865151725
ACH-000055,-0.21667753279001115
ACH-000060,-0.2278511927808433
ACH-000067,-0.26434607346847
ACH-000070,-0.18830326373232503
ACH-000075,-0.33656357091252936
ACH-000078,-0.2984373052129504
ACH-000082,-0.211793667450094
ACH-000085,-0.08945985831651393
ACH-000086,-0.3188700591971251
ACH-000087,-0.09162605672799218
ACH-000092,-0.24745692942641384
ACH-000095,-0.3940702132368887
ACH-000097,-0.20853132840093772
ACH-000098,-0.5047138876673332
ACH-000099,-0.25703839189784405
ACH-000108,-0.24689585167241146
ACH-000113,-0.4256127136182707
ACH-000116,-0.23848156010331276
ACH-000118,-0.2816463415614372
ACH-000120,-0.1966408728482956
ACH-000123,-0.4041401856218711
ACH-000127,-0.5290894710080286
ACH-000128,-0.4475662789696366
ACH-000132,-0.2838158187410773
ACH-000133,-0.25488039690484005
ACH-000137,-0.4302529351760976
ACH-000138,-0.16726408426874118
ACH-000142,-0.30632972425163496
ACH-000143,-0.4914016487089611
ACH-000146,-0.4095156854643334
ACH-000148,-0.5488373368346738
ACH-000150,-0.2381027715971299
ACH-000152,-0.027399637974494188
ACH-000153,-0.5850354719358904
ACH-000159,-0.4415021868609735
ACH-000160,-0.23276622501723876
ACH-000163,-0.1882961464107213
ACH-000167,-0.3590286757563902
ACH-000168,-0.4542661957273778
ACH-000169,-0.3074367968213394
ACH-000178,-0.3782635963882173
ACH-000183,-0.3498206619837501
ACH-000188,-0.15335601475269772
ACH-000189,-0.37686859512698495
ACH-000190,-0.3258609965120294
ACH-000198,-0.3513575075030526
ACH-000203,-0.38272159518244186
ACH-000204,-0.11596808371699882
ACH-000206,-0.7554778515941637
ACH-000207,-0.22770184324401185
ACH-000208,0.013738333443448388
ACH-000210,-0.014037696336489294
ACH-000211,-0.2693613640940609
ACH-000215,-0.4223503758608087
ACH-000221,-0.5761364562503706
ACH-000222,-0.31655957009394003
ACH-000223,-0.16852166512373984
ACH-000226,-0.4742305282028965
ACH-000227,-0.560692446076159
ACH-000228,-0.10657031678436184
ACH-000231,-0.3513884273836749
ACH-000232,-0.3322467209251173
ACH-000233,-0.5018371903122545
ACH-000234,-0.297650511739118
ACH-000235,-0.2428344693458241
ACH-000237,-0.4075755504493823
ACH-000238,0.22623997496178685
ACH-000242,-0.04424284225949784
ACH-000243,-0.5685073902202129
ACH-000244,-0.4622384768048872
ACH-000246,-0.054468390066038215
ACH-000248,-0.1737234695218762
ACH-000250,-0.2785804104123613
ACH-000251,-0.2576224793332238
ACH-000252,-0.22728039270891165
ACH-000253,-0.3911742326208856
ACH-000255,-0.2285737099210211
ACH-000256,-0.4225833756701748
ACH-000257,0.048106587989463684
ACH-000258,-0.2920289036298785
ACH-000259,-0.211231221050899
ACH-000260,-0.5082167429301073
ACH-000261,-0.4812104133182776
ACH-000262,-0.32415408234486953
