,TGFBR3L (100507588)
ACH-000004,-0.07508214710319294
ACH-000005,-0.5528213050105657
ACH-000007,0.02410887453174436
ACH-000009,0.2185167628445437
ACH-000011,-0.0810223017271927
ACH-000012,0.12966974502974768
ACH-000013,-0.10754482384892866
ACH-000014,-0.1270984961882349
ACH-000015,-0.0794549357930101
ACH-000017,-0.16000469195650388
ACH-000018,0.07741966976215207
ACH-000019,0.034376164486948586
ACH-000021,-0.02842291549999404
ACH-000022,-0.03099641312517868
ACH-000025,-0.1514414790710156
ACH-000028,0.06957682054022472
ACH-000030,-0.05494761711218552
ACH-000035,-0.020144901365959138
ACH-000036,-0.09440396214894604
ACH-000037,-0.11700925530972407
ACH-000039,0.07365181616931123
ACH-000040,-0.060425997202980225
ACH-000041,-0.0380994610261796
ACH-000042,0.07812909251776026
ACH-000045,-0.13833680683729935
ACH-000047,-0.12330623468637122
ACH-000052,-0.06514190744159264
ACH-000053,0.03303428180458915
ACH-000054,-0.21462765403527115
ACH-000055,-0.16079638545263775
ACH-000060,-0.015642959654640236
ACH-000067,-0.07974747635281383
ACH-000070,-0.031831479154933374
ACH-000075,-0.009965145354370798
ACH-000078,0.004171113857541901
ACH-000082,-0.0334168947860251
ACH-000085,0.09533203795592436
ACH-000086,-0.12051337464085952
ACH-000087,0.15057525309588202
ACH-000092,-0.07048627659336087
ACH-000095,-0.09670717180660628
ACH-000097,-0.12880223463943738
ACH-000098,-0.21459411349020804
ACH-000099,0.07548701210612449
ACH-000108,-0.16962104006624865
ACH-000113,-0.1247601219202866
ACH-000116,-0.17269683915162906
ACH-000118,-0.13832105546338336
ACH-000120,-0.050377282459152725
ACH-000123,-0.09730665023045043
ACH-000127,-0.07755351638382653
ACH-000128,-0.27615240647193673
ACH-000132,-0.019444437953458203
ACH-000133,-0.03872935413644201
ACH-000137,-0.04856689489110524
ACH-000138,-0.1503407056195546
ACH-000142,0.01055226201431343
ACH-000143,0.12277427135847124
ACH-000146,-0.05722834828088365
ACH-000148,0.0173217609913446
ACH-000150,-0.030679158194190474
ACH-000152,-0.09344534244221647
ACH-000153,0.1277712010682535
ACH-000159,-0.04507779740073868
ACH-000160,-0.04434302280465769
ACH-000163,-0.12985594364148353
ACH-000167,-0.05903851378997059
ACH-000168,-0.1487711424603965
ACH-000169,-0.07199177651021715
ACH-000178,0.04543459262438765
ACH-000183,-0.09913644859155417
ACH-000188,0.0036290538428776268
ACH-000189,-0.01464952639977434
ACH-000190,0.051752023951893024
ACH-000198,-0.030474499218978414
ACH-000203,-0.23229953784637405
ACH-000204,-0.05091419236694187
ACH-000206,0.2305009162238023
ACH-000207,-0.1459238539970839
ACH-000208,-0.1736578250311415
ACH-000210,0.14853077385984795
ACH-000211,0.048958256339823335
ACH-000215,-0.09698400138961916
ACH-000221,-0.05366050053301436
ACH-000222,-0.0739918498784469
ACH-000223,-0.1586394476325045
ACH-000226,-0.2000737543383524
ACH-000227,0.06488235361047584
ACH-000228,-0.2594450037963837
ACH-000231,-0.09332438431377754
ACH-000232,-0.06552101746639184
ACH-000233,-0.06547868783190433
ACH-000234,-0.2447980016804233
ACH-000235,-0.12091357371180148
ACH-000237,-0.04067402427451624
ACH-000238,0.017262648874189337
ACH-000242,0.1715168915165849
ACH-000243,-0.1267693320565783
ACH-000244,0.0933590629497403
ACH-000246,-0.09217426528663901
ACH-000248,0.03044678048605935
ACH-000250,-0.04545374537220174
ACH-000251,-0.18066791898209605
ACH-000252,0.0064955360502102315
ACH-000253,-0.10279170782699848
ACH-000255,-0.035667879330676285
ACH-000256,0.030217208031909627
ACH-000257,0.07654993255636719
ACH-000258,-0.15087981397018102
ACH-000259,-0.14647842080022733
ACH-000260,-0.05244224849272637
ACH-000261,-0.1859357351923501
ACH-000262,-0.309090162326128
ACH-000263,0.2630086245357013
ACH-000264,0.020525078571852592
ACH-000265,-0.06012854694863123
ACH-000266,-0.10053406101610476
ACH-000272,-0.05061673471857153
ACH-000274,-0.07518137438615641
ACH-000277,0.07912055157674744
ACH-000278,-0.1455802025963801
ACH-000279,-0.08109233846190679
ACH-000280,-0.06543440069813873
ACH-000281,-0.13779598141266872
ACH-000288,-0.10417985892895948
ACH-000291,-0.14807925240876832
ACH-000293,0.004559082111296253
ACH-000294,-0.104420419950849
ACH-000295,-0.20002286658807628
ACH-000296,-0.2700233903982365
ACH-000302,-0.10385741089515664
ACH-000304,-0.015648117460869696
ACH-000307,-0.14095894036865153
ACH-000308,-0.014498172590989275
