,SULT2B1 (6820)
ACH-000004,-0.020825169785289446
ACH-000005,-0.2184061217687588
ACH-000007,-0.21020435340447494
ACH-000009,-0.3455676391328009
ACH-000011,-0.10339027567620687
ACH-000012,-0.2941884919623318
ACH-000013,-0.4130317544324996
ACH-000014,-0.23662316291667498
ACH-000015,-0.3946543887985839
ACH-000017,-0.23713353398524736
ACH-000018,-0.42511288353001625
ACH-000019,-0.2145726343153572
ACH-000021,-0.1871733833395672
ACH-000022,-0.30526086074895514
ACH-000025,-0.10069216854199088
ACH-000028,-0.245902512497702
ACH-000030,-0.33792266625279216
ACH-000035,-0.1597644155183145
ACH-000036,-0.17515955803907804
ACH-000037,-0.16947336305571448
ACH-000039,-0.30703723339489464
ACH-000040,-0.09977654873819823
ACH-000041,-0.1306385817092027
ACH-000042,-0.15858968958988506
ACH-000045,-0.25148359279216065
ACH-000047,-0.4637849275373265
ACH-000052,-0.2834223842161739
ACH-000053,-0.14692896828131094
ACH-000054,-0.16240824399830645
ACH-000055,-0.197148103841796
ACH-000060,-0.08123471308379111
ACH-000067,-0.15936400251266328
ACH-000070,-0.1561806296643516
ACH-000075,-0.23085139798042115
ACH-000078,-0.2655102368363839
ACH-000082,-0.21333060444711524
ACH-000085,-0.466302751612716
ACH-000086,-0.2470085882205054
ACH-000087,-0.14108758653011744
ACH-000092,-0.2515479087289869
ACH-000095,-0.19521502586814524
ACH-000097,-0.2264950007641692
ACH-000098,-0.30541928826174125
ACH-000099,-0.2325967961721787
ACH-000108,-0.3236877510056117
ACH-000113,-0.1994457134307281
ACH-000116,-0.1692828614720385
ACH-000118,-0.24556161032548596
ACH-000120,-0.28803447836151475
ACH-000123,-0.33023136904949885
ACH-000127,-0.2992718443258048
ACH-000128,-0.26740225830972675
ACH-000132,-0.17989971388580775
ACH-000133,-0.2500070778475679
ACH-000137,-0.4585987449673783
ACH-000138,-0.36621931697935983
ACH-000142,-0.22385019314676194
ACH-000143,-0.22557103424437985
ACH-000146,-0.22324660434645174
ACH-000148,-0.19518141930252814
ACH-000150,-0.11682558132991852
ACH-000152,-0.21699679996434315
ACH-000153,-0.3687621390989387
ACH-000159,-0.289029090357574
ACH-000160,-0.06662994552579521
ACH-000163,-0.15946958962588714
ACH-000167,-0.3604058934233477
ACH-000168,-0.1565634109936608
ACH-000169,-0.1747661666841116
ACH-000178,-0.259659490351135
ACH-000183,-0.05176638566208154
ACH-000188,-0.12648799619918247
ACH-000189,-0.2483851430842607
ACH-000190,-0.3260044513154096
ACH-000198,-0.2987543129804299
ACH-000203,-0.51232592677319
ACH-000204,-0.12818985312420167
ACH-000206,-0.16667509202556685
ACH-000207,-0.19339722346663876
ACH-000208,-0.20291540133938327
ACH-000210,-0.20323856935159684
ACH-000211,-0.22573690187751855
ACH-000215,-0.19728820126015972
ACH-000221,-0.3470802111642756
ACH-000222,-0.29117087504797906
ACH-000223,-0.11649183159291815
ACH-000226,-0.15407309899942798
ACH-000227,-0.197195348218096
ACH-000228,-0.03315962928678212
ACH-000231,-0.11350546649634465
ACH-000232,-0.2400838567317359
ACH-000233,-0.2601962181925733
ACH-000234,-0.2659052412033334
ACH-000235,-0.2660081548268516
ACH-000237,-0.2700188200232687
ACH-000238,-0.05235352682611681
ACH-000242,-0.5079276763632831
ACH-000243,-0.12838438269307426
ACH-000244,-0.16913502513228873
ACH-000246,-0.25991598250170794
ACH-000248,-0.16696446582679594
ACH-000250,-0.2375415426965286
ACH-000251,-0.21896810651593596
ACH-000252,-0.15397188048070462
ACH-000253,-0.18119661132673076
ACH-000255,-0.33413665443323826
ACH-000256,-0.19385823563874585
ACH-000257,-0.2764925804550184
ACH-000258,-0.198032200668786
ACH-000259,-0.2269530885211549
ACH-000260,-0.1374710284868806
ACH-000261,-0.1488260721829284
ACH-000262,-0.4198382297372879
ACH-000263,0.018060848254379168
ACH-000264,-0.1009483898341899
ACH-000265,-0.3351009572436406
ACH-000266,-0.17152954464728307
ACH-000272,-0.13687900907873993
ACH-000274,-0.22405366935137488
ACH-000277,-0.18300821545460336
ACH-000278,-0.2236325473091756
ACH-000279,-0.2672269877891332
ACH-000280,-0.3994254174454183
ACH-000281,-0.3278594689978417
ACH-000288,-0.09069492169057976
ACH-000291,-0.2606663579225114
ACH-000293,-0.254098681186226
ACH-000294,-0.4400822406813361
ACH-000295,-0.19759579843499234
ACH-000296,-0.3935983064465928
ACH-000302,-0.4686915055070829
ACH-000304,-0.35595621667390204
ACH-000307,0.0036281376104058062
ACH-000308,-0.3204756656832365
ACH-000310,-0.14769147790728676
ACH-000311,-0.18727957412282112
ACH-000312,-0.2288690878678487
ACH-000315,-0.2885447559709687
ACH-000316,-0.14701595716080795
ACH-000317,-0.09624756512649754
ACH-000318,-0.2404885287540473
ACH-000319,-0.3185210166035117
ACH-000320,-0.1813256422896478
ACH-000322,-0.05347689099005914
ACH-000323,-0.3680190577424529
ACH-000324,-0.32518258515626364
ACH-000329,-0.13798804841141246
ACH-000330,-0.1567358335573313
ACH-000331,-0.01905795782277225
ACH-000332,-0.22796278555554936
ACH-000334,-0.13624012038948338
ACH-000335,-0.1519723900599146
ACH-000336,-0.07942812539838877
ACH-000337,-0.22432093304041864
ACH-000338,0.023727735744995128
ACH-000339,-0.28956674825523737
ACH-000341,-0.25665381302100304
ACH-000348,-0.24216834309495094
ACH-000350,-0.3234902621132628
ACH-000352,-0.31901396871223536
ACH-000356,-0.2715386404345774
ACH-000361,-0.17340660250263734
ACH-000362,-0.19041089687243615
ACH-000363,-0.2099530498131386
ACH-000364,-0.2221941833148828
ACH-000365,-0.15710078875053207
ACH-000366,-0.2985209138785879
ACH-000368,0.051616553955418205
ACH-000374,-0.13172593987490502
ACH-000375,-0.2880600878267036
ACH-000376,-0.07021832549139509
ACH-000381,-0.33753472841558785
ACH-000383,-0.1654717759934289
ACH-000387,-0.13523379536047828
ACH-000389,-0.1661577608045899
ACH-000390,-0.17878069115847578
ACH-000393,-0.16666472543702934
ACH-000395,-0.4051303723196431
ACH-000396,-0.1196926817484781
ACH-000397,-0.30554263889029576
ACH-000401,-0.3408334720575077
ACH-000402,-0.3586351222803834
ACH-000403,-0.25886091169183506
ACH-000404,-0.280669913965021
ACH-000406,-0.09893577329234984
ACH-000407,-0.2419539540563265
