,TWF2 (11344)
ACH-000004,-0.3091011953804198
ACH-000005,-0.2544038015570741
ACH-000007,-0.1611371988583284
ACH-000009,-0.15450109142894
ACH-000011,-0.04448405374408144
ACH-000012,-0.29751406405852937
ACH-000013,-0.0567910813948531
ACH-000014,-0.03971359086183303
ACH-000015,-0.30268365343107834
ACH-000017,-0.12553627098279244
ACH-000018,-0.3920530299861355
ACH-000019,-0.15726119143121836
ACH-000021,-0.10578935582896977
ACH-000022,-0.182752525846508
ACH-000025,-0.1115983104118024
ACH-000028,-0.2039850901630639
ACH-000030,-0.20114786480528998
ACH-000035,-0.02667703869716815
ACH-000036,-0.26144431272178875
ACH-000037,0.05900548211452492
ACH-000039,0.014513892663436478
ACH-000040,-0.1934262987520884
ACH-000041,-0.22016818170799224
ACH-000042,-0.1818344716710472
ACH-000045,-0.07220366086922393
ACH-000047,-0.27937878424858353
ACH-000052,0.09475682111078076
ACH-000053,-0.1598823984498466
ACH-000054,-0.2454178726327208
ACH-000055,-0.08567996046758243
ACH-000060,-0.3654053541542086
ACH-000067,-0.3410135777141577
ACH-000070,-0.3399935309017046
ACH-000075,-0.03255938210266997
ACH-000078,-0.07916151332254083
ACH-000082,-0.0602277257293684
ACH-000085,0.18248424921698994
ACH-000086,-0.13872618265756054
ACH-000087,-0.17892340362686365
ACH-000092,-0.11483320185441576
ACH-000095,-0.022659746394287472
ACH-000097,-0.1608428875979925
ACH-000098,-0.09845632559269796
ACH-000099,-0.20839123643920326
ACH-000108,-0.017774540752243204
ACH-000113,-0.0908130031584346
ACH-000116,-0.14108851068139727
ACH-000118,-0.1840603804664981
ACH-000120,0.03617135620705078
ACH-000123,-0.13387458303061375
ACH-000127,-0.08174892270228498
ACH-000128,-0.26909209718965005
ACH-000132,-0.2612709290452696
ACH-000133,-0.1505593554306277
ACH-000137,-0.2749644589041673
ACH-000138,-0.14224117792500932
ACH-000142,-0.15327842869495822
ACH-000143,-0.3049922579559034
ACH-000146,-0.22353675028978925
ACH-000148,-0.07981905599360888
ACH-000150,-0.27548498022964074
ACH-000152,-0.2553730769257879
ACH-000153,0.033256905376521685
ACH-000159,-0.09936979775455898
ACH-000160,-0.21406668950985447
ACH-000163,-0.07411345698587771
ACH-000167,0.009892501544825802
ACH-000168,-0.3134944145272846
ACH-000169,-0.1525256073557785
ACH-000178,-0.13647434965058752
ACH-000183,-0.21144263263268134
ACH-000188,-0.33250731040008263
ACH-000189,-0.2106601574606962
ACH-000190,-0.11689634732752
ACH-000198,-0.11232223338554834
ACH-000203,-0.2056903286318294
ACH-000204,-0.32646084996883273
ACH-000206,-0.045410768543611625
ACH-000207,-0.10837987480510736
ACH-000208,-0.09216902028636613
ACH-000210,-0.15569128651496236
ACH-000211,-0.10789827393677227
ACH-000215,-0.07949197145234951
ACH-000221,-0.16634485317872344
ACH-000222,0.07004966487681573
ACH-000223,-0.24125289960708746
ACH-000226,-0.09438812657107996
ACH-000227,-0.1597866579530476
ACH-000228,-0.2511669808842204
ACH-000231,-0.2751417310347947
ACH-000232,-0.06797880606432466
ACH-000233,-0.05189236691573066
ACH-000234,-0.17769686334395615
ACH-000235,-0.12785745468624524
ACH-000237,-0.13090563744086905
ACH-000238,-0.4152026223174389
ACH-000242,0.056254566627898316
ACH-000243,-0.12015932852683915
ACH-000244,-0.33565472051881945
ACH-000246,-0.26517446985928944
ACH-000248,-0.2134867370387733
ACH-000250,-0.21644566222637995
ACH-000251,-0.3217315491672969
ACH-000252,-0.0278064487515792
ACH-000253,-0.12207244833661125
ACH-000255,-0.2201187778017644
ACH-000256,-0.08281402851534213
ACH-000257,-0.2852328978296352
ACH-000258,-0.2267323626085225
ACH-000259,-0.10540887788443716
ACH-000260,-0.1898024386496608
ACH-000261,-0.14264405732969698
ACH-000262,-0.029120967340717983
ACH-000263,-0.11404288816421758
ACH-000264,-0.17980471936894585
ACH-000265,-0.2284065548937915
ACH-000266,-0.18752196350410008
ACH-000272,-0.06499263492851079
ACH-000274,-0.21602250196569348
ACH-000277,-0.10958107765084983
ACH-000278,-0.048843096348964506
ACH-000279,-0.16535013225569073
ACH-000280,-0.2976905413997941
ACH-000281,-0.07193865976099963
ACH-000288,-0.05323654514164231
ACH-000291,-0.08206593472330471
ACH-000293,-0.0019273398132863926
ACH-000294,-0.2686344747629983
ACH-000295,-0.3442345479752187
ACH-000296,-0.4576702388885292
ACH-000302,-0.1851038999330226
ACH-000304,-0.2685299881399173
ACH-000307,-0.17097517981417604
ACH-000308,-0.0920413664205337
ACH-000310,-0.06045720990657324
