,CDX2 (1045)
ACH-000004,-0.09896663458185814
ACH-000005,0.015086129378079146
ACH-000007,-0.8006008021272809
ACH-000009,-0.1372960230739299
ACH-000011,-0.18404406022187866
ACH-000012,-0.13282011554291925
ACH-000013,-0.09990659089834963
ACH-000014,-0.0525839856571968
ACH-000015,-0.11350012600507277
ACH-000017,-0.1086514773445446
ACH-000018,-0.12391790067738673
ACH-000019,0.04694727998770232
ACH-000021,-0.20222631602364746
ACH-000022,-0.2996354989953072
ACH-000025,-0.12744153217659787
ACH-000028,0.024991417741791574
ACH-000030,-0.10057532076270202
ACH-000035,-0.1376062419344637
ACH-000036,-0.1034876499485346
ACH-000037,-0.12088354292037068
ACH-000039,-0.132132822746849
ACH-000040,-0.2289269601017133
ACH-000041,-0.06571316090167982
ACH-000042,-0.3359786286762266
ACH-000045,-0.3178358272819881
ACH-000047,-0.09608347232200116
ACH-000052,-0.2188956226750556
ACH-000053,-0.01435231474616609
ACH-000054,-0.16419221552144606
ACH-000055,-0.20301894794370595
ACH-000060,-0.20578589475620374
ACH-000067,-0.10493628116108507
ACH-000070,-0.13483648216847416
ACH-000075,-0.3490285206102804
ACH-000078,-0.05955772398119395
ACH-000082,-0.10719093680156072
ACH-000085,-0.09740674883544864
ACH-000086,-0.17559464266279054
ACH-000087,-0.13090158059347312
ACH-000092,-0.16222499079199246
ACH-000095,-0.15410787917477892
ACH-000097,-0.09181493375488836
ACH-000098,-0.16951547635936115
ACH-000099,-0.0855416493980111
ACH-000108,-0.11916895995017812
ACH-000113,-0.09119657007563617
ACH-000116,-0.2554495624401843
ACH-000118,-0.1129084403568368
ACH-000120,-0.11490206569004367
ACH-000123,-0.026726121145715397
ACH-000127,-0.047790228186261066
ACH-000128,-0.19953140407459213
ACH-000132,-0.1914709580561786
ACH-000133,-0.07861198626170496
ACH-000137,-0.201192394332082
ACH-000138,-0.1811435318563164
ACH-000142,-0.032985043308183394
ACH-000143,-0.1245672569377731
ACH-000146,-0.18891426311525336
ACH-000148,-0.14166319348495754
ACH-000150,-0.1808928340082828
ACH-000152,-0.18447524442816948
ACH-000153,-0.025087851890598003
ACH-000159,-0.21272212234378404
ACH-000160,-0.30717665823072515
ACH-000163,-0.1596997656988988
ACH-000167,-0.09178076558902833
ACH-000168,-0.08497074795945636
ACH-000169,-0.030176463627281668
ACH-000178,-0.11161738241684503
ACH-000183,-0.13003995735270354
ACH-000188,-0.17938404775802558
ACH-000189,-0.02012624921370687
ACH-000190,-0.08601498745057615
ACH-000198,0.03336153178739143
ACH-000203,-0.1774813894425018
ACH-000204,-0.11915368797540908
ACH-000206,-0.16414513408368486
ACH-000207,-0.0615043848486066
ACH-000208,-0.03957821420386514
ACH-000210,-0.4905577671321116
ACH-000211,-0.09437708204794892
ACH-000215,-0.1661565750489961
ACH-000221,-0.2547156473559713
ACH-000222,-0.03134425138893439
ACH-000223,-0.19053116974025802
ACH-000226,-0.14373628580255954
ACH-000227,0.1579043684480427
ACH-000228,-0.23304711905622014
ACH-000231,-0.21086593091485767
ACH-000232,-0.12340364712450892
ACH-000233,-0.12466506252729838
ACH-000234,-0.10353507479163207
ACH-000235,-0.2165264205017973
ACH-000237,-0.07633207684500014
ACH-000238,-0.16382638826278215
ACH-000242,-0.22010283201386088
ACH-000243,-0.15491877300010246
ACH-000244,-0.05773337163670065
ACH-000246,-0.10389628060910186
ACH-000248,-0.09916806062551344
ACH-000250,-0.09685088382669242
ACH-000251,-0.009236917658796891
ACH-000252,-0.4478153800059586
ACH-000253,-0.12678572557066192
ACH-000255,-0.19472856813152653
ACH-000256,-0.08332329410764028
ACH-000257,-0.16678150045307313
ACH-000258,-0.4430431983176982
ACH-000259,-0.15963561118873584
ACH-000260,-0.11490567570974627
ACH-000261,-0.16386451739349284
ACH-000262,-0.3082807738908729
ACH-000263,-0.030678834281133712
