,PAK2 (5062)
ACH-000004,-0.17331038116143285
ACH-000005,0.05670485167804103
ACH-000007,-0.16812360687554512
ACH-000009,-0.15766707405697586
ACH-000011,-0.7179449361799273
ACH-000012,-0.2661237386207842
ACH-000013,-0.03855158024319661
ACH-000014,-0.027903994143181243
ACH-000015,-0.10367189631716947
ACH-000017,-0.6906596891945583
ACH-000018,-0.3189811021494395
ACH-000019,-0.2832636458378399
ACH-000021,-0.2077829985109078
ACH-000022,-0.2541580797012496
ACH-000025,-0.20736575662739606
ACH-000028,-0.16505777183764606
ACH-000030,-0.2008147755888564
ACH-000035,-0.15412363015143082
ACH-000036,-0.2737206305600677
ACH-000037,-0.1124668613254778
ACH-000039,-0.19825623038049506
ACH-000040,-0.2421115425692801
ACH-000041,-0.16718991958540752
ACH-000042,-0.12023554332690345
ACH-000045,-0.0887623698293936
ACH-000047,-0.07261599352704817
ACH-000052,0.023014711197275915
ACH-000053,-0.07372308784823411
ACH-000054,-0.6763506295449071
ACH-000055,0.023258539903356718
ACH-000060,-0.19486193990877934
ACH-000067,-0.15852521136332662
ACH-000070,-0.15945988303453806
ACH-000075,-0.3094268995472229
ACH-000078,-0.23805429960233496
ACH-000082,0.0004970193262279347
ACH-000085,-0.30469923697259416
ACH-000086,-0.14571568066433024
ACH-000087,-0.1347772471337721
ACH-000092,-0.9468355681505871
ACH-000095,-0.22238544314588174
ACH-000097,-0.4910584595674799
ACH-000098,0.06651407766869145
ACH-000099,-0.08528406100130342
ACH-000108,-0.2760139595052002
ACH-000113,-0.29888306381128743
ACH-000116,-0.16211282566679214
ACH-000118,-0.2613955456597788
ACH-000120,-0.2243684834598154
ACH-000123,-0.2385183300051395
ACH-000127,-0.4659311829561885
ACH-000128,-0.4213297842293756
ACH-000132,-0.3963066158237592
ACH-000133,-0.28264381364025715
ACH-000137,-0.12011497638006866
ACH-000138,-0.01915490814217144
ACH-000142,-0.3279469489113168
ACH-000143,-0.36612762564898255
ACH-000146,0.06989110241474171
ACH-000148,-0.14475727733922197
ACH-000150,-0.384452566971464
ACH-000152,-0.4850229300750706
ACH-000153,-0.08684945851674042
ACH-000159,-0.1093605327909654
ACH-000160,-0.27271598792078444
ACH-000163,-0.0019939786288770073
ACH-000167,-0.16715848322991222
ACH-000168,-0.09615857718727223
ACH-000169,-0.0822035549789368
ACH-000178,-0.3429002485654992
ACH-000183,-0.1166892168525908
ACH-000188,-0.2438412665717978
ACH-000189,0.04266033882316183
ACH-000190,-0.10154879512739724
ACH-000198,-0.18264260931164986
ACH-000203,-0.3184979664468278
ACH-000204,-0.2517597215954978
ACH-000206,-0.34937690800762033
ACH-000207,-0.04336025089079472
ACH-000208,-0.1670753052898198
ACH-000210,-0.07958072800753033
ACH-000211,-0.06460014782129024
ACH-000215,-0.19287713170828236
ACH-000221,-0.16832122880522554
ACH-000222,-0.3309959740480155
ACH-000223,-0.26008420307936725
ACH-000226,-0.07809388793210116
ACH-000227,-0.13158207605142988
ACH-000228,-0.3372602859628933
ACH-000231,-0.3751220489700666
ACH-000232,-0.16279252839908334
ACH-000233,-0.12437094293677073
ACH-000234,-0.17017899101850445
ACH-000235,-0.36245828867883706
ACH-000237,-0.2116039931986265
ACH-000238,-0.15503396486238186
ACH-000242,-0.3873227676633736
ACH-000243,-0.07823301498386391
ACH-000244,-0.3623055585998298
ACH-000246,-0.5372893022758816
ACH-000248,-0.3933076822654504
ACH-000250,-0.1968334499980659
ACH-000251,-0.03979558408156745
ACH-000252,-0.23397544590438096
ACH-000253,-0.12469147806139325
ACH-000255,-0.3322846089556499
ACH-000256,-0.2609398878610816
ACH-000257,-0.15248419681298095
ACH-000258,-0.08140866555204747
ACH-000259,-0.13609262445071174
ACH-000260,-0.08463952691714688
ACH-000261,-0.2831390446793245
ACH-000262,-0.15962066879103765
ACH-000263,-0.33606622636305417
ACH-000264,-0.2381488422992998
ACH-000265,-0.16494273228950485
ACH-000266,-0.3264757044767428
ACH-000272,-0.13013303194606085
ACH-000274,-0.195561738002846
ACH-000277,-0.26511542757036977
ACH-000278,0.013260250435436712
ACH-000279,-0.16539241968900292
ACH-000280,-0.35514450501002603
ACH-000281,-0.5655488173605501
ACH-000288,-0.5429827443858259
ACH-000291,-0.05551207278826941
ACH-000293,-0.2433130344971088
ACH-000294,-0.19918392150362046
ACH-000295,-0.04737396494610253
ACH-000296,-0.19506923124949654
ACH-000302,-0.4001494565086939
ACH-000304,-0.5226115234278685
ACH-000307,-0.09371437612228237
ACH-000308,-0.06662643593432538
ACH-000310,-0.29038578478596977
ACH-000311,-0.29079002775429663
ACH-000312,-0.16886134153137222
ACH-000315,-0.12239811452566778
ACH-000316,-0.3732059531127385
ACH-000317,-0.285882009335794
ACH-000318,-0.2909551371532097
ACH-000319,-0.28400307449716283
ACH-000320,-0.3108935168637877
ACH-000322,-0.0628989472037865
ACH-000323,-0.05030409113860287
ACH-000324,-0.4106245702225389
ACH-000329,-0.5008654419153302
ACH-000330,-0.40659925227926896
ACH-000331,-0.7101860208988277
ACH-000332,-0.28561333780593384
ACH-000334,-0.04678702866137407
ACH-000335,-0.15287669999684247
ACH-000336,0.08249103826884195
ACH-000337,-0.13311441571453195
ACH-000338,-0.08883462272146657
ACH-000339,-0.17920895887517038
ACH-000341,-0.2335981798001524
ACH-000348,-0.2537395616223817
ACH-000350,-0.1661189670839143
ACH-000352,-0.047848152110116365
ACH-000356,-0.04016571527141863
ACH-000361,-0.05225734564615074
ACH-000362,0.04719705153375566
ACH-000363,-0.032817168492210176
ACH-000364,-0.20420777113422867
ACH-000365,-0.4980779076838222
ACH-000366,-0.0915588030529404
ACH-000368,-0.23963517688898214
ACH-000374,-0.06952394880806588
ACH-000375,-0.4289942349922529
ACH-000376,-0.1981771050200141
ACH-000381,-0.19821691204478975
