,BPNT1 (10380)
ACH-000004,-0.43443240021787743
ACH-000005,-0.18864717028906627
ACH-000007,-0.1978710062580212
ACH-000009,-0.3332010819927095
ACH-000011,-0.24237023977463915
ACH-000012,-0.1911955866918944
ACH-000013,-0.07207717738615191
ACH-000014,-0.4073487169989842
ACH-000015,-0.21994252330917555
ACH-000017,-0.3176012242240666
ACH-000018,-0.23547989699259164
ACH-000019,-0.18273903067393996
ACH-000021,-0.2463338715543026
ACH-000022,-0.29048460257556225
ACH-000025,-0.1913246736502766
ACH-000028,-0.3006692464923996
ACH-000030,-0.3566890829467608
ACH-000035,-0.17782277388204848
ACH-000036,-0.4676110208781754
ACH-000037,-0.2917629364871975
ACH-000039,-0.09760980907266498
ACH-000040,-0.3248236473779477
ACH-000041,-0.16097413900898544
ACH-000042,-0.2407872550505762
ACH-000045,-0.2269594386277752
ACH-000047,-0.3090763595993625
ACH-000052,-0.11305644983587808
ACH-000053,-0.4194568943211938
ACH-000054,-0.2789964092920972
ACH-000055,-0.3227823257071061
ACH-000060,-0.2256944589318088
ACH-000067,-0.31782126245660536
ACH-000070,-0.10201211597030144
ACH-000075,-0.3463257318221453
ACH-000078,-0.20994880608170602
ACH-000082,-0.2588547830597256
ACH-000085,-0.11107347046847747
ACH-000086,-0.1248066017277626
ACH-000087,-0.020181111231015715
ACH-000092,-0.20175183060626692
ACH-000095,-0.20053173263133456
ACH-000097,-0.272313115196656
ACH-000098,-0.3024517375747956
ACH-000099,-0.13370150617085594
ACH-000108,-0.3319621905686289
ACH-000113,-0.32917951760752073
ACH-000116,-0.15912345564636893
ACH-000118,-0.17810538905973547
ACH-000120,-0.3795181327611277
ACH-000123,-0.17173462574202367
ACH-000127,-0.2343073614760588
ACH-000128,-0.1811443654408319
ACH-000132,-0.19001435595663488
ACH-000133,-0.13213914820989828
ACH-000137,-0.2076379601281752
ACH-000138,-0.3149432892074682
ACH-000142,-0.4751687533342306
ACH-000143,-0.2650860138399517
ACH-000146,-0.19173921272296965
ACH-000148,-0.17740160733092453
ACH-000150,-0.15007367936145294
ACH-000152,-0.1931900771763085
ACH-000153,-0.1201320100893755
ACH-000159,-0.2048022890821065
ACH-000160,-0.3218937123262018
ACH-000163,-0.2594198608276785
ACH-000167,-0.06116301678736055
ACH-000168,-0.16864232303690607
ACH-000169,-0.2942751163096816
ACH-000178,-0.2177082152910747
ACH-000183,-0.20483319013192425
ACH-000188,-0.19673111777992908
ACH-000189,-0.1375548829303005
ACH-000190,-0.1328763322573908
ACH-000198,-0.2845844221639696
ACH-000203,-0.4532410446762413
ACH-000204,-0.13139399285277295
ACH-000206,-0.005364012578027959
ACH-000207,-0.2833153521035365
ACH-000208,-0.20257375632792748
ACH-000210,-0.2404261530642731
ACH-000211,-0.08001999355141999
ACH-000215,-0.25519912364751224
ACH-000221,-0.0086727046421463
ACH-000222,-0.30496288526649323
ACH-000223,-0.19565226242882547
ACH-000226,-0.2861210039878165
ACH-000227,-0.3116707046257178
ACH-000228,-0.20105767884378106
ACH-000231,-0.18034090740810707
ACH-000232,-0.16223909969289002
ACH-000233,-0.20797277414987989
ACH-000234,-0.3538684512089031
ACH-000235,-0.23117046536971814
ACH-000237,-0.06398711349076858
ACH-000238,-0.19917428635761067
ACH-000242,-0.09521644150286984
ACH-000243,-0.14837829748328565
