,ZCRB1 (85437)
ACH-000004,-0.7475667617289721
ACH-000005,-0.6521665254587883
ACH-000007,-0.7372076366478365
ACH-000009,-0.5131476739091217
ACH-000011,-0.7185707764409085
ACH-000012,-0.6904691757455428
ACH-000013,-0.6711032506941188
ACH-000014,-0.6040726605634671
ACH-000015,-0.6588862580249003
ACH-000017,-0.4496996627664476
ACH-000018,-0.7227369020251159
ACH-000019,-0.4776513764474114
ACH-000021,-0.3900257200492137
ACH-000022,-0.4750673041716841
ACH-000025,-0.8593844807405416
ACH-000028,-0.5371367041812951
ACH-000030,-0.7053949029950912
ACH-000035,-0.9309401635905776
ACH-000036,-0.5207806134240093
ACH-000037,-0.3092058323284287
ACH-000039,-0.5964071419672519
ACH-000040,-0.6331025090515418
ACH-000041,-0.6933709704216687
ACH-000042,-0.7308361521620189
ACH-000045,-0.4651783884454056
ACH-000047,-0.5807227248815202
ACH-000052,-0.7109596036382422
ACH-000053,-0.4760224649266557
ACH-000054,-0.7118353665440722
ACH-000055,-0.7141249603654342
ACH-000060,-0.6452603324977746
ACH-000067,-0.8421603927302687
ACH-000070,-0.9174989710518444
ACH-000075,-0.6919838234475625
ACH-000078,-0.6664570029274913
ACH-000082,-0.4571925051417484
ACH-000085,-0.5187590946653311
ACH-000086,-0.7093956283710716
ACH-000087,-0.4311575581235308
ACH-000092,-0.6250872170307658
ACH-000095,-0.5276515841419136
ACH-000097,-0.7056107907030308
ACH-000098,-0.8564071184447133
ACH-000099,-0.6787958639236694
ACH-000108,-0.6265684631056395
ACH-000113,-0.4607334265809884
ACH-000116,-0.7700613578918075
ACH-000118,-0.6988224408557164
ACH-000120,-0.7691353868108499
ACH-000123,-0.5546916464612974
ACH-000127,-0.6824431999672493
ACH-000128,-0.726358860104958
ACH-000132,-0.4771633515139941
ACH-000133,-0.855810734817792
ACH-000137,-1.0407320358707652
ACH-000138,-0.8483046460930702
ACH-000142,-0.9255637616468458
ACH-000143,-0.5308349948707278
ACH-000146,-0.4629800523020793
ACH-000148,-0.7806558283121287
ACH-000150,-0.7252915088076781
ACH-000152,-0.5373439093564037
ACH-000153,-0.7957637943137267
ACH-000159,-0.4596759562736951
ACH-000160,-0.5281876392152071
ACH-000163,-0.7532415201534632
ACH-000167,-1.1045452707015877
ACH-000168,-0.9476229578955984
ACH-000169,-0.7849997471633053
ACH-000178,-0.7763988509301286
ACH-000183,-0.8694904109171129
ACH-000188,-0.7389614414165433
ACH-000189,-0.7014043032590394
ACH-000190,-0.7501766657307766
ACH-000198,-0.6622287049435707
ACH-000203,-0.5321935438696244
ACH-000204,-0.7089558734864192
ACH-000206,-0.567872996111943
ACH-000207,-0.8553309066314873
ACH-000208,-0.710922430799223
ACH-000210,-0.4115954901029008
ACH-000211,-0.8856070550255895
ACH-000215,-1.0147585891302324
ACH-000221,-0.6277073676000974
ACH-000222,-0.5658370656989691
ACH-000223,-0.4224222629700373
ACH-000226,-0.7679231322206526
ACH-000227,-0.7668244843165792
ACH-000228,-0.6951057692661687
ACH-000231,-0.9485901922989745
ACH-000232,-0.8977527250941532
ACH-000233,-0.8641848170088983
ACH-000234,-0.6086502961741501
ACH-000235,-0.5883159708216411
ACH-000237,-0.9296452188767216
ACH-000238,-0.8017061963508645
ACH-000242,-0.4168725314869468
ACH-000243,-0.8705040796944808
ACH-000244,-0.5831412381672304
ACH-000246,-0.5873770708648631
ACH-000248,-0.4885183672406446
ACH-000250,-0.6843006722574059
ACH-000251,-0.9099591991471888
ACH-000252,-0.5437602825843975
ACH-000253,-0.35283004004421914
ACH-000255,-0.765912295379482
ACH-000256,-0.589836188894576
ACH-000257,-0.6085227355216885
ACH-000258,-0.684124023248146
ACH-000259,-0.7562520111083089
ACH-000260,-0.912885057351574
ACH-000261,-0.5739978914300339
ACH-000262,-0.4533061035962196
ACH-000263,-0.5159405449613073
ACH-000264,-0.6258141466221819
ACH-000265,-0.7363982278634196
ACH-000266,-0.5897322294554753
ACH-000272,-0.5886622415914676
ACH-000274,-0.8200047231033314
ACH-000277,-0.38923497376695104
ACH-000278,-0.9218920853643924
ACH-000279,-1.1253669296614708
ACH-000280,-0.7595169825859647
ACH-000281,-0.9465911965356044
ACH-000288,-1.0339820867298368
ACH-000291,-0.4480040549595651
ACH-000293,-0.5649728439798308
ACH-000294,-0.7659893199807626
ACH-000295,-0.9486582986540598
ACH-000296,-0.8008329758761216
ACH-000302,-0.6041614366323403
ACH-000304,-0.5711084103408182
ACH-000307,-0.7405244342608478
ACH-000308,-0.29367252234866364
ACH-000310,-0.4014723911621963
ACH-000311,-0.5419800494250909
ACH-000312,-0.6753165295373531
ACH-000315,-0.8760067239640738
ACH-000316,-0.8661525180019746
ACH-000317,-0.5161130392748351
ACH-000318,-0.7149457414249721
ACH-000319,-0.8509440297834467
ACH-000320,-0.8107712020805827
ACH-000322,-0.5767425379209127
ACH-000323,-0.7156399943049923
ACH-000324,-0.6798790012246184
ACH-000329,-0.5714851943500044
ACH-000330,-0.5058913862854261
ACH-000331,-0.8307711392573626
ACH-000332,-0.7616217694614351
ACH-000334,-0.5600220469218186
ACH-000335,-0.8019021591965474
ACH-000336,-0.7622992689580441
ACH-000337,-0.7854236778165992
ACH-000338,-0.1361991583481214
ACH-000339,-0.8019675261361281
ACH-000341,-0.7729617367910087
ACH-000348,-0.7470171293609209
ACH-000350,-0.4599112418817365
ACH-000352,-0.3595279854069947
ACH-000356,-0.7186359627491669
ACH-000361,-0.7538609252025855
ACH-000362,-0.5596587570467735
ACH-000363,-0.3862039305628132
ACH-000364,-0.548684294797137
ACH-000365,-0.7847499545423242
ACH-000366,-0.8129129871566352
ACH-000368,-0.6017884168013894
ACH-000374,-1.1863272778046006
ACH-000375,-0.4173251035327593
ACH-000376,-0.5733636222646801
ACH-000381,-0.5153059312872539
ACH-000383,-0.3878386606201007
ACH-000387,-0.7058678038260666
ACH-000389,-0.5114496769381758
ACH-000390,-0.6544271034126413
ACH-000393,-0.6541114810004959
ACH-000395,-0.5663170017313817
ACH-000396,-0.7695942898995434
ACH-000397,-0.3985825957221186
ACH-000401,-0.7735648530215842
ACH-000402,-0.6271514025321907
ACH-000403,-0.4973887138083248
ACH-000404,-0.6634189566400915
ACH-000406,-0.9682827143661704
ACH-000407,-0.951130022925746
ACH-000408,-0.7146939965204254
ACH-000410,-0.5747684616321906
ACH-000411,-0.5065539747673762
ACH-000414,-0.6599657200583359
ACH-000415,-0.8537866740515017
ACH-000416,-0.728741094039062
ACH-000420,-0.4655012053985604
ACH-000421,-0.7299052421395751
ACH-000424,-0.8759720688353672
ACH-000425,-0.7049206455944309
ACH-000426,-0.6366944334648507
ACH-000427,-0.47381094573985494
ACH-000433,-0.5459252504846683
ACH-000435,-0.6000038858287333
ACH-000436,-0.4779165714055447
ACH-000444,-0.8806353322158115
ACH-000445,-0.7829151991503768
ACH-000448,-0.5304709986200281
ACH-000450,-0.3961829412150148
ACH-000452,-0.8243097262066982
ACH-000454,-0.7390240756930913
ACH-000458,-0.7774484210591771
ACH-000459,-0.6590273522109397
ACH-000460,-0.8567823360684567
ACH-000461,-0.49282266244797496
ACH-000463,-0.569177851934749
ACH-000464,-0.7855892861083639
ACH-000466,-0.733329031481506
ACH-000467,-0.3845493978191835
ACH-000468,-0.6808435662978237
ACH-000469,-0.7317008510517234
ACH-000470,-0.544291789517653
ACH-000471,-0.994947372908672
ACH-000472,-0.5270340178186745
ACH-000473,-0.5351163624320334
ACH-000475,-0.8954796297019417
ACH-000476,-0.5557403390400604
ACH-000477,-0.6223156736571409
ACH-000479,-0.7414203073423522
ACH-000480,-0.44402423409285385
ACH-000481,-0.5648939684092557
ACH-000483,-0.7782555029452419
ACH-000484,-0.5616082439355017
ACH-000485,-0.5356192380656878
ACH-000486,-0.7263793475467821
ACH-000487,-0.8289016060136151
ACH-000488,-0.7745617520188881
ACH-000490,-0.8453830838422801
ACH-000491,-0.3915547643187732
ACH-000495,-0.4358327134957405
ACH-000496,-0.7480579708605214
ACH-000499,-0.8396951186357058
ACH-000500,-1.0668283532487297
ACH-000502,-0.7529934633636854
ACH-000503,-0.7631207607838041
ACH-000505,-0.6059605323897295
ACH-000507,-0.36480933667856097
ACH-000510,-0.4477756147715212
ACH-000511,-0.7563316442905946
ACH-000512,-0.5771758898758018
ACH-000516,-0.7574759888480286
ACH-000517,-0.4982017105111906
ACH-000518,-0.7183468096322764
ACH-000520,-0.44105076760746814
ACH-000521,-0.8804532453448323
ACH-000522,-0.8647960036705798
ACH-000524,-0.5406169778890559
ACH-000527,-0.5644880935554546
