,COL4A3BP (10087)
ACH-000004,0.09556993536933896
ACH-000005,-0.09229969819494027
ACH-000007,-0.0991485101402098
ACH-000009,-0.39016084750143787
ACH-000011,-0.3601380707661866
ACH-000012,-0.001721447749942267
ACH-000013,0.0019742515728584454
ACH-000014,-0.2544971871222509
ACH-000015,-0.09467559800256592
ACH-000017,-0.16949874722502656
ACH-000018,-0.23473478628518965
ACH-000019,0.11131224781521648
ACH-000021,-0.166419444050749
ACH-000022,-0.2160034900971176
ACH-000025,-0.17749396485392369
ACH-000028,-0.16736655016489688
ACH-000030,-0.04593183971893068
ACH-000035,-0.021682451298278952
ACH-000036,-0.08949379463644824
ACH-000037,-0.02743895384759138
ACH-000039,-0.19645877394696445
ACH-000040,-0.5808272532017094
ACH-000041,-0.09109290418564124
ACH-000042,0.01526168522369582
ACH-000045,-0.06423215774674891
ACH-000047,-0.0475516441333425
ACH-000052,-0.16853474362757098
ACH-000053,-0.014989931862104691
ACH-000054,-0.19545359889320585
ACH-000055,0.10531599001530546
ACH-000060,-0.18451581976043446
ACH-000067,-0.3011378031942085
ACH-000070,-0.3311696929885154
ACH-000075,-0.01994013622921231
ACH-000078,-0.09017766543409962
ACH-000082,-0.2672750745769284
ACH-000085,-0.03434606467919175
ACH-000086,-0.31012301558948874
ACH-000087,-0.0541032072438046
ACH-000092,-0.3206342589996622
ACH-000095,-0.029200415755737674
ACH-000097,-0.38410211169280656
ACH-000098,-0.25722459021080085
ACH-000099,0.13784925772410053
ACH-000108,-0.10850865492999688
ACH-000113,-0.2136380907108482
ACH-000116,-0.2481863165925681
ACH-000118,-0.43804777806720585
ACH-000120,0.12351099038368753
ACH-000123,0.03945762772107958
ACH-000127,-0.35988068031891074
ACH-000128,-0.1566824507417082
ACH-000132,-0.1927213564037067
ACH-000133,-0.08892034563973461
ACH-000137,-0.2755263511428705
ACH-000138,-0.17803409996218825
ACH-000142,-0.15076563865615186
ACH-000143,-0.0936849423697594
ACH-000146,-0.023193899256211147
