,KIN (22944)
ACH-000004,-0.982432787960158
ACH-000005,-0.6879527306452861
ACH-000007,-0.8674499007870442
ACH-000009,-0.7582397317205245
ACH-000011,-0.75860566144289
ACH-000012,-1.0739191688928589
ACH-000013,-0.9717151551638898
ACH-000014,-0.9527919999095998
ACH-000015,-0.7739068135661548
ACH-000017,-0.8725916386036093
ACH-000018,-0.8079968123114215
ACH-000019,-0.6677738903936847
ACH-000021,-1.260724875549197
ACH-000022,-0.8815559541160104
ACH-000025,-0.6390511778791278
ACH-000028,-0.6592701041559821
ACH-000030,-0.9466349185356984
ACH-000035,-0.985790129838556
ACH-000036,-0.98784081460256
ACH-000037,-0.25903668025782445
ACH-000039,-1.0869609906613866
ACH-000040,-0.9348517752198026
ACH-000041,-0.8776735783065405
ACH-000042,-0.860500905610381
ACH-000045,-0.9589443513316284
ACH-000047,-0.8829478353281296
ACH-000052,-1.0970627195624316
ACH-000053,-1.1534277676852625
ACH-000054,-0.780085531994461
ACH-000055,-0.9457068110259276
ACH-000060,-0.8954121158448577
ACH-000067,-0.9837738144862048
ACH-000070,-0.7445845481952906
ACH-000075,-0.9081270423509864
ACH-000078,-0.8454795050455097
ACH-000082,-1.0246772884293742
ACH-000085,-0.97673149538422
ACH-000086,-0.8000363198865735
ACH-000087,-1.0331977548376146
ACH-000092,-0.922589040379183
ACH-000095,-0.8509463601925179
ACH-000097,-0.9130141456394856
ACH-000098,-0.9893497081009136
ACH-000099,-0.7333589250182441
ACH-000108,-0.9326309072958822
ACH-000113,-0.8350376521629318
ACH-000116,-1.1118772034299176
ACH-000118,-1.051505741987088
ACH-000120,-1.099054909311856
ACH-000123,-0.8893230777813899
ACH-000127,-0.8136257468487813
ACH-000128,-0.7554980640557991
ACH-000132,-0.9048226836021248
ACH-000133,-1.008731165485512
ACH-000137,-1.0373151772841391
ACH-000138,-0.6537118529056628
ACH-000142,-0.8887288004723467
ACH-000143,-1.0453145756751112
ACH-000146,-1.1376187558063846
ACH-000148,-1.0351824232211226
ACH-000150,-0.7293613874296354
ACH-000152,-1.0040963775590424
ACH-000153,-0.9471521626331298
ACH-000159,-0.7836274969229565
ACH-000160,-1.1251828594005795
ACH-000163,-0.8672263306598937
ACH-000167,-1.1902488230531079
ACH-000168,-1.0699367969669298
ACH-000169,-1.231799433136013
ACH-000178,-0.9496978241053338
ACH-000183,-1.0419675867987408
ACH-000188,-0.8229868371902059
ACH-000189,-0.7572085795605188
ACH-000190,-0.9785042154436387
ACH-000198,-0.7937161882426266
ACH-000203,-0.8756657161767538
ACH-000204,-0.8478374712248352
