,DPF2 (5977)
ACH-000004,-0.4154650090896578
ACH-000005,-0.6066717927432728
ACH-000007,-0.4078531035818053
ACH-000009,-0.2379738289363328
ACH-000011,-0.59604446260261
ACH-000012,-0.5506312020330694
ACH-000013,-0.3601626510946171
ACH-000014,0.0185698951496502
ACH-000015,-0.1978342080271545
ACH-000017,-0.5081110426404397
ACH-000018,-0.4129048527799406
ACH-000019,-0.2425531100971284
ACH-000021,-0.6657541934222193
ACH-000022,-0.5179259890454395
ACH-000025,-0.16873165173038673
ACH-000028,-0.4515880423950521
ACH-000030,-0.519843137543324
ACH-000035,-0.5023562008689928
ACH-000036,-0.5475711707550777
ACH-000037,-0.35726579701173045
ACH-000039,-0.34790593689095256
ACH-000040,-0.19115052425207335
ACH-000041,-0.18751817472426052
ACH-000042,-0.2852420585015752
ACH-000045,-0.5459133907790786
ACH-000047,0.16733402950507326
ACH-000052,-0.002370418735209068
ACH-000053,-0.5623921911062912
ACH-000054,-0.31681987520896004
ACH-000055,-0.5692115764230463
ACH-000060,-0.25763318088634185
ACH-000067,-0.34099312354522315
ACH-000070,-0.7010784865261448
ACH-000075,-0.5909878909220054
ACH-000078,-0.2544595031158301
ACH-000082,-0.21984164261691516
ACH-000085,-0.3483519284648503
ACH-000086,-0.4358856961712347
ACH-000087,-0.1329465677565002
ACH-000092,-0.3270043179823679
ACH-000095,-0.28235189403986993
ACH-000097,-0.15472904804357818
ACH-000098,-0.12457916930860015
ACH-000099,-0.08533964236178213
ACH-000108,-0.3394369198003825
ACH-000113,-0.6259905233572406
ACH-000116,-0.3719577230781605
ACH-000118,-0.5243705201007376
ACH-000120,-0.16793104761273014
ACH-000123,-0.2274175269650371
ACH-000127,-0.25478475606687434
ACH-000128,-0.40366122370788826
ACH-000132,-0.42422010568356455
ACH-000133,-0.2543360112092207
ACH-000137,-0.10837894332135976
ACH-000138,-0.42695667197943854
ACH-000142,-0.5551089120695918
ACH-000143,-0.6471152856430843
ACH-000146,-0.2662107965928493
ACH-000148,-0.19046709157230074
ACH-000150,-0.7851471313978651
ACH-000152,-0.009760450317781414
ACH-000153,-0.6376306188524811
ACH-000159,-0.22608291997049426
ACH-000160,-0.009255713302227566
ACH-000163,-0.4563769240809553
ACH-000167,0.7351576216917067
ACH-000168,-0.3206617484012733
ACH-000169,-0.4232556979719993
ACH-000178,-0.3026701349250139
ACH-000183,-0.6299864077405228
ACH-000188,-0.5507564921774627
ACH-000189,-0.34928032559462463
ACH-000190,0.07232358132813936
ACH-000198,-0.4926005613465276
ACH-000203,0.17013361538027127
ACH-000204,-0.3664588489245896
ACH-000206,-0.5340871053201025
ACH-000207,-0.5139916363778539
ACH-000208,-0.17756005981086606
ACH-000210,-0.4209121200610144
ACH-000211,-0.5361059808173042
ACH-000215,-0.16275516335565185
ACH-000221,-0.18875438210843729
ACH-000222,-0.19608848482244906
ACH-000223,-0.3154456730580607
ACH-000226,-0.489055466389372
ACH-000227,-0.09729153848993813
ACH-000228,-0.5186334409135727
ACH-000231,-0.18207675169057885
ACH-000232,-0.3541806432261712
ACH-000233,-0.5350653875285102
ACH-000234,-0.2397698592305948
ACH-000235,0.13776787863983966
ACH-000237,-0.29984400372998543
ACH-000238,-0.3702280803756789
ACH-000242,-0.9194083611953338
ACH-000243,-0.3389728514640162
ACH-000244,-0.3525139360235023
ACH-000246,-0.24991991212615966
ACH-000248,-0.7029481297746215
ACH-000250,-0.1650284814234149
ACH-000251,-0.009513798367633068
ACH-000252,-0.22233267106177398
ACH-000253,-0.4814631038897326
ACH-000255,-0.41630874576146176
ACH-000256,-0.4400671130369698
ACH-000257,-0.6184287076479726
ACH-000258,-0.7438741822324408
ACH-000259,-0.3173377257158084
ACH-000260,-0.16360064573613292
ACH-000261,-0.3112850623432789
ACH-000262,-0.0968763064932349
ACH-000263,-0.3880815551145819
ACH-000264,-0.4653309054725245
ACH-000265,-0.4518872463181752
ACH-000266,-0.2636083421868051
ACH-000272,0.01586325829200369
ACH-000274,-0.2671984732602579
ACH-000277,-0.6652310188599374
ACH-000278,-0.4429862605111541
ACH-000279,-0.23409194647440984
ACH-000280,-0.11346677673159905
ACH-000281,-0.2888029172875495
ACH-000288,-0.8713526725376339
ACH-000291,-0.1622116689849185
ACH-000293,-0.4396972578084792
ACH-000294,-0.3772131741833971
ACH-000295,-0.24220483387934244
ACH-000296,-0.6231354266804975
ACH-000302,-0.22792040005321346
ACH-000304,-0.2671884170427287
ACH-000307,-0.34297567229020137
ACH-000308,-0.29214350419032115
ACH-000310,-0.2745800376837565
ACH-000311,-0.5201469284221432
ACH-000312,-0.18932865702460414
ACH-000315,-0.45615862099162197
ACH-000316,-0.40282416660817993
ACH-000317,-0.675576661700173
ACH-000318,-0.2009992122342696
ACH-000319,-0.4221464415663046
ACH-000320,-0.5879260275176332
ACH-000322,-0.471361805899179
ACH-000323,-0.4316998898867011
ACH-000324,-0.12235445128931502
ACH-000329,-0.23388166325647655
ACH-000330,-0.4987215725394185
ACH-000331,-0.2792759859740164
ACH-000332,-0.4679283178361971
ACH-000334,-0.15729461141557294
ACH-000335,-0.5052082042409196
ACH-000336,-0.7164161256080783
ACH-000337,-0.4913133518724258
ACH-000338,-0.5838166153796475
ACH-000339,-0.5151913060616321
ACH-000341,-0.22096576284212316
ACH-000348,-0.17015675395287952
ACH-000350,-0.37466653770237396
ACH-000352,-0.3054735742273664
ACH-000356,-0.5114199315550808
ACH-000361,-0.4980509637733556
ACH-000362,-0.5396293686840186
ACH-000363,-0.3381282060422077
ACH-000364,-0.1677006849244266
ACH-000365,-0.5224033961212547
ACH-000366,-0.4827479440517944
ACH-000368,-0.4700136491832014
ACH-000374,-0.4192419574747165
ACH-000375,-0.13376569839438673
ACH-000376,-0.4674694853058976
ACH-000381,-0.32469602681118626
ACH-000383,-0.2582491235696456
ACH-000387,-0.4571901189814422
ACH-000389,-0.5627990202728266
ACH-000390,-0.4432538542899073
ACH-000393,-0.3811427977377456
ACH-000395,-0.5902982188212649
ACH-000396,-0.5395177621325995
ACH-000397,-0.14827823248663416
ACH-000401,-0.417706400527106
ACH-000402,-0.8821018641040258
ACH-000403,-0.007957095832384237
ACH-000404,-0.656427023369162
ACH-000406,-0.6946554960390697
ACH-000407,-0.3420312135244406
ACH-000408,-0.3537029752256127
ACH-000410,0.05134580322440355
ACH-000411,-0.20654890536654305
ACH-000414,-0.31680757010842703
ACH-000415,-0.6825989778513063
ACH-000416,-0.35707988580077343
ACH-000420,-0.17725250298957473
ACH-000421,-0.35276673623189203
ACH-000424,-0.3308292765859712
ACH-000425,-0.3701103681292064
ACH-000426,-0.08235213599299578
ACH-000427,-0.05318304938619405
ACH-000433,-0.20010472324289375
ACH-000435,-0.4650939229408825
