,MDFI (4188)
ACH-000004,0.15158252210025816
ACH-000005,0.19520994631882285
ACH-000007,0.26845789716044666
ACH-000009,0.21363730516669185
ACH-000011,0.16017372170194094
ACH-000012,0.2977736051382069
ACH-000013,0.1628242030370887
ACH-000014,0.2317060987250009
ACH-000015,0.2500400819540764
ACH-000017,0.16594540377749034
ACH-000018,0.2700786725105011
ACH-000019,0.2822163560061414
ACH-000021,0.16283701152422042
ACH-000022,0.10281353915393816
ACH-000025,0.2659907783788485
ACH-000028,0.18541193379393014
ACH-000030,0.2465751200007278
ACH-000035,0.1254102580108087
ACH-000036,0.3123327012542253
ACH-000037,0.11164788356417317
ACH-000039,0.18475612088201265
ACH-000040,0.21780015261851576
ACH-000041,0.2565997189807055
ACH-000042,0.17867718954442774
ACH-000045,0.2998908622731521
ACH-000047,0.26995917714441064
ACH-000052,0.0009030530841404274
ACH-000053,0.19049456683049384
ACH-000054,0.2443828750961047
ACH-000055,0.1814984516988419
ACH-000060,0.08870216897271767
ACH-000067,0.1708498104083283
ACH-000070,0.1729125597581731
ACH-000075,0.12212117639770025
ACH-000078,0.2936914772100445
ACH-000082,0.20792947301525286
ACH-000085,0.21714068193412486
ACH-000086,0.20131141335388386
ACH-000087,0.2588058038791373
ACH-000092,0.2433995345589675
ACH-000095,0.08903045021877345
ACH-000097,0.1836678316968583
ACH-000098,0.14354557908442822
ACH-000099,0.21980468708630566
ACH-000108,0.20315017097225427
ACH-000113,0.1857857815355178
ACH-000116,0.0703514070800012
ACH-000118,0.16887663700440694
ACH-000120,0.23370698015806254
ACH-000123,0.22233038745227315
ACH-000127,0.21674809264195247
ACH-000128,0.15352659528818854
ACH-000132,0.20852086164192601
ACH-000133,0.2817388970786638
ACH-000137,0.2540959235095618
ACH-000138,0.150582997884898
ACH-000142,0.16260887207452354
ACH-000143,0.24387395293331646
ACH-000146,0.20271781440966205
ACH-000148,0.33204647800569376
ACH-000150,0.2063653711297485
ACH-000152,0.22027259180056125
ACH-000153,0.21030613239137605
ACH-000159,0.1717107674766392
ACH-000160,0.2386984103154101
ACH-000163,0.2933755408695237
ACH-000167,0.1201815248235473
ACH-000168,0.12682044884038546
ACH-000169,0.1632379025890607
ACH-000178,0.26175128631366323
ACH-000183,0.20400548356800394
ACH-000188,0.22203418243088724
ACH-000189,0.501510062956218
ACH-000190,0.09539236346428
ACH-000198,0.25341725930646736
ACH-000203,0.5132706157492932
ACH-000204,0.0477515371136813
ACH-000206,0.3303267807487672
ACH-000207,0.2018601334266028
ACH-000208,0.16204889574114484
ACH-000210,0.330784645990195
ACH-000211,0.2254966087810503
ACH-000215,0.21479319358517754
ACH-000221,0.2499441953485302
ACH-000222,0.2687954180810509
