,PKNOX1 (5316)
ACH-000004,-0.2613893277273309
ACH-000005,-0.10519022705486304
ACH-000007,-0.31563744584789466
ACH-000009,0.04132826577538004
ACH-000011,-0.2100373915821275
ACH-000012,-0.037934878119438686
ACH-000013,-0.09496830147893984
ACH-000014,0.10149378986574896
ACH-000015,-0.15665318611168935
ACH-000017,-0.012864948938800169
ACH-000018,-0.35864429066368625
ACH-000019,-0.033599010444693427
ACH-000021,0.04056515054807107
ACH-000022,-0.1681671559569255
ACH-000025,-0.22642466513528656
ACH-000028,-0.08010132334053052
ACH-000030,-0.17232134875839614
ACH-000035,-0.06105650462773988
ACH-000036,-0.16633716411798435
ACH-000037,-0.06813489431629229
ACH-000039,0.11268948422023023
ACH-000040,-0.14832264122811945
ACH-000041,0.14667524870346624
ACH-000042,-0.11491520047576408
ACH-000045,-0.16514801538284926
ACH-000047,-0.07943168214931788
ACH-000052,0.0290258931686614
ACH-000053,-0.20208941285567006
ACH-000054,-0.13245001883263227
ACH-000055,0.12062948256357328
ACH-000060,-0.2892038261920861
ACH-000067,-0.2031777099881453
ACH-000070,-0.13123291824945246
ACH-000075,-0.040311553546408564
ACH-000078,-0.02302286423003691
ACH-000082,-0.039582500244614384
ACH-000085,-0.16237878651738144
ACH-000086,-0.22797894840898264
ACH-000087,-0.3657846576103972
ACH-000092,-0.0269506879159783
ACH-000095,-0.012352692750025136
ACH-000097,-0.3347951440796029
ACH-000098,-0.1192093111174338
ACH-000099,-0.07365353734520322
ACH-000108,-0.15182093250357753
ACH-000113,-0.15462726960749845
ACH-000116,-0.2687233138090446
ACH-000118,-0.1661090939214532
ACH-000120,-0.05395031560667828
ACH-000123,-0.12377864919763472
ACH-000127,-0.20550034706804665
ACH-000128,-0.2814154774037224
ACH-000132,-0.07913768544156195
ACH-000133,-0.007238674661258972
ACH-000137,-0.11781048100995947
ACH-000138,-0.08171427959309085
ACH-000142,-0.031921970227877974
ACH-000143,0.08083164689446108
ACH-000146,-0.2143801526358396
ACH-000148,-0.10874321184967828
ACH-000150,-0.3130695048263309
ACH-000152,0.09583630267036324
ACH-000153,-0.18830734948898634
ACH-000159,-0.08055621473235844
ACH-000160,-0.15804391282632796
ACH-000163,-0.1404497905333997
ACH-000167,-0.27995562990392225
ACH-000168,-0.005797218620031925
ACH-000169,0.15112020207653454
ACH-000178,-0.21239269614557388
ACH-000183,-0.1800016441705288
ACH-000188,-0.1870447881928865
ACH-000189,-0.13402476002755112
ACH-000190,-0.043909745498547835
ACH-000198,-0.2277796123675952
ACH-000203,-0.2574193161049673
ACH-000204,0.04948796847134957
ACH-000206,-0.15989233561742716
ACH-000207,-0.16383843705844528
ACH-000208,-0.25783851489474635
ACH-000210,-0.1271443431242937
ACH-000211,-0.019312508285576357
ACH-000215,-0.12799918215630346
ACH-000221,-0.1250502013754706
ACH-000222,-0.2226659981051631
ACH-000223,-0.06405178549456343
ACH-000226,-0.026900093710637705
ACH-000227,-0.015184918735570103
ACH-000228,-0.219895098483824
ACH-000231,-0.12727151704035414
ACH-000232,-0.07291794315742678
ACH-000233,-0.10820563720283252
ACH-000234,-0.09911055255874578
ACH-000235,-0.3528897877981146
ACH-000237,-0.2822414171847239
ACH-000238,-0.23046300549880844
ACH-000242,-0.07645182554632156
ACH-000243,-0.2889232432030131
ACH-000244,0.09114289222010223
ACH-000246,-0.1602220976652602
ACH-000248,-0.0584301122131469
ACH-000250,-0.08559467368240398
ACH-000251,-0.0927142912937512
ACH-000252,-0.40165999387486706
ACH-000253,-0.0979360165251187
ACH-000255,-0.09474079741915546
ACH-000256,0.17210401253146462
ACH-000257,-0.11731353197568732
ACH-000258,-0.3507244668765249
ACH-000259,-0.0921183814092988
ACH-000260,-0.0696093212054797
ACH-000261,-0.03600755490778338
ACH-000262,-0.27751961083527826
ACH-000263,-0.131460089808759
ACH-000264,-0.16409201857612235
ACH-000265,-0.22093899209065074
ACH-000266,-0.19733457748419986
ACH-000272,-0.2005027376028206
ACH-000274,-0.04495757137074969
ACH-000277,-0.08016031787169052
ACH-000278,-0.23470791343464464
ACH-000279,-0.13202729614253866
ACH-000280,-0.16702120546380267
ACH-000281,-0.2797009654901102
ACH-000288,-0.11401360600906588
ACH-000291,-0.08286754048150825
ACH-000293,-0.1095229253703854
ACH-000294,-0.35896882457805224
ACH-000295,-0.17984413570777186
ACH-000296,-0.06724482788824047
ACH-000302,-0.1174075951863186
ACH-000304,-0.02558507884866551
ACH-000307,-0.3058474642811923
ACH-000308,-0.09451999147017563
ACH-000310,-0.10352903750887504
ACH-000311,-0.2614523071616384
ACH-000312,0.0162683870520601
ACH-000315,-0.0202752902120758
ACH-000316,-0.010505611425087396
ACH-000317,-0.2219358501262736
ACH-000318,-0.17155021212797675
ACH-000319,-0.09420178106597576
ACH-000320,-0.27754562205255473
ACH-000322,-0.29917606300405625
ACH-000323,0.05787870544752025
ACH-000324,-0.2321005684247056
ACH-000329,-0.1696622223132638
ACH-000330,-0.1448965080813191
ACH-000331,-0.001102012801398134
ACH-000332,-0.25668578077985
ACH-000334,-0.044707303779489484
ACH-000335,0.13249482132391008
ACH-000336,0.27702559488728035
ACH-000337,-0.2438543443164328
ACH-000338,-0.1838011128858296
ACH-000339,-0.2521855899190609
ACH-000341,-0.03114692741418376
ACH-000348,-0.1539249114013288
ACH-000350,-0.24966891807888103
ACH-000352,0.03384982969017036
ACH-000356,0.05499072458278461
ACH-000361,-0.32913226088406505
ACH-000362,-0.10404499415979493
ACH-000363,-0.14676882306662828
ACH-000364,-0.14436176857674834
ACH-000365,-0.07829666885238001
ACH-000366,-0.06325827353789422
ACH-000368,-0.1052039966744958
ACH-000374,-0.2271461401060171
ACH-000375,-0.2452706794682603
ACH-000376,-0.16393534540036425
ACH-000381,-0.2791600668949639
ACH-000383,-0.3246410930759381
ACH-000387,-0.29844979391967497
ACH-000389,-0.03711178638234467
ACH-000390,-0.02357627839378182
ACH-000393,-0.05261731486818443
ACH-000395,-0.25877137167173003
ACH-000396,-0.1580176520224709
ACH-000397,-0.2503324952948385
ACH-000401,-0.0576246657636737
ACH-000402,-0.13780242354413075
ACH-000403,-0.2318131513559845
ACH-000404,-0.21061811673212627
ACH-000406,-0.1758712300607398
ACH-000407,-0.08527235852642898
ACH-000408,-0.08212180111677539
ACH-000410,0.05146279598639556
ACH-000411,0.0657464046057574
ACH-000414,-0.3211026432778045
ACH-000415,-0.2781134071466965
ACH-000416,-0.20676511665499106
ACH-000420,-0.06049360072672546
ACH-000421,-0.11830091998878565
ACH-000424,-0.03277539402117728
ACH-000425,-0.11202138143543557
ACH-000426,-0.33081460352968245
ACH-000427,-0.1076685766954291
ACH-000433,-0.19731042181673544
ACH-000435,-0.20709272082040767
ACH-000436,-0.0885176506738579
ACH-000444,-0.2697170907921995
ACH-000445,-0.15720129210562947
ACH-000448,-0.12069032083576955
ACH-000450,-0.20741804886527476
ACH-000452,-0.05638750419191736
ACH-000454,-0.2375655650069577
ACH-000458,-0.3517409315255913
ACH-000459,-0.019009030315085943
ACH-000460,-0.14770867195866394
ACH-000461,-0.059970553546122365
ACH-000463,-0.10788670133529832
ACH-000464,-0.12658737178534554
ACH-000466,-0.2096727423281785
ACH-000467,-0.2856198290548677
ACH-000468,-0.06380936959055612
ACH-000469,-0.17148589455890945
ACH-000470,-0.0906799316666363
ACH-000471,-0.285251173419416
ACH-000472,-0.1018756444743474
ACH-000473,-0.13816965340798104
ACH-000475,-0.16302848211736656
ACH-000476,-0.16520390956739378
ACH-000477,-0.4024088471939139
ACH-000479,-0.17109020922704124
ACH-000480,-0.13869496506661194
ACH-000481,-0.18563212255879455
ACH-000483,-0.12267016341664926
ACH-000484,-0.10725176543309896
ACH-000485,-0.3171832624602498
ACH-000486,0.021586264101715675
ACH-000487,-0.16169523760914595
ACH-000488,-0.07046345891753884
ACH-000490,-0.05931265382080553
ACH-000491,-0.20297002621165885
ACH-000495,-0.14325698646855026
ACH-000496,-0.16163204195415332
ACH-000499,-0.2883066429423983
ACH-000500,-0.423936279952012
ACH-000502,-0.33245703708492136
ACH-000503,-0.2482665870435595
ACH-000505,-0.2080746825316654
ACH-000507,-0.2153841515273006
ACH-000510,-0.00540467209940253
ACH-000511,-0.26113590246782264
ACH-000512,0.045534303755843636
ACH-000516,-0.12373710566718855
