,MTPAP (55149)
ACH-000004,-0.7011161438597208
ACH-000005,-0.6391978439800193
ACH-000007,-0.8798493647811451
ACH-000009,-0.5196486875633438
ACH-000011,-0.4175257978353725
ACH-000012,-1.0280932368920164
ACH-000013,-0.9777891822692432
ACH-000014,-0.8385072009486221
ACH-000015,-0.9287605804444228
ACH-000017,-0.7377063759995349
ACH-000018,-1.2103205429414023
ACH-000019,-1.0445369380143692
ACH-000021,-0.6610737581680348
ACH-000022,-0.8581691373008452
ACH-000025,-0.8435266493807348
ACH-000028,-0.805839305228295
ACH-000030,-0.7644117319519068
ACH-000035,-1.0484041353552698
ACH-000036,-0.21809021685565505
ACH-000037,-0.6975570399448201
ACH-000039,-0.6100819466944398
ACH-000040,-0.5422007586114002
ACH-000041,-0.3617196734680575
ACH-000042,-0.8126999151283275
ACH-000045,-0.9099544520152212
ACH-000047,-0.8954501735886076
ACH-000052,-0.5822865491011854
ACH-000053,-0.7942822775477588
ACH-000054,-0.9222229820788668
ACH-000055,-0.5548202509001362
ACH-000060,-0.5807541422467497
ACH-000067,-0.6915758798914785
ACH-000070,-0.6431800469799683
ACH-000075,-0.7557387552692739
ACH-000078,-0.4870231578907912
ACH-000082,-0.5024510036680987
ACH-000085,-1.203409583191796
ACH-000086,-1.1026083678229268
ACH-000087,-1.0429550489766342
ACH-000092,-0.3801753884264709
ACH-000095,-0.288726918687816
ACH-000097,-0.4973657121738836
ACH-000098,-0.7442573568147912
ACH-000099,-0.7517611060835669
ACH-000108,-0.4893855430824487
ACH-000113,-0.8139245990917211
ACH-000116,-0.9469601652527774
ACH-000118,-1.0693417214720335
ACH-000120,-0.720470424561953
ACH-000123,-0.8053868247431988
ACH-000127,-1.058024926209291
ACH-000128,-1.1860360924460749
ACH-000132,-0.6972197339547554
ACH-000133,-0.7844155250837209
ACH-000137,-0.5399778368198962
ACH-000138,-0.974738541674553
ACH-000142,-0.4888756732403304
ACH-000143,-0.7042954459550865
ACH-000146,-0.6495152545187876
ACH-000148,-0.8421176686743854
ACH-000150,-1.0021457878233593
ACH-000152,-0.6981636279408908
ACH-000153,-0.7632550763052813
ACH-000159,-0.4796959891382257
ACH-000160,-1.1819163486423665
ACH-000163,-0.5527119063054289
ACH-000167,-0.6827260780136735
ACH-000168,-0.4870966395491926
ACH-000169,-0.6932211696580732
ACH-000178,-0.8534124162438348
ACH-000183,-0.8593692939069009
ACH-000188,-0.9073148940253852
ACH-000189,-0.8035232254068351
ACH-000190,-0.9702119270153386
ACH-000198,-0.8537157579117154
ACH-000203,-0.6776293510574594
ACH-000204,-0.7385062446250397
ACH-000206,-0.591035704763751
ACH-000207,-1.1968993140352435
ACH-000208,-0.8295834006959817
ACH-000210,-0.9224120081913368
ACH-000211,-0.8196066268419641
ACH-000215,-1.0201292642890691
ACH-000221,-1.2100876160821727
ACH-000222,-0.7018601868746794
ACH-000223,-0.7155695772268532
ACH-000226,-0.6725100317036952
ACH-000227,-0.6767312883131035
ACH-000228,-0.7059736412762084
ACH-000231,-0.7044890376515806
ACH-000232,-1.040254127334639
ACH-000233,-0.7927073417226095
ACH-000234,-0.7192103676376449
ACH-000235,-0.43666818059798
ACH-000237,-0.4911698397195226
ACH-000238,-0.8602812648627625
ACH-000242,-0.6769631274519741
ACH-000243,-0.5629698382875818
ACH-000244,-0.5502850917589196
ACH-000246,-0.7428678658463322
ACH-000248,-1.2363112977838937
ACH-000250,-0.3332272750817937
ACH-000251,-1.1020247527322025
ACH-000252,-0.8657117690974435
ACH-000253,-0.7634739759084097
ACH-000255,-0.7142400239116014
ACH-000256,-0.5386042788856729
ACH-000257,-1.1376405009569188
ACH-000258,-0.7406780942960265
ACH-000259,-1.0664988984649124
ACH-000260,-0.5147453068139435
ACH-000261,-0.43429344009047255
ACH-000262,-0.6555534470321187
ACH-000263,-0.5864182196523506
ACH-000264,-0.7239276839568836
ACH-000265,-1.0084760412913385
ACH-000266,-0.908314653452332
ACH-000272,-0.4412199246575521
ACH-000274,-0.5517938480820771
ACH-000277,-0.6116031186066238
ACH-000278,-0.405117680978425
ACH-000279,-1.2348397624490814
ACH-000280,-1.0703876270273271
ACH-000281,-0.8725915845074855
ACH-000288,-0.9801617311751031
ACH-000291,-0.6515562250661683
ACH-000293,-0.8529477556500138
ACH-000294,-0.7728234575790778
ACH-000295,-0.9396189541849558
ACH-000296,-0.5011223752812493
ACH-000302,-0.7826976044484079
ACH-000304,-1.068618187411013
ACH-000307,-0.7220238769666174
ACH-000308,-0.8015905929692709
ACH-000310,-0.5634433531426393
ACH-000311,-0.7124585084609611
ACH-000312,-0.8848242303554832
ACH-000315,-0.789056468105136
ACH-000316,-0.5661233631276502
ACH-000317,-0.982142400789522
ACH-000318,-0.5702471618097544
ACH-000319,-0.7398189905745531
ACH-000320,-0.9428797394922168
ACH-000322,-0.8982218191513149
ACH-000323,-0.8645353462637045
ACH-000324,-0.6168249370042379
ACH-000329,-0.7812229522941814
ACH-000330,-1.1101787888072845
ACH-000331,-0.7897622293858907
ACH-000332,-0.4592076662977122
ACH-000334,-0.4725373309132379
ACH-000335,-0.7188800238222229
ACH-000336,-0.6765388015287024
ACH-000337,-1.0409490619027222
ACH-000338,-0.9177011968746848
ACH-000339,-0.6494131393448606
ACH-000341,-0.8114893076439543
ACH-000348,-0.6239574878379738
ACH-000350,-0.6496655773160148
ACH-000352,-0.7028696531518226
ACH-000356,-0.9291069972277916
ACH-000361,-0.6646492343848197
ACH-000362,-0.3820241507668214
ACH-000363,-0.5699693034540364
ACH-000364,-0.8963409022437859
ACH-000365,-0.8028534756936028
ACH-000366,-0.4799607407789538
ACH-000368,-0.6103814194302959
ACH-000374,-1.0222370259225748
ACH-000375,-0.4953294409133304
ACH-000376,-1.0956466919807517
ACH-000381,-0.6875593051188023
ACH-000383,-0.622580255023964
ACH-000387,-0.6693735126514483
ACH-000389,-0.8219133596149867
ACH-000390,-0.9158470544627734
ACH-000393,-0.4703852408826632
ACH-000395,-0.6704350200695509
ACH-000396,-1.0715012096150556
ACH-000397,-0.4659114268845476
ACH-000401,-0.8121472573203912
ACH-000402,-0.9192270976345406
ACH-000403,-0.5341876485181449
ACH-000404,-1.075353747427065
ACH-000406,-1.0289333062780213
ACH-000407,-0.7247847433262649
ACH-000408,-1.0999751754370626
ACH-000410,-0.7752510904315325
ACH-000411,-0.4437769430629938
ACH-000414,-0.8266386954776098
ACH-000415,-0.9186551794065356
ACH-000416,-0.5246814554262244
ACH-000420,-0.7699720176233821
ACH-000421,-0.7283955969489441
ACH-000424,-0.8979625571721643
ACH-000425,-0.8697672859446991
ACH-000426,-0.5027555447561087
ACH-000427,-0.9318273164140728
ACH-000433,-0.5628790460980598
ACH-000435,-0.8992687587077207
ACH-000436,-0.931409868219032
ACH-000444,-0.6200128157753785
ACH-000445,-0.8222333429558726
ACH-000448,-0.6295436596225061
ACH-000450,-0.8921710408247536
ACH-000452,-0.7422420570740828
ACH-000454,-1.0613135246957
ACH-000458,-0.8718281610581068
ACH-000459,-1.2665373420938308
ACH-000460,-0.7160168742755912
ACH-000461,-1.057727634554477
ACH-000463,-0.6047157656939249
ACH-000464,-0.6191826200868311
ACH-000466,-1.0238610225680267
ACH-000467,-1.1772324823691795
ACH-000468,-0.6847820107473641
