,SS18L2 (51188)
ACH-000004,-1.5049732486827845
ACH-000005,-2.1824112602447494
ACH-000007,-1.3673441399525128
ACH-000009,-1.6449151139999176
ACH-000011,-1.4745485635776956
ACH-000012,-1.4773139826284498
ACH-000013,-1.7184346978015392
ACH-000014,-1.7172382176522507
ACH-000015,-1.7645030132766937
ACH-000017,-1.1830220310795194
ACH-000018,-1.343188002193915
ACH-000019,-1.1503380858630183
ACH-000021,-1.388550514712706
ACH-000022,-1.7373166032289469
ACH-000025,-1.4506209148343232
ACH-000028,-1.4138877901182867
ACH-000030,-1.6276793635942095
ACH-000035,-1.4824877179720801
ACH-000036,-1.609195740372301
ACH-000037,-0.958714601452454
ACH-000039,-1.7214211200343643
ACH-000040,-1.3155281908934626
ACH-000041,-1.7396489465793514
ACH-000042,-1.7545000174951606
ACH-000045,-1.6062535246460563
ACH-000047,-1.601539059254394
ACH-000052,-1.4397136182060486
ACH-000053,-1.5353061094461025
ACH-000054,-1.3487145418409254
ACH-000055,-1.7029646604137687
ACH-000060,-1.6885573044371898
ACH-000067,-1.4734704119514497
ACH-000070,-1.372219283871795
ACH-000075,-1.6113376086014368
ACH-000078,-1.562104161620383
ACH-000082,-1.4436791113266867
ACH-000085,-1.5115090223093384
ACH-000086,-1.4848443050666014
ACH-000087,-1.5791652850823716
ACH-000092,-1.5013156457132102
ACH-000095,-1.334135106034292
ACH-000097,-1.3394173909998763
ACH-000098,-1.772932196774858
ACH-000099,-1.3696827951414228
ACH-000108,-1.448962785887817
ACH-000113,-1.721670087892082
ACH-000116,-1.3873040342470746
ACH-000118,-1.07367939041302
ACH-000120,-1.5103152375540827
ACH-000123,-1.3974141251605632
ACH-000127,-1.0736041378592969
ACH-000128,-1.4598112764067284
ACH-000132,-1.3680658256004259
ACH-000133,-1.4390718240795484
ACH-000137,-1.5655919177509074
ACH-000138,-1.6349540854924196
ACH-000142,-1.4128857448218528
ACH-000143,-1.5437312143030169
ACH-000146,-2.2461080486406284
ACH-000148,-1.8523793727140965
ACH-000150,-1.5374919482160596
ACH-000152,-1.3509015102858597
ACH-000153,-1.6123849838896605
ACH-000159,-1.3536834649035718
ACH-000160,-1.6979582219350606
ACH-000163,-1.6109706305528952
ACH-000167,-2.3331387037389804
ACH-000168,-1.9036873359847233
ACH-000169,-1.5384225859959333
ACH-000178,-1.7153737860760134
ACH-000183,-1.689369919225808
ACH-000188,-1.4886091100606305
ACH-000189,-1.233619332927914
ACH-000190,-1.7564248881435618
ACH-000198,-1.564764837919228
ACH-000203,-1.2122982196013137
ACH-000204,-1.3260540489154933
ACH-000206,-1.9558154403406345
ACH-000207,-1.536258596101363
ACH-000208,-1.063771680289601
ACH-000210,-1.4915786540056657
ACH-000211,-1.5530283734648191
ACH-000215,-1.5053244943890192
ACH-000221,-1.712215247819383
ACH-000222,-1.6192626323549908
ACH-000223,-1.1656014519945734
ACH-000226,-1.5104539068613478
ACH-000227,-1.270459559588868
ACH-000228,-1.6372789145447513
ACH-000231,-1.4909060461011945
ACH-000232,-1.5685757626336287
ACH-000233,-1.6039211767829444
ACH-000234,-1.2941126531966836
ACH-000235,-1.5641788167501935
ACH-000237,-1.4920903404145374
ACH-000238,-1.7174490398723554
ACH-000242,-1.5713511217930325
ACH-000243,-1.59098514804695
ACH-000244,-1.259425931319665
ACH-000246,-1.5278615722713254
ACH-000248,-1.3749294176316804
ACH-000250,-1.4219751853414015
