,ATP6V0D2 (245972)
ACH-000004,0.1021809636814418
ACH-000005,0.420754897370184
ACH-000007,-0.011877000041507095
ACH-000009,0.09935708881837613
ACH-000011,0.20483328506317924
ACH-000012,0.09301042819627936
ACH-000013,0.07525968969470809
ACH-000014,0.05619785768644215
ACH-000015,0.09168836334689666
ACH-000017,0.001440107587613707
ACH-000018,0.1069654735807119
ACH-000019,0.07823175555240477
ACH-000021,0.0821690828618318
ACH-000022,0.13834944501987648
ACH-000025,0.2154555140186538
ACH-000028,-0.07625436339877875
ACH-000030,0.11779316678133285
ACH-000035,0.09386238831807987
ACH-000036,0.05633073205657356
ACH-000037,0.10162754903106673
ACH-000039,-0.17055618523214788
ACH-000040,0.07503382671404497
ACH-000041,-0.02183593973420119
ACH-000042,0.15348606020663594
ACH-000045,0.19505502950309367
ACH-000047,0.139177339634252
ACH-000052,0.29760649760021085
ACH-000053,0.0266450948861352
ACH-000054,-0.02988034014090785
ACH-000055,0.2115285264675928
ACH-000060,-0.03943074042153232
ACH-000067,0.16618371779482707
ACH-000070,0.041468154309125
ACH-000075,0.021429179497230687
ACH-000078,0.09416449050033927
ACH-000082,0.17650270642292326
ACH-000085,0.1918498252428028
ACH-000086,0.1404335664530043
ACH-000087,0.156356854635635
ACH-000092,0.14134062795410166
ACH-000095,0.08722531274435562
ACH-000097,0.036758924340098593
ACH-000098,0.1124104592510468
ACH-000099,0.14904102347882198
ACH-000108,0.17217469893344245
ACH-000113,0.20146983591711287
ACH-000116,-0.01652696871354586
ACH-000118,0.13399260783636674
ACH-000120,0.028827420514095595
ACH-000123,-0.00600230332524738
ACH-000127,0.051064024872608436
ACH-000128,0.15643757818356704
ACH-000132,0.18482995285432924
ACH-000133,0.06861624723817053
ACH-000137,0.17972885429029412
ACH-000138,0.1359123380010554
ACH-000142,0.12399643282943078
ACH-000143,0.02929565372568308
ACH-000146,0.04147931357808279
ACH-000148,0.10674667906691276
ACH-000150,0.10656956914589974
ACH-000152,-0.012012343872553129
ACH-000153,0.21747206678663467
ACH-000159,0.04421584592810844
ACH-000160,0.19751584690035556
ACH-000163,-0.013736939876582142
ACH-000167,0.20127453046543908
