,SARS2 (54938)
ACH-000004,-0.5513016010744927
ACH-000005,-0.3538922907655409
ACH-000007,-0.6633614738543467
ACH-000009,-0.63125727796512
ACH-000011,-0.3285423374039334
ACH-000012,-0.7433449409492893
ACH-000013,-0.802404533890581
ACH-000014,-0.5326039492492075
ACH-000015,-0.8708550442788286
ACH-000017,-0.4038620691564102
ACH-000018,-0.7819952492687227
ACH-000019,-0.8866584568769371
ACH-000021,-0.6067629546658874
ACH-000022,-0.5072825929264624
ACH-000025,-0.7804130112591611
ACH-000028,-0.7165392701840898
ACH-000030,-0.6761018504120866
ACH-000035,-0.7510708542852151
ACH-000036,-0.26949627908585844
ACH-000037,-0.4287770988761908
ACH-000039,-0.5472656579018229
ACH-000040,-0.4609879415022038
ACH-000041,-0.6994731301863637
ACH-000042,-0.4633255123492756
ACH-000045,-0.4240703828244066
ACH-000047,-0.6535323716211507
ACH-000052,-0.6983250909159538
ACH-000053,-0.6856015802644324
ACH-000054,-0.5013431789417223
ACH-000055,-0.7270439315544388
ACH-000060,-0.34051722476195306
ACH-000067,-0.34308702031004346
ACH-000070,-0.7381268618981975
ACH-000075,-0.4228455940875764
ACH-000078,-0.4042871169840614
ACH-000082,-0.3550716756379869
ACH-000085,-0.4617255680633113
ACH-000086,-1.0768514603626933
ACH-000087,-0.9151907046843262
ACH-000092,-0.4882394051857367
ACH-000095,-0.3671542120693124
ACH-000097,-0.3663398128554981
ACH-000098,-0.7141167421335771
ACH-000099,-0.6860352554156195
ACH-000108,-0.35233663624142925
ACH-000113,-0.7408973633261368
ACH-000116,-0.6962170745352836
ACH-000118,-0.8658514380705845
ACH-000120,-0.495300990182495
ACH-000123,-0.7311787011490332
ACH-000127,-0.7586668999671695
ACH-000128,-0.7385183800010003
ACH-000132,-0.389866002582536
ACH-000133,-0.5204180996017183
ACH-000137,-0.4885937576380642
ACH-000138,-0.5260969499755351
ACH-000142,-0.4598128821601897
ACH-000143,-0.7259565676762012
ACH-000146,-0.4698126384766815
ACH-000148,-0.59144260611088
ACH-000150,-0.9189284553105728
ACH-000152,-0.53414731905039
ACH-000153,-0.7804263068333851
ACH-000159,-0.4598310026036496
ACH-000160,-0.7198130779412573
ACH-000163,-0.5362419628453997
ACH-000167,-0.4588934967814398
ACH-000168,-0.21943224492267988
ACH-000169,-0.5175524764575202
ACH-000178,-0.6823295070351815
ACH-000183,-0.859854465427019
ACH-000188,-0.8814632757674733
ACH-000189,-0.598414714401475
ACH-000190,-0.7005409696746815
ACH-000198,-0.4789671450107218
ACH-000203,-0.22399820661019995
ACH-000204,-0.7411551492205866
ACH-000206,-0.8011044413281943
ACH-000207,-0.7114311215799354
ACH-000208,-0.4800513784818434
ACH-000210,-0.6039629506087887
ACH-000211,-0.4219153218980069
ACH-000215,-0.6552061454864354
ACH-000221,-0.7909124640742131
ACH-000222,-0.5493361993713345
ACH-000223,-0.5584964333557069
ACH-000226,-0.5395949142182224
ACH-000227,-0.6921912845606577
ACH-000228,-0.6796561523877368
ACH-000231,-0.6118959761779222
ACH-000232,-0.7444884948388946
ACH-000233,-0.6581185931614906
ACH-000234,-0.4257956581830054
ACH-000235,-0.6425241000117269
ACH-000237,-0.372041366764625
ACH-000238,-0.7151898175240695
ACH-000242,-0.33963683401978634
ACH-000243,-0.5490062946240832
ACH-000244,-0.5084824979250481
ACH-000246,-0.6704922509569992
ACH-000248,-0.5919414188814478
ACH-000250,-0.4000380797643756
ACH-000251,-0.8775813880303629
ACH-000252,-0.7933994928467873
ACH-000253,-0.40797077992124897
ACH-000255,-0.5484910126112592
ACH-000256,-0.4160880658699973
ACH-000257,-0.6680833314037128
ACH-000258,-0.6159189260594594
ACH-000259,-0.7430256104572704
ACH-000260,-0.5247093416683891
ACH-000261,-0.5613439127667273
ACH-000262,-0.5958836396691861
ACH-000263,-0.6423773203828421
ACH-000264,-0.3685509823573817
ACH-000265,-0.9282729561586864
ACH-000266,-0.4385757552023044
ACH-000272,-0.400142006686637
ACH-000274,-0.43676286552051946
ACH-000277,-0.5416498286068046
ACH-000278,-0.4989341600745893
ACH-000279,-0.8536522963421984
ACH-000280,-0.4571996358428583
ACH-000281,-0.8071280420979113
ACH-000288,-0.7350697620414484
ACH-000291,-0.5721654787617921
ACH-000293,-0.5527706872266203
ACH-000294,-0.7955055058155455
ACH-000295,-0.8623256119024589
ACH-000296,-0.5054377815310224
ACH-000302,-0.7271737850536205
ACH-000304,-0.8334333123143964
ACH-000307,-0.5309889548893839
ACH-000308,-0.556694714154499
ACH-000310,-0.37325087019005
ACH-000311,-0.4965697400820896
ACH-000312,-0.6914494852484218
ACH-000315,-0.7087326711274952
ACH-000316,-0.4750774329611278
ACH-000317,-0.9823167647331488
ACH-000318,-0.6107764222272939
ACH-000319,-0.4897526345122006
