,ATP1B1 (481)
ACH-000004,0.02810847136288685
ACH-000005,0.0611864968481064
ACH-000007,-0.06329492548335668
ACH-000009,-0.2573997820739587
ACH-000011,-0.19004766013041452
ACH-000012,-0.03248934356417753
ACH-000013,-0.04533013143989336
ACH-000014,-0.13017741250211892
ACH-000015,-0.043205526126373996
ACH-000017,-0.05806801701927888
ACH-000018,0.03713843015294843
ACH-000019,-0.2254621128079047
ACH-000021,-0.07226346492865493
ACH-000022,-0.02510437836816424
ACH-000025,-0.16559738598451254
ACH-000028,-0.2211543263579004
ACH-000030,-0.1512266077875899
ACH-000035,-0.01595642157821198
ACH-000036,-0.2819120724062949
ACH-000037,-0.12892561327317753
ACH-000039,-0.13726641210124446
ACH-000040,-0.004817986958272411
ACH-000041,-0.01094382035023524
ACH-000042,-0.013638283844398977
ACH-000045,0.04506666053921645
ACH-000047,-0.0244048893077444
ACH-000052,-0.07145679223740993
ACH-000053,-0.011970504197642451
ACH-000054,-0.13984695627455904
ACH-000055,0.06503959151439988
ACH-000060,-0.03425039412508954
ACH-000067,-0.1383131471489832
ACH-000070,-0.1974055588008076
ACH-000075,-0.03690926518648045
ACH-000078,0.01659656108596701
ACH-000082,-0.17323877615537206
ACH-000085,-0.11590071201796795
ACH-000086,-0.1987222900400756
ACH-000087,0.022124338056542632
ACH-000092,-0.10554432782941757
ACH-000095,-0.057207367537172725
ACH-000097,-0.2274713009053887
ACH-000098,-0.10382403267329188
ACH-000099,-0.07295164954417419
ACH-000108,0.008675583895720186
ACH-000113,-0.031513207230868034
ACH-000116,-0.07539021329822605
ACH-000118,0.019322162316807598
ACH-000120,-0.12201648241764085
ACH-000123,-0.05488613550712057
ACH-000127,0.002910557453992625
ACH-000128,-0.07514837919885889
ACH-000132,-0.09374450635473378
ACH-000133,-0.25829595323903404
ACH-000137,-0.15629953566291235
ACH-000138,0.03599578051002317
ACH-000142,-0.15675927279351848
ACH-000143,-0.0970405755570855
ACH-000146,-0.0380412563854811
ACH-000148,-0.11241368270420957
ACH-000150,0.06236245470721177
ACH-000152,-0.11060785056443538
ACH-000153,-0.16347823675463016
ACH-000159,-0.1081706323787363
ACH-000160,-0.013549007473387432
ACH-000163,-0.17846440904345004
ACH-000167,0.054027338581655766
ACH-000168,0.16595894418359114
ACH-000169,-0.10462894478841976
ACH-000178,-0.047681546079485534
ACH-000183,-0.14582071766294155
ACH-000188,-0.024003371511507058
ACH-000189,-0.09958397195892453
ACH-000190,-0.1303639267402818
ACH-000198,-0.09651979869638937
ACH-000203,0.08810028996362299
ACH-000204,-0.34058530111650953
ACH-000206,0.10161665254856096
ACH-000207,-0.029181118749173944
ACH-000208,-0.3190478508124868
ACH-000210,-0.2822705663359731
ACH-000211,-0.13839176809563933
ACH-000215,-0.19299673003362605
ACH-000221,0.02153597888748293
ACH-000222,-0.16052013097840734
ACH-000223,-0.1370847655563874
ACH-000226,-0.1602609713329113
ACH-000227,-0.11354338009078448
ACH-000228,-0.032768688623741916
ACH-000231,-0.07201062814939622
ACH-000232,-0.15033747271502146
ACH-000233,0.03616616773779152
ACH-000234,-0.06479101229196428
ACH-000235,-0.17499247569271045
