,RTL1 (388015)
ACH-000004,-0.11761528525429835
ACH-000005,-0.08951097642106362
ACH-000007,0.16263093870739226
ACH-000009,-0.1659341972517522
ACH-000011,0.04789618415102787
ACH-000012,0.11009889303152336
ACH-000013,-0.035274093462138355
ACH-000014,-0.08594379121938918
ACH-000015,-0.07321900265207651
ACH-000017,-0.09139472671948946
ACH-000018,0.07723316276867162
ACH-000019,-0.07293170724634591
ACH-000021,0.1081212461450519
ACH-000022,-0.16163825617228106
ACH-000025,-0.08880879579123548
ACH-000028,-0.04255442576858031
ACH-000030,-0.07248874127200584
ACH-000035,0.2888481137751636
ACH-000036,-0.08460968630946274
ACH-000037,0.06746619418606822
ACH-000039,0.09070406725747306
ACH-000040,0.005827487565474626
ACH-000041,-0.03615099408109816
ACH-000042,-0.019879608804211003
ACH-000045,-0.17494493223476276
ACH-000047,-0.1861596166479446
ACH-000052,0.011423550962840878
ACH-000053,-0.1464145210678987
ACH-000054,-0.08562374669950898
ACH-000055,-0.03390875193009565
ACH-000060,-0.07798311250276044
ACH-000067,0.054790000364510434
ACH-000070,-0.11712943520607262
ACH-000075,-0.14932432868923032
ACH-000078,0.007315922968564138
ACH-000082,-0.15449794456374627
ACH-000085,-0.08382505721281475
ACH-000086,-0.06813842942673765
ACH-000087,-0.02814039601383628
ACH-000092,-0.04615094274270619
ACH-000095,-0.11114539464449658
ACH-000097,-0.029242215619920863
ACH-000098,-0.13492782891279007
ACH-000099,-0.22618382879873805
ACH-000108,-0.1832111042701528
ACH-000113,-0.09670997682555596
ACH-000116,-0.020478621928204013
ACH-000118,-0.010796348350462066
ACH-000120,0.04897362131971967
ACH-000123,-0.1744085865887229
ACH-000127,-0.08255376525075668
ACH-000128,-0.1169856804151536
ACH-000132,0.005808357727172632
ACH-000133,-0.21242284131925396
ACH-000137,0.01151270477156826
ACH-000138,-0.16653347929731765
ACH-000142,0.08127306838651893
ACH-000143,-0.16509913704797136
ACH-000146,-0.102385607309027
ACH-000148,0.05471332253852188
ACH-000150,-0.0678137620740866
ACH-000152,-0.060094216550680174
ACH-000153,0.1192943432153809
ACH-000159,0.05695289125840027
ACH-000160,-0.132162039764868
ACH-000163,-0.026101784936652297
ACH-000167,-0.2333779134786767
ACH-000168,-0.07348785670684788
ACH-000169,-0.08416979842812462
ACH-000178,-0.03041967852313861
ACH-000183,-0.1588314790880134
ACH-000188,-0.01910941513429943
ACH-000189,0.11253288426498316
ACH-000190,0.12553345024251064
ACH-000198,-0.07252657997384226
ACH-000203,-0.19025152290327368
ACH-000204,-0.11366809117027228
ACH-000206,-0.17674321366345552
ACH-000207,0.024720437596547004
ACH-000208,0.3491385546996932
ACH-000210,-0.030806942801883563
ACH-000211,-0.1776189941840677
ACH-000215,-0.06315828713258914
ACH-000221,-0.02710318429368493
ACH-000222,-0.13906881618595082
ACH-000223,0.0006049846530222089
ACH-000226,-0.07430726033246493
ACH-000227,-0.2361406584356773
ACH-000228,-0.07147938985477419
ACH-000231,-0.025955108727774217
ACH-000232,-0.1292694466311195
ACH-000233,-0.1857156476213384
ACH-000234,-0.06611882164903404
ACH-000235,0.007081942450811333
ACH-000237,0.13687534200017887
ACH-000238,-0.28396773716063783
ACH-000242,0.11291148878664872
ACH-000243,-0.05460657707496675
ACH-000244,0.11920276785477847
ACH-000246,-0.08639029628384272
ACH-000248,-0.0517666048794584
ACH-000250,-0.05353623269681921
ACH-000251,-0.17570351675202964
ACH-000252,-0.12198471730643475
ACH-000253,0.06463738276094938
ACH-000255,-0.04954384769357557
ACH-000256,-0.17001623689761222
ACH-000257,-0.18466365273257354
ACH-000258,-0.3139091441390834
ACH-000259,-0.05354114936334765
ACH-000260,-0.10598987174205153
ACH-000261,-0.0645973488833275
ACH-000262,-0.14342694183193358
ACH-000263,0.07120832225657976
ACH-000264,-0.14437672366412804
ACH-000265,-0.16307378554791105
ACH-000266,-0.045271276902027625
ACH-000272,-0.21171386173103446
ACH-000274,-0.025282094114596063
ACH-000277,-0.15654971646078514
ACH-000278,0.0073068206412302905
ACH-000279,-0.12358060958116406
ACH-000280,-0.06257245632941262
ACH-000281,-0.10417365890819467
ACH-000288,-0.12270539146538345
ACH-000291,-0.10913991033672046
ACH-000293,0.05283965869775135
ACH-000294,-0.13218199440377024
ACH-000295,0.0435420345416398
ACH-000296,-0.05936087728619896
ACH-000302,0.08042436339786756
ACH-000304,0.008240647443616963
ACH-000307,0.0065936940836100865
ACH-000308,-0.04452061604866815
ACH-000310,-0.13947512200596165
ACH-000311,-0.09637632175130137
ACH-000312,-0.09760278749873423
ACH-000315,-0.12800766335342728
ACH-000316,-0.18988062846731849
ACH-000317,-0.2260383621229136
ACH-000318,0.1876483767488692
ACH-000319,-0.12383356366442015
ACH-000320,-0.2828380969959509
ACH-000322,-0.16094559015945914
ACH-000323,-0.07925511355336685
ACH-000324,-0.023199767741076356
ACH-000329,-0.0608178016594041
ACH-000330,-0.028886782924303408
ACH-000331,0.037045858636734263
ACH-000332,-0.10731134734545324
ACH-000334,-0.03552669384785672
ACH-000335,-0.03749578332795369
ACH-000336,0.13124267184469246
ACH-000337,-0.06847144043201556
ACH-000338,-0.4454593799773093
ACH-000339,-0.10822640740675384
ACH-000341,-0.03551416162056332
ACH-000348,-0.1222194878813019
ACH-000350,-0.08924230869815318
ACH-000352,-0.07956559409732092
ACH-000356,0.059932900370041585
ACH-000361,-0.043139074327624816
ACH-000362,0.054383353734024566
ACH-000363,-0.1059007351870716
ACH-000364,0.04795025481053965
ACH-000365,-0.055080912010920094
ACH-000366,-0.01696830785010475
ACH-000368,-0.2406957243203101
ACH-000374,0.01475786325897749
ACH-000375,-0.21640180251599125
ACH-000376,-0.09810958610495564
ACH-000381,-0.11814547239518808
ACH-000383,-0.049046071567115726
ACH-000387,-0.12154112389887202
ACH-000389,0.01679459798394571
ACH-000390,-0.17026724412299066
ACH-000393,-0.09888355020034946
ACH-000395,-0.17215191969755425
ACH-000396,-0.33779668994915224
ACH-000397,-0.03056320391094338
ACH-000401,0.05857521767209965
ACH-000402,-0.1094237211106638
ACH-000403,-0.14021658114826818
ACH-000404,-0.1009857513466104
ACH-000406,-0.13285008768973375
ACH-000407,-0.15220209237045734
ACH-000408,-0.11456785324418628
ACH-000410,-0.00436339722576023
ACH-000411,-0.0883759454556155
ACH-000414,-0.1725378544202464
ACH-000415,-0.15053620750208646
ACH-000416,-0.020408791001634938
ACH-000420,-0.1203003971178486
ACH-000421,-0.10115847851168668
ACH-000424,0.04805070475821428
ACH-000425,0.028694859348727782
ACH-000426,0.007255345253329569
ACH-000427,-0.047254299559364506
ACH-000433,-0.09643754383771136
ACH-000435,-0.1467464952682385
ACH-000436,-0.14127040915360112
ACH-000444,0.08469867677342441
ACH-000445,-0.20937467113923816
ACH-000448,-0.0403547147437646
ACH-000450,0.03838477746199877
ACH-000452,-0.3751553303055957
ACH-000454,0.0004745150061432872
ACH-000458,-0.014188653265482491
ACH-000459,-0.04739327145877725
ACH-000460,-0.059168437257507776
ACH-000461,-0.052305138319982236
ACH-000463,-0.052513822876138185
ACH-000464,0.08581233257921393
ACH-000466,-0.011648170189633072
ACH-000467,-0.07490682885920362
ACH-000468,-0.10097815956713886
ACH-000469,-0.13558299946539926
ACH-000470,-0.09691995477436673
ACH-000471,-0.13151587800050082
ACH-000472,0.002560041002597678
ACH-000473,-0.08781286441714788
ACH-000475,-0.06772997779737958
ACH-000476,-0.010758657621269041
ACH-000477,0.11777409286474726
ACH-000479,-0.2315693128786851
ACH-000480,-0.16608667105681033
ACH-000481,-0.08776327294083101
ACH-000483,0.011811797387966998
ACH-000484,-0.2384571115690523
ACH-000485,-0.20817450249043226
ACH-000486,0.05232171348162282
ACH-000487,-0.01768788212798501
ACH-000488,0.01702832590832003
ACH-000490,-0.12424557396546787
ACH-000491,-0.09948323325686996
ACH-000495,0.05437644007481182
ACH-000496,-0.07022294943176723
ACH-000499,-0.14535159053109545
ACH-000500,-0.4887716131710708
ACH-000502,-0.20585008328438809
ACH-000503,-0.295332367096991
ACH-000505,-0.10458530772531742
ACH-000507,-0.20082267199816264
ACH-000510,-0.025363092646938718
ACH-000511,-0.053143950558593965
ACH-000512,-0.230550812733276
ACH-000516,-0.10585822544403724
ACH-000517,-0.04486717018559356
ACH-000518,-0.013003106303201254
ACH-000520,-0.19646410752829932
ACH-000521,-0.13574338267788422
ACH-000522,-0.11204939578698288
ACH-000524,-0.042621189389020236
ACH-000527,-0.031282830709259316
ACH-000528,-0.05666874492720818
ACH-000537,0.0282767560366866
ACH-000541,0.20892189159314475
ACH-000542,-0.15940018561212976
ACH-000544,0.03996359838963152
ACH-000545,0.0089644894700349
ACH-000547,-0.026875398334816992
ACH-000548,0.0008349524115677283
ACH-000549,0.022384258766704454
ACH-000550,-0.035762545317225516
ACH-000552,-0.06869360246241445
ACH-000556,0.010122243768829085
ACH-000557,-0.09505176367936204
ACH-000569,0.05937277125157382
ACH-000570,-0.05816442118671336
ACH-000571,-0.03271344723112897
ACH-000573,-0.1647061295846085
ACH-000576,-0.13224011421708015
ACH-000579,-0.3560339208031361
ACH-000580,-0.1620564643896964
ACH-000584,-0.06056047521839762
ACH-000585,-0.0880080662948191
ACH-000588,0.06180893223563533
ACH-000589,-0.11225617065727103
ACH-000591,-0.02111719438027632
ACH-000593,-0.04806268361122612
ACH-000600,-0.030202268119000588
ACH-000601,-0.01294361260543267
ACH-000605,-0.10582409503513833
ACH-000606,0.022595322555857417
ACH-000608,-0.14357954452612293
ACH-000614,0.02310698279218725
ACH-000616,0.03812707265575964
ACH-000618,-0.04298184427173366
ACH-000619,-0.01318424313509301
ACH-000620,-0.001973635666399608
ACH-000621,0.0056145239746127895
ACH-000622,-0.13832040126815404
ACH-000623,-0.09568043240249634
ACH-000624,-0.003771525621290841
ACH-000627,-0.095497498809221
ACH-000630,-0.0050022581685396465
ACH-000631,-0.20661055046847146
ACH-000632,-0.10400668049104812
ACH-000633,-0.10209719508265197
ACH-000637,-0.1710569217129089
ACH-000638,-0.042252926023367415
ACH-000646,-0.04452498092715835
ACH-000647,0.014537213601777982
ACH-000648,0.0430998187896472
ACH-000649,-0.05899524766182476
ACH-000651,0.01545535347294044
ACH-000652,-0.1867835169936038
ACH-000653,0.07141688643688822
ACH-000657,-0.09247587096071748
