,LY6H (4062)
ACH-000004,0.18721568319798332
ACH-000005,0.3400849836950371
ACH-000007,0.4584573752331941
ACH-000009,0.29433337625511186
ACH-000011,0.048110676841169306
ACH-000012,0.10281024310348393
ACH-000013,0.1535021634496712
ACH-000014,0.13500566866122998
ACH-000015,0.09647486811609562
ACH-000017,0.11823792961664738
ACH-000018,0.35778745582661714
ACH-000019,0.18380391977032984
ACH-000021,0.056459733981978
ACH-000022,0.17117734043185173
ACH-000025,-0.0051423253314821565
ACH-000028,0.15225307788705225
ACH-000030,0.0170265128418267
ACH-000035,0.0072342763216101235
ACH-000036,0.024929510910143973
ACH-000037,0.1462720638111989
ACH-000039,0.1677342851371654
ACH-000040,0.0938273183644544
ACH-000041,0.15941136730591318
ACH-000042,-0.0779988911077621
ACH-000045,-0.052983261195846586
ACH-000047,0.07745416005303746
ACH-000052,0.18188485457271256
ACH-000053,0.175420870575499
ACH-000054,0.11624030994799538
ACH-000055,0.3075653087227845
ACH-000060,0.21099279164238294
ACH-000067,0.15566019079987842
ACH-000070,0.2699361514235649
ACH-000075,0.0030968245226691807
ACH-000078,0.13219377771340562
ACH-000082,0.2173331611201983
ACH-000085,-0.0743192889102324
ACH-000086,0.03576318455810941
ACH-000087,-0.06865198045819755
ACH-000092,0.18796020812559988
ACH-000095,0.31872940449660336
ACH-000097,0.16653100044932315
ACH-000098,0.2393648583997354
ACH-000099,0.17365099793825628
ACH-000108,0.24306380825617305
ACH-000113,0.15312773314151235
ACH-000116,0.11762138540514665
ACH-000118,0.10992086198157368
ACH-000120,0.15600438478006098
ACH-000123,0.15469150965631576
ACH-000127,0.2606994688583049
ACH-000128,0.2532984982718734
ACH-000132,0.18098802472297856
ACH-000133,0.1870899770816244
ACH-000137,0.3556452003906704
ACH-000138,0.08300932758543428
ACH-000142,0.18810554850805256
ACH-000143,0.11520838155880735
ACH-000146,0.15138788505950426
ACH-000148,0.20094468659259346
ACH-000150,0.04751706090958367
ACH-000152,0.16481152842350824
ACH-000153,0.12435772769250762
ACH-000159,0.09438980158447244
ACH-000160,0.3065773205979479
ACH-000163,0.0661811168009198
ACH-000167,-0.07280763721233867
ACH-000168,0.01994774645437433
ACH-000169,0.2021571532481547
ACH-000178,0.22073293598714253
ACH-000183,0.2323188673971255
ACH-000188,0.03645221680170889
ACH-000189,0.2741518499433884
ACH-000190,0.29164957349540804
ACH-000198,0.2706512298118174
ACH-000203,0.22309082423727872
ACH-000204,0.2464799494749809
ACH-000206,0.2310129820649296
ACH-000207,-0.15059104153066633
ACH-000208,-0.11670412187055082
ACH-000210,0.2811474578242364
ACH-000211,0.2594174702577968
ACH-000215,0.15967900122283188
ACH-000221,0.2904588723253661
ACH-000222,0.043676796856378285
ACH-000223,0.13669912148083382
ACH-000226,0.1142517603742816
ACH-000227,0.19917534662702405
ACH-000228,0.3869366172527542
ACH-000231,0.2514133262950153
ACH-000232,0.19069487761136966
ACH-000233,0.000747842866084751
ACH-000234,0.2865404885666704
ACH-000235,0.08759684399964195
ACH-000237,0.1885889110370075
ACH-000238,0.07334843465609064
ACH-000242,0.2777984468279533
ACH-000243,0.18201693733908006
ACH-000244,0.29181401623618203
ACH-000246,0.1792572563956999
ACH-000248,0.19455808046554016
ACH-000250,-0.0642624470198446
ACH-000251,0.40861555302463615
ACH-000252,-0.14794565617046124
ACH-000253,0.0667633436081922
ACH-000255,0.2941262196344116
ACH-000256,0.10520065305974023
ACH-000257,0.2581859255861635
ACH-000258,0.12059411051620207
ACH-000259,0.2960087491595693
ACH-000260,0.12842309253187828
ACH-000261,-0.010717054139670328
