,FANCF (2188)
ACH-000004,-0.1546373225081646
ACH-000005,0.0186953935310892
ACH-000007,-0.4862974500403527
ACH-000009,-0.2583004786511038
ACH-000011,-0.4437119376318744
ACH-000012,-0.2342274905633689
ACH-000013,-0.16844576478980042
ACH-000014,-0.4591591674312681
ACH-000015,-0.2424934527614273
ACH-000017,-0.2808811901194251
ACH-000018,-0.33642127004301176
ACH-000019,-0.3366220590974761
ACH-000021,-0.4260532464501472
ACH-000022,-0.27172067027998703
ACH-000025,-0.6824009874311718
ACH-000028,-0.5189547136066852
ACH-000030,-0.34197384692712396
ACH-000035,-0.5001844439897676
ACH-000036,-0.4753390679852262
ACH-000037,-0.3658283304569656
ACH-000039,-0.27491138477970745
ACH-000040,-0.3488266082140816
ACH-000041,-0.3268227092380313
ACH-000042,-0.2466982896781507
ACH-000045,-0.5472391175617004
ACH-000047,-0.290010855939517
ACH-000052,-0.483343993187676
ACH-000053,-0.2673922886135088
ACH-000054,-0.3605450121444353
ACH-000055,-0.3591564079464916
ACH-000060,-0.3627961741364282
ACH-000067,-0.4818832236113048
ACH-000070,-0.4207689760078879
ACH-000075,-0.455184090877086
ACH-000078,-0.41163368586658255
ACH-000082,-0.5103152753397112
ACH-000085,-0.06635738558131075
ACH-000086,-0.08152071099936305
ACH-000087,-0.6141302933496776
ACH-000092,-0.3528589781506277
ACH-000095,-0.2336022934429659
ACH-000097,-0.3174035442352665
ACH-000098,-0.3675305759005336
ACH-000099,-0.4931338559506183
ACH-000108,-0.4099754577661054
ACH-000113,-0.6144466859954384
ACH-000116,-0.3624406400939337
ACH-000118,-0.6246993734590106
ACH-000120,-0.42537226299227066
ACH-000123,-0.4339604308901274
ACH-000127,-0.3742116064472666
ACH-000128,-0.13636704303580469
ACH-000132,-0.7334336665958762
ACH-000133,-0.9090370988509106
ACH-000137,-0.448893326425262
ACH-000138,-0.3025418727939173
ACH-000142,-0.4133514896176084
ACH-000143,-0.26214731129981045
ACH-000146,-0.3092928497930851
ACH-000148,-0.5873369858357625
ACH-000150,-0.1893019038419776
ACH-000152,-0.5889960665656124
ACH-000153,-0.2885832881832653
ACH-000159,-0.3094953343476253
ACH-000160,-0.3034397576158739
ACH-000163,-0.26333921696917945
ACH-000167,-0.12038652014416615
ACH-000168,-0.5073153255059532
ACH-000169,-0.07733515416490777
ACH-000178,-0.27919821004330203
ACH-000183,-0.024918633008370657
ACH-000188,-0.4703492863393567
ACH-000189,-0.2696184155119013
ACH-000190,-0.31578939815344553
ACH-000198,-0.4488452257740469
ACH-000203,-0.7257418147364354
ACH-000204,-0.15343078943103436
ACH-000206,-1.090223088135562
ACH-000207,-0.3801637366808756
ACH-000208,-0.2569394536676921
ACH-000210,-0.0734708956485651
ACH-000211,-0.4874323785428515
ACH-000215,-0.29719359797271205
ACH-000221,-0.4572553048812704
ACH-000222,-0.2822941971021446
ACH-000223,-0.4174846847916653
ACH-000226,-0.43680373736010336
ACH-000227,-0.3269496316558428
ACH-000228,-0.2726886434043997
ACH-000231,-0.2532105457972387
ACH-000232,-0.276216282350792
ACH-000233,-0.4945150173508263
ACH-000234,-0.3242667326769567
ACH-000235,-0.25755521868524256
ACH-000237,-0.3949630570205785
ACH-000238,-0.27629449214831625
ACH-000242,-0.23961603793431255
ACH-000243,-0.2424980157582549
ACH-000244,-0.3036722517016865
ACH-000246,-0.5304255372689655
ACH-000248,-0.2650537692553756
ACH-000250,-0.2653196415156475
ACH-000251,-0.10660608557938966
ACH-000252,-0.3394884731680465
ACH-000253,-0.05617223511558527
ACH-000255,-0.4842864032889731
ACH-000256,-0.4697687714772079
ACH-000257,-0.347909806006496
ACH-000258,-0.3231773011186613
ACH-000259,-0.28277132930645105
ACH-000260,-0.2520517829925498
ACH-000261,-0.47211214613471003
ACH-000262,-0.36292188222215255
ACH-000263,0.10422419667175907
ACH-000264,-0.3092647095475308
ACH-000265,-0.3508106461385401
ACH-000266,-0.3821475468204681
ACH-000272,-0.2795469347705741
ACH-000274,-0.32623453021033577
ACH-000277,-0.4327734415198252
ACH-000278,-0.8331940320774875
ACH-000279,-0.3465164729359478
ACH-000280,-0.2052179201182104
ACH-000281,-0.1344239752971625
ACH-000288,-0.42313525299741134
ACH-000291,-0.24291332265499896
ACH-000293,-0.17133500632419374
ACH-000294,-0.3175616878275729
ACH-000295,-0.2490564463453131
ACH-000296,-0.42816962561755
ACH-000302,-0.14060646067101928
ACH-000304,-0.7085497765692836
ACH-000307,-0.20477352507184346
ACH-000308,-0.3561187425684991
ACH-000310,-0.34264446499863216
ACH-000311,-0.5709015532627213
ACH-000312,-0.17273122962260634
ACH-000315,-0.3492928389038321
ACH-000316,-0.3172048937834802
ACH-000317,-0.2543198325449371
ACH-000318,-0.3172711068915665
ACH-000319,-0.3484002713895287
ACH-000320,-0.41004001932296463
ACH-000322,-0.4215010111618013
ACH-000323,-0.4020646071293201
ACH-000324,-0.3631034389704048
ACH-000329,-0.15544028568622328
ACH-000330,-0.3080177494743529
ACH-000331,-0.2676418397069721
ACH-000332,-0.2705059085939105
ACH-000334,-0.1477770179907409
ACH-000335,-0.38563697526369695
ACH-000336,-0.8779029915545653
ACH-000337,-0.05036714050915655
ACH-000338,-1.0027455311453346
ACH-000339,-0.3446071429984619
ACH-000341,-0.9969653053542068
ACH-000348,-0.4958102704829905
ACH-000350,-0.2864516545146745
ACH-000352,-0.09767790618980414
ACH-000356,-0.3258543222238651
ACH-000361,-0.5164558233272933
ACH-000362,-0.8651599426706946
ACH-000363,-0.28391304773409104
ACH-000364,-0.4940005712943006
ACH-000365,-0.5058775379569599
ACH-000366,-0.2330788691783909
ACH-000368,-0.2695273407820853
ACH-000374,-0.4968119657517148
ACH-000375,-0.7868604871502473
ACH-000376,-0.41256469448303856
ACH-000381,-0.4017978557358416
ACH-000383,-0.2797267370756671
ACH-000387,-0.2246487113301832
ACH-000389,-0.06569766618084857
ACH-000390,-0.19368888589158115
ACH-000393,-0.3346985192791429
ACH-000395,-0.07754170037188386
ACH-000396,-0.6254464042687509
ACH-000397,-0.4148243013607521
ACH-000401,-0.3987327952163835
ACH-000402,0.263519134756733
ACH-000403,-0.2664108607017439
ACH-000404,-0.806935891965636
ACH-000406,-0.4520633919543232
ACH-000407,-0.38558462039547203
ACH-000408,-0.5440094371345109
ACH-000410,-0.9184212165474628
ACH-000411,-0.2273681171122649
ACH-000414,-0.2360397258087726
ACH-000415,-0.6092888801134191
ACH-000416,-0.2743206362815245
ACH-000420,-0.19492148963403147
ACH-000421,-0.3843467527054488
ACH-000424,-0.3435672788458993
ACH-000425,-0.4695515141547936
ACH-000426,-0.3196706826303915
ACH-000427,-0.2438468349952118
ACH-000433,-0.22287276974025472
ACH-000435,-0.8376182874642354
ACH-000436,-0.3707356604602048
ACH-000444,-0.43031900879756574
ACH-000445,-0.3923896294059382
ACH-000448,-0.3596990865570823
ACH-000450,-0.5355522714305447
ACH-000452,-0.3502420522555494
ACH-000454,-0.08075926176318211
ACH-000458,-0.3574820724900873
ACH-000459,-0.4183556434035983
ACH-000460,-0.2461826103855964
ACH-000461,-0.23270494525200985
ACH-000463,-0.4801317666734408
ACH-000464,-0.29643310049485816
ACH-000466,-0.11180446157343596
ACH-000467,-0.3593977789129719
ACH-000468,-0.25605205812112464
ACH-000469,-0.37075792436412575
ACH-000470,-0.2466014896936511
ACH-000471,-0.3034662056760743
ACH-000472,-0.34846072992372906
ACH-000473,-0.5035624582779082
ACH-000475,-0.38302494337836135
ACH-000476,-0.37366216027892746
ACH-000477,-0.3359366160975098
ACH-000479,-0.4528769847276762
ACH-000480,0.051725707974644534
ACH-000481,-0.17485846446396133
ACH-000483,-0.5489274944053532
ACH-000484,-0.5700787057550151
ACH-000485,-0.14721453406258095
ACH-000486,-0.4323296245826104
ACH-000487,-0.15273244103839442
ACH-000488,-0.12387801558698927
ACH-000490,-0.2582666152581269
ACH-000491,0.01306037345975618
ACH-000495,-0.7568674448372652
ACH-000496,-0.2957121223475849
ACH-000499,-0.6239372926934034
ACH-000500,-0.017574695969799287
ACH-000502,-0.312314756224488
ACH-000503,-0.4322507950033072
ACH-000505,-0.3232289623427456
ACH-000507,-0.6478033453350094
ACH-000510,-0.4608704016135151
ACH-000511,-0.506958236944165
ACH-000512,-0.3628093032497938
ACH-000516,-0.4789861820376533
ACH-000517,-0.3277571191152925
ACH-000518,-0.14086868028107685
ACH-000520,-0.3557610593614939
