,EIF6 (3692)
ACH-000004,-0.8288841016819289
ACH-000005,-1.1434601466445982
ACH-000007,-0.9187288796322984
ACH-000009,-0.8422632730737163
ACH-000011,-0.9693031943128421
ACH-000012,-0.7842056487327592
ACH-000013,-0.9707562389741952
ACH-000014,-0.7141064858738753
ACH-000015,-0.9457903640646952
ACH-000017,-0.7862839046669982
ACH-000018,-1.1866430884598798
ACH-000019,-0.979987260607298
ACH-000021,-0.916729572207109
ACH-000022,-0.8972983940426332
ACH-000025,-0.9267630756922705
ACH-000028,-0.9366761263091048
ACH-000030,-1.0600679543917784
ACH-000035,-0.7889247687576257
ACH-000036,-0.7545260658767333
ACH-000037,-0.22511430081122885
ACH-000039,-0.7565595021264803
ACH-000040,-0.7432689789491346
ACH-000041,-1.1151655445362834
ACH-000042,-0.9385758293198458
ACH-000045,-1.0765598290378369
ACH-000047,-0.917115617783362
ACH-000052,-0.6641766742478349
ACH-000053,-0.8395082056849107
ACH-000054,-0.6570112134365532
ACH-000055,-0.9265692434654712
ACH-000060,-0.8936349753743249
ACH-000067,-0.7455599742920298
ACH-000070,-0.8982819400613304
ACH-000075,-0.9372215146402878
ACH-000078,-0.8256039582251621
ACH-000082,-1.0191567296034938
ACH-000085,-1.138216057269806
ACH-000086,-0.8647908347475421
ACH-000087,-1.0496994575225258
ACH-000092,-0.8569404049363694
ACH-000095,-0.8938525883068306
ACH-000097,-0.7876280231421054
ACH-000098,-0.8423365823374668
ACH-000099,-0.8265171478993403
ACH-000108,-0.8347690898646442
ACH-000113,-0.7594184521422561
ACH-000116,-0.8520774565697401
ACH-000118,-0.8880028879534613
ACH-000120,-0.8329866849307099
ACH-000123,-0.8455881676714702
ACH-000127,-0.8780057992076032
ACH-000128,-1.0951809068161988
ACH-000132,-0.7935501787737571
ACH-000133,-1.0198796611847518
ACH-000137,-0.8299021993191432
ACH-000138,-1.0946792702907389
ACH-000142,-0.8481989474121578
ACH-000143,-0.8109015223382359
ACH-000146,-0.9910702252814542
ACH-000148,-0.9684413202599444
ACH-000150,-0.9828742569378242
ACH-000152,-1.0323087446394663
ACH-000153,-0.9376943595205832
ACH-000159,-0.7091390313080297
ACH-000160,-1.1105517529464006
ACH-000163,-1.073010103396354
ACH-000167,-1.162025042172884
ACH-000168,-0.9979370760067734
