,TCTN1 (79600)
ACH-000004,-0.38826626444530266
ACH-000005,0.00646923959210857
ACH-000007,-0.2471081025489501
ACH-000009,-0.15371425503905048
ACH-000011,-0.3755656677114691
ACH-000012,-0.15842076933364202
ACH-000013,-0.11301416928305498
ACH-000014,-0.22240018317312288
ACH-000015,-0.1776150316814077
ACH-000017,-0.13278903235736886
ACH-000018,-0.14811828184826678
ACH-000019,-0.03994710638123295
ACH-000021,-0.2387949293888637
ACH-000022,-0.15245270678216954
ACH-000025,-0.17888645415927476
ACH-000028,-0.004138453938351518
ACH-000030,-0.08744845073717562
ACH-000035,-0.08310802024301668
ACH-000036,-0.13736161072512962
ACH-000037,-0.11362119095571604
ACH-000039,-0.19755148852207652
ACH-000040,-0.3150557564343437
ACH-000041,-0.2480279643087752
ACH-000042,-0.20196394113022226
ACH-000045,-0.15448467464342833
ACH-000047,-0.15165142686018648
ACH-000052,-0.30534254543806355
ACH-000053,-0.1556854673974286
ACH-000054,-0.2540623472617529
ACH-000055,-0.12527620245652615
ACH-000060,-0.14931705120947486
ACH-000067,-0.3524578096392561
ACH-000070,-0.008277630633079989
ACH-000075,-0.19707400636171987
ACH-000078,-0.11794397916839748
ACH-000082,-0.1943984339005403
ACH-000085,-0.2420583796516244
ACH-000086,-0.23162483465934736
ACH-000087,-0.2757804380265432
ACH-000092,-0.10989147672003337
ACH-000095,-0.13627833148795895
ACH-000097,-0.1521261761895547
ACH-000098,-0.2525717413853109
ACH-000099,-0.15527341770868566
ACH-000108,-0.19905921021058973
ACH-000113,-0.07227220897394497
ACH-000116,-0.1928596644796191
ACH-000118,-0.10084362732879562
ACH-000120,-0.02965162679695405
ACH-000123,0.0037739228801645435
ACH-000127,-0.11028622082238072
ACH-000128,-0.20996704765288307
ACH-000132,0.032244584318013705
ACH-000133,-0.2685691617938481
ACH-000137,-0.22028536389317047
ACH-000138,-0.2485386354658883
ACH-000142,-0.2175391434347224
ACH-000143,-0.22044012897701773
ACH-000146,-0.2196771541138714
ACH-000148,-0.2016127767182692
ACH-000150,-0.21287298464567173
ACH-000152,-0.2534085701146194
ACH-000153,-0.12293424864965542
ACH-000159,-0.14928271229179554
ACH-000160,-0.17155982830643068
ACH-000163,-0.222313051191108
ACH-000167,-0.5403023500062487
ACH-000168,-0.12003687210886738
ACH-000169,-0.17081675391646067
ACH-000178,-0.18819343271176414
ACH-000183,-0.17198446909507265
ACH-000188,-0.14921103461083568
ACH-000189,-0.07205017556507465
ACH-000190,-0.13829163415263082
ACH-000198,-0.1994911923002453
ACH-000203,-0.1715443449658229
ACH-000204,-0.013249102364718615
ACH-000206,-0.3109287735851888
ACH-000207,-0.1239397071959288
ACH-000208,-0.1182248503369762
ACH-000210,-0.294450409025832
ACH-000211,-0.19370293912535527
ACH-000215,-0.2776313686024893
ACH-000221,-0.10964435761429056
ACH-000222,-0.16448658594509072
ACH-000223,-0.1745825924807494
ACH-000226,-0.09962392567866478
ACH-000227,-0.361381725520906
ACH-000228,-0.05449505370670262
ACH-000231,-0.11530731210087318
