,PLA2G6 (8398)
ACH-000004,0.019057164230716454
ACH-000005,-0.1938426016254767
ACH-000007,-0.0479462982649945
ACH-000009,-0.1068526974038886
ACH-000011,-0.1462136202106868
ACH-000012,-0.05343250044724862
ACH-000013,-0.06905977878371511
ACH-000014,-0.1617735862770391
ACH-000015,-0.1357714991488339
ACH-000017,-0.025361705791375703
ACH-000018,0.005534263932206512
ACH-000019,-0.19193664435190355
ACH-000021,-0.07604916683519154
ACH-000022,0.0053276650044632185
ACH-000025,0.016354248391698915
ACH-000028,-0.10619245283144556
ACH-000030,-0.1310500453778721
ACH-000035,-0.2189817706791129
ACH-000036,-0.07663344093240973
ACH-000037,-0.05547157525113497
ACH-000039,0.06053644646994182
ACH-000040,-0.04043032892896185
ACH-000041,-0.06472078400024396
ACH-000042,-0.18517435981939415
ACH-000045,-0.28643226281671264
ACH-000047,0.1723945113763118
ACH-000052,-0.22603839983521135
ACH-000053,-0.028934005898158813
ACH-000054,0.010955523326842288
ACH-000055,-0.04953103462708303
ACH-000060,-0.09573447564222327
ACH-000067,0.10490409059589896
ACH-000070,-0.042233419935569824
ACH-000075,-0.06171334646353695
ACH-000078,-0.021822391097157327
ACH-000082,-0.0706088390555321
ACH-000085,-0.025958828929604508
ACH-000086,0.023409763855863474
ACH-000087,0.18341938037807545
ACH-000092,-0.03512130222334133
ACH-000095,-0.09102745108581714
ACH-000097,-0.08236996149261712
ACH-000098,-0.1078723354510202
ACH-000099,-0.05031385341148182
ACH-000108,-0.018385809683818168
ACH-000113,0.039337531875209227
ACH-000116,0.014644115863892937
ACH-000118,-0.04428893464436505
ACH-000120,-0.10134840318931627
ACH-000123,-0.04641832362120212
ACH-000127,0.0347312207403034
ACH-000128,0.037841591778846974
ACH-000132,-0.2432938130346688
ACH-000133,-0.015037673299042691
ACH-000137,-0.07661181041052838
ACH-000138,-0.07135025755629397
ACH-000142,0.09256331664327536
ACH-000143,-0.11484739441836445
ACH-000146,-0.03380892951545544
ACH-000148,0.03723955476053016
ACH-000150,-0.028947877862662938
ACH-000152,0.1018195001457513
ACH-000153,-0.02626914790160521
ACH-000159,-0.01771492448235393
ACH-000160,-0.08752305630145375
ACH-000163,-0.22462473727916066
ACH-000167,-0.19997440301637293
ACH-000168,-0.15851331841330704
ACH-000169,-0.13508021374218945
ACH-000178,-0.020179090292819342
ACH-000183,0.0077806556226317535
ACH-000188,-0.03453296411011522
ACH-000189,-0.17457479467986484
ACH-000190,-0.003637091206568693
ACH-000198,-0.05636801630784578
ACH-000203,-0.6665465271315821
ACH-000204,0.06853289803068033
ACH-000206,-0.01032685229316798
ACH-000207,-0.03646571121759084
ACH-000208,-0.18660185005468896
ACH-000210,0.025566416498236787
ACH-000211,-0.03185293923564784
ACH-000215,0.03913096348164306
ACH-000221,-0.0051228718648399845
ACH-000222,0.11615262846133036
ACH-000223,-0.04304989296657103
ACH-000226,-0.14235856754662735
ACH-000227,-0.23569041110261885
ACH-000228,-0.031490597803323916
ACH-000231,-0.16406702189601946
ACH-000232,-0.08097924749415537
ACH-000233,-0.03890049134372259
ACH-000234,0.08466685485714583
ACH-000235,0.01057854961643069
ACH-000237,-0.0540644413574417
ACH-000238,-0.0964052040625073
ACH-000242,0.34543338691827585
ACH-000243,-0.08783104999585026
ACH-000244,-0.02732888811508824
ACH-000246,-0.006074130037113125
ACH-000248,0.060772820703258124
ACH-000250,-0.07560069040599053
