,AGXT (189)
ACH-000004,0.0376452122392785
ACH-000005,-0.002774102931124322
ACH-000007,-0.0616728611474496
ACH-000009,-0.06659483676716893
ACH-000011,-0.06439166349475567
ACH-000012,-0.15824362859867092
ACH-000013,-0.055061981535658486
ACH-000014,-0.1970599615174564
ACH-000015,-0.07112045574866496
ACH-000017,-0.06813121348051047
ACH-000018,-0.06249223043716037
ACH-000019,-0.11014336172447173
ACH-000021,-0.07868760918789261
ACH-000022,-0.08776675817619355
ACH-000025,0.02801023412146204
ACH-000028,0.05963832725354855
ACH-000030,0.056252524796463706
ACH-000035,0.029744412644209677
ACH-000036,-0.12394479148959177
ACH-000037,-0.12666727536940214
ACH-000039,-0.0172221404065061
ACH-000040,-0.08700474370881686
ACH-000041,-0.36390428285465376
ACH-000042,-0.052831932043064016
ACH-000045,-0.06798303650267082
ACH-000047,-0.11281634616212445
ACH-000052,-0.09100953961065228
ACH-000053,-0.05189931228908979
ACH-000054,-0.22010610160743435
ACH-000055,-0.1152559121685257
ACH-000060,0.07163037220581261
ACH-000067,-0.04091810243128247
ACH-000070,-0.2071358948652996
ACH-000075,-0.10547347968655632
ACH-000078,-0.11748660488280335
ACH-000082,-0.07076165621542085
ACH-000085,-0.011609130002220755
ACH-000086,-0.05029718898893346
ACH-000087,-0.04186161901184608
ACH-000092,-0.03966172854994913
ACH-000095,-0.17227849311711407
ACH-000097,-0.06540111392010442
ACH-000098,-0.15284616437995324
ACH-000099,-0.14579736595367748
ACH-000108,-0.2005664064059704
ACH-000113,-0.026064183715657233
ACH-000116,-0.06340467346586985
ACH-000118,-0.07343347584546497
ACH-000120,-0.2756049338103963
ACH-000123,-0.1426575666909973
ACH-000127,-0.05260028389621898
ACH-000128,-0.26618158422415433
ACH-000132,-0.0024225463118078515
ACH-000133,0.013209649332580757
ACH-000137,-0.06286812708248972
ACH-000138,-0.08714434569616315
ACH-000142,-0.13340737080353504
ACH-000143,-0.14331521493845448
ACH-000146,-0.01205740662258575
ACH-000148,0.060097787275068364
ACH-000150,-0.24594065287084216
ACH-000152,0.043687426331263185
ACH-000153,-0.06746880023299094
ACH-000159,0.009487969528290124
ACH-000160,0.2244552881443921
ACH-000163,-0.11296698270959467
ACH-000167,0.9153884992342592
ACH-000168,0.0864174794049867
ACH-000169,-0.15691113161879644
ACH-000178,-0.06764917404471235
ACH-000183,-0.15114753305863265
ACH-000188,-0.14457849792357225
ACH-000189,-0.08152876616991142
ACH-000190,0.20265432235458614
ACH-000198,-0.04016375902178637
ACH-000203,-0.025157921436876673
ACH-000204,-0.20349615725701256
ACH-000206,-0.20729708978207007
ACH-000207,0.02076261480229855
ACH-000208,-0.12384994499044558
ACH-000210,-0.06631607132017063
ACH-000211,-0.034568180788299575
ACH-000215,-0.02753921385346836
