,ERV3-1 (2086)
ACH-000004,-0.027204557944706158
ACH-000005,0.17610103860828444
ACH-000007,-0.10657618675131217
ACH-000009,-0.15332353134109955
ACH-000011,-0.240370691090398
ACH-000012,-0.0910771813644369
ACH-000013,-0.02870192627830138
ACH-000014,-0.21168773333023816
ACH-000015,-0.04167709041930895
ACH-000017,-0.2057258273382628
ACH-000018,-0.16060526343462514
ACH-000019,-0.061460959961206076
ACH-000021,-0.2776193599674077
ACH-000022,-0.18101863040564492
ACH-000025,-0.2147925676643138
ACH-000028,-0.21880666563032225
ACH-000030,0.002060164464112868
ACH-000035,-0.2113943670556032
ACH-000036,-0.1099863488508985
ACH-000037,-0.30482991202392656
ACH-000039,0.08693047554355479
ACH-000040,-0.1644991989579014
ACH-000041,-0.06458108462452382
ACH-000042,-0.045067300322379295
ACH-000045,-0.17307393862244885
ACH-000047,0.011695733717554144
ACH-000052,-0.016981096325252732
ACH-000053,-0.15925141834130066
ACH-000054,-0.027977371163696276
ACH-000055,-0.03967181145370986
ACH-000060,-0.19552142990963145
ACH-000067,-0.07082881901680149
ACH-000070,-0.31359173806120105
ACH-000075,-0.207126337267505
ACH-000078,-0.1412387258485438
ACH-000082,0.018374175695990147
ACH-000085,-0.13812477288758515
ACH-000086,0.07694747629353763
ACH-000087,-0.16253652659542314
ACH-000092,-0.02204421559537417
ACH-000095,-0.24844397591840126
ACH-000097,-0.08608296931343222
ACH-000098,-0.15551760292447386
ACH-000099,-0.17718161286627682
ACH-000108,-0.029786902812832205
ACH-000113,-0.10677574980421063
ACH-000116,-0.1010665660473742
ACH-000118,0.023570743088265792
ACH-000120,-0.07723247158300713
ACH-000123,-0.2432502437978186
ACH-000127,-0.10038368450037524
ACH-000128,-0.15962208699556998
ACH-000132,-0.06850879413171204
ACH-000133,-0.0963210249119498
ACH-000137,-0.09657106258099696
ACH-000138,-0.05209613733256635
ACH-000142,-0.2797463768475391
ACH-000143,-0.04442480879116936
ACH-000146,-0.08610286877152175
ACH-000148,-0.2043100350523436
ACH-000150,0.012164940642449206
ACH-000152,-0.08760043636861639
ACH-000153,-0.3135072442587595
ACH-000159,-0.09752966516230473
ACH-000160,-0.17459395355672333
ACH-000163,-0.0959185761713257
ACH-000167,-0.17132559562932834
ACH-000168,-0.2661098890029272
ACH-000169,-0.15227373874574232
ACH-000178,-0.040206173295939764
ACH-000183,-0.04860040258395038
ACH-000188,-0.04593099694327756
ACH-000189,-0.02673338515654182
ACH-000190,-0.101223373696958
ACH-000198,-0.18834401929380434
ACH-000203,-0.2504147456298197
ACH-000204,-0.2697452587465594
ACH-000206,-0.15598210183191452
ACH-000207,-0.04367011284087058
ACH-000208,-0.11628346700930155
ACH-000210,-0.04575643159110676
ACH-000211,-0.12438386304519572
ACH-000215,-0.09910551988671254
ACH-000221,-0.20265408569595572
ACH-000222,-0.1790980663041314
ACH-000223,-0.23575558362717666
ACH-000226,-0.11718026850035923
ACH-000227,-0.20912790784099727
ACH-000228,-0.115086277509482
ACH-000231,-0.21228593829234474
ACH-000232,-0.14701946706605076
ACH-000233,-0.11313763561774592
ACH-000234,-0.15681749742710488
ACH-000235,-0.10224686161924396
ACH-000237,-0.12303449772278452
ACH-000238,-0.2329537278489117
ACH-000242,-0.07742798853475756
ACH-000243,-0.055909236207662236
ACH-000244,-0.2777094840727864
ACH-000246,-0.18616458093539548
ACH-000248,-0.35594594958211423
ACH-000250,0.04190165939073669
ACH-000251,0.08220423585697287
ACH-000252,0.2215580484948747
ACH-000253,-0.1785717833801525
ACH-000255,-0.14607936499803315
ACH-000256,-0.029458346585022988
ACH-000257,-0.046784259929640234
ACH-000258,-0.18321093165830413
ACH-000259,-0.0982218726326467
ACH-000260,-0.08545983915592005
ACH-000261,-0.08632301618748298
ACH-000262,-0.03505884643216114
ACH-000263,-0.12812299459652965
ACH-000264,-0.1440709866361443
ACH-000265,0.06690856276933092
ACH-000266,-0.17516079104050086
ACH-000272,-0.09657812361177516
ACH-000274,-0.22069138129612892
ACH-000277,-0.29529824023358203
ACH-000278,-0.15760775717089825
ACH-000279,-0.16293311315930584
ACH-000280,-0.07074507501833825
ACH-000281,0.01148033588409597
ACH-000288,-0.16848809398208373
ACH-000291,-0.03064299981169458
ACH-000293,-0.12861644809765746
ACH-000294,-0.13759833460074006
ACH-000295,-0.19367425561275747
ACH-000296,0.12203014217273045
ACH-000302,-0.1477670322471426
ACH-000304,-0.5482058759429633
ACH-000307,-0.07796077519966423
ACH-000308,-0.17538488955587989
ACH-000310,-0.11174656494394064
ACH-000311,-0.07022745220328712
ACH-000312,-0.08253636130743355
ACH-000315,-0.16116885316910676
ACH-000316,-0.14715999426656412
ACH-000317,-0.10381040593483283
ACH-000318,-0.2040935716996585
ACH-000319,0.008131285648888023
ACH-000320,-0.2584731185875541
ACH-000322,-0.07779850646350131
ACH-000323,-0.027807214130847538
ACH-000324,-0.18230356151589847
ACH-000329,-0.11675684134394748
ACH-000330,-0.15620618720456894
ACH-000331,-0.1893645204319812
ACH-000332,-0.09064521569663217
ACH-000334,-0.09046931554438456
ACH-000335,-0.033227634741985944
ACH-000336,-0.12578357578155386
ACH-000337,-0.2361710649024024
ACH-000338,0.010264961716191371
ACH-000339,-0.17147092718467938
ACH-000341,-0.00046116152128701526
ACH-000348,-0.055688716404741316
ACH-000350,0.01846018530323252
ACH-000352,-0.17669574848425632
ACH-000356,-0.25697727473855925
ACH-000361,-0.2092760602531667
ACH-000362,-0.055536316870301236
ACH-000363,-0.06693067595277957
ACH-000364,-0.1383972003677655
ACH-000365,-0.18225117096763208
ACH-000366,-0.1467371736983045
ACH-000368,-0.3024346487534194
ACH-000374,-0.10652243926163907
ACH-000375,-0.22121903572839025
ACH-000376,-0.08443004020904514
ACH-000381,-0.049522576182920816
ACH-000383,-0.14379157340314264
ACH-000387,-0.2000301190998715
ACH-000389,-0.0029215752276661533
ACH-000390,-0.12449395828474435
ACH-000393,-0.10746228635362462
ACH-000395,-0.07872247913467674
ACH-000396,-0.08905659189917328
ACH-000397,0.029636640676473976
ACH-000401,-0.17886050674779813
ACH-000402,-0.3903084351188186
ACH-000403,-0.17096143064714053
ACH-000404,-0.19154077352803586
ACH-000406,-0.1621525186901452
ACH-000407,-0.10076590503696756
ACH-000408,0.021589320210438016
ACH-000410,0.010715888632980052
ACH-000411,-0.12952786469707064
ACH-000414,-0.0824067819432309
ACH-000415,-0.22215565539374246
ACH-000416,-0.05786092824412991
ACH-000420,-0.13595301542782778
ACH-000421,-0.14269540338556466
ACH-000424,-0.2445516429331353
ACH-000425,-0.3002531193790137
ACH-000426,-0.026042681151281128
ACH-000427,-0.1753832613039302
ACH-000433,-0.013872621064765023
ACH-000435,0.1982486373499837
ACH-000436,-0.08398154345657761
ACH-000444,-0.2114023309829405
ACH-000445,-0.1809259172922887
ACH-000448,-0.10551569623225006
ACH-000450,-0.2849297513106854
ACH-000452,-0.2066998082848165
ACH-000454,0.05971221524078781
ACH-000458,-0.04679298592461712
ACH-000459,-0.1878327395530814
ACH-000460,-0.047732022795296224
ACH-000461,-0.08514921485130983
ACH-000463,-0.1784978854268459
ACH-000464,-0.1082807497629414
ACH-000466,-0.17379114114877786
ACH-000467,-0.06663104189892828
