,MYL12B (103910)
ACH-000004,-0.011920893188554998
ACH-000005,-0.3813656018386844
ACH-000007,-0.15862236857855425
ACH-000009,-0.023784399907185186
ACH-000011,-0.03599020414727069
ACH-000012,-0.4481518930732147
ACH-000013,-0.11574387789007345
ACH-000014,-0.008022160959596259
ACH-000015,0.19221971893167894
ACH-000017,-0.18331708795678128
ACH-000018,-0.040047122533467164
ACH-000019,-0.024815794507850583
ACH-000021,0.018112604684119092
ACH-000022,-0.21725641925646924
ACH-000025,-0.2181139014013199
ACH-000028,0.013125640852177248
ACH-000030,-0.16742999475480266
ACH-000035,-0.03137381265151811
ACH-000036,-0.2603841584104967
ACH-000037,-0.15852709724617947
ACH-000039,-0.2030149555135784
ACH-000040,-0.695356304481429
ACH-000041,0.006360920051534832
ACH-000042,-0.176017672026599
ACH-000045,-0.06345033960754068
ACH-000047,-0.007086769273456479
ACH-000052,-0.2681213217525999
ACH-000053,-0.0775489387698772
ACH-000054,0.15104621140487445
ACH-000055,-0.1004810412881436
ACH-000060,0.020806138803875936
ACH-000067,0.10719018902757572
ACH-000070,-0.12363307693967925
ACH-000075,0.03249701343841264
ACH-000078,-0.06787642065129383
ACH-000082,-0.05439142389505111
ACH-000085,-0.0752823829398408
ACH-000086,-0.06083959183645635
ACH-000087,-0.11675629893775025
ACH-000092,-0.048968453977780296
ACH-000095,-0.021050384659184445
ACH-000097,-0.09810145440847996
ACH-000098,0.06394150353301661
ACH-000099,-0.11016298326348152
ACH-000108,-0.3093625861817211
ACH-000113,-0.00959499849431531
ACH-000116,-0.07247523213104368
ACH-000118,-0.09479035799739192
ACH-000120,-0.16103808667992447
ACH-000123,-0.04492142306108505
ACH-000127,0.10209564310272827
ACH-000128,0.0067960419265873494
ACH-000132,-0.02652980683405257
ACH-000133,-0.10597307627848722
ACH-000137,-0.1314735679685996
ACH-000138,-0.16824351431629267
ACH-000142,-0.12222153179792501
ACH-000143,-0.10856838366594304
ACH-000146,-0.08099365494546831
ACH-000148,0.002356874513430622
ACH-000150,-0.23366728741354545
ACH-000152,0.1321966990741138
ACH-000153,0.035944013003294015
ACH-000159,0.06976368060215819
ACH-000160,-0.05089451844642475
ACH-000163,-0.18984372191540885
ACH-000167,0.03779762628293582
ACH-000168,-0.030374556707383232
ACH-000169,-0.2238168460051069
ACH-000178,-0.11325489906307502
ACH-000183,-0.2589530619815445
ACH-000188,-0.1879984221985664
ACH-000189,-0.13531682547046076
ACH-000190,-0.30728664284701657
ACH-000198,0.08325031237183375
ACH-000203,0.13550361483102522
ACH-000204,-0.2001479346038028
ACH-000206,-0.3163244833633916
ACH-000207,-0.11409028959873115
ACH-000208,0.046960893008638975
ACH-000210,0.002565161380281601
ACH-000211,0.026317016058011032
ACH-000215,-0.3847115577624831
ACH-000221,-0.3819290419237283
ACH-000222,-0.06954980539943148
ACH-000223,-0.06584676015009608
ACH-000226,-0.14385779058925818
ACH-000227,-0.08787285704661467
ACH-000228,-0.2385321751463161
ACH-000231,-0.03599334732034151
ACH-000232,-0.09179459246722492
ACH-000233,-0.20753819062150808
ACH-000234,-0.010694684882742816
ACH-000235,-0.0968504040794883
ACH-000237,-0.2474536892075507
ACH-000238,-0.3669299593667599
ACH-000242,-0.1452637825958744
ACH-000243,-0.08733963064259669
ACH-000244,-0.2006485715487644
ACH-000246,0.011793935890252771
ACH-000248,-0.10498059081924987
ACH-000250,-0.1391018634180126
ACH-000251,-0.396497862991387
ACH-000252,-0.19237631788473955
ACH-000253,-0.18895919771651706
ACH-000255,-0.13640717164506402
ACH-000256,-0.00734209895848625
ACH-000257,-0.020374287955746983
ACH-000258,-0.04591094736567435
ACH-000259,-0.17841159021255878
ACH-000260,-0.17141105572250534
ACH-000261,-0.0027480857478057
ACH-000262,0.12369091108018675
ACH-000263,-0.2579273051243066
ACH-000264,-0.10400759427353648
ACH-000265,-0.0443202836764089
ACH-000266,-0.06812040294154757
ACH-000272,0.04166866069516959
ACH-000274,-0.2030043551341668
ACH-000277,0.01949065637032157
ACH-000278,-0.11072303229480616
ACH-000279,0.015165078561638566
ACH-000280,-0.03047612200081565
ACH-000281,-0.1161733205637202
ACH-000288,-0.10430283584311044
ACH-000291,-0.10913831284139462
ACH-000293,-0.05911472638340426
ACH-000294,-0.02085213931318357
ACH-000295,-0.2556706985341277
ACH-000296,-0.1786243561390452
ACH-000302,-0.024788111997484142
ACH-000304,-0.04955993266677998
ACH-000307,-0.04556616265787907
ACH-000308,0.07835373946399944
ACH-000310,-0.06217529955422006
ACH-000311,-0.13790460067824875
ACH-000312,-0.18946108885270413
ACH-000315,-0.2340046165488452
ACH-000316,-0.2223679277459304
ACH-000317,0.023249216769396917
ACH-000318,-0.2939211949254701
ACH-000319,0.002001354093073589
ACH-000320,-0.12262119250129845
ACH-000322,-0.1296606144094774
ACH-000323,0.12466763474212715
ACH-000324,-0.1388399305230706
