,OR10AD1 (121275)
ACH-000004,0.10423554707954197
ACH-000005,-0.07296458010249877
ACH-000007,0.04823188515064995
ACH-000009,-0.05167277955564786
ACH-000011,-0.00936257258994979
ACH-000012,-0.002312890157178569
ACH-000013,-0.1232433014705377
ACH-000014,-0.08931353281517904
ACH-000015,-0.11173438876938248
ACH-000017,0.04955763085422453
ACH-000018,-0.2577052670486586
ACH-000019,-0.17707049439763234
ACH-000021,0.11434734260906032
ACH-000022,0.010865997139489384
ACH-000025,-0.07897875764209386
ACH-000028,-0.27996540319627644
ACH-000030,-0.017884446126847194
ACH-000035,-0.04022004414111149
ACH-000036,0.02565154373934794
ACH-000037,-0.16022659892550778
ACH-000039,-0.16423027237527033
ACH-000040,-0.02794067492930848
ACH-000041,-0.310086632009995
ACH-000042,0.0650768703941801
ACH-000045,0.20578967590656824
ACH-000047,0.08883362602716363
ACH-000052,-0.098781700776916
ACH-000053,0.04690473049688457
ACH-000054,0.02278071500153686
ACH-000055,0.2273969746364017
ACH-000060,0.08945039152656192
ACH-000067,-0.2515396735644785
ACH-000070,-0.07810343022031496
ACH-000075,-0.1868899713822076
ACH-000078,0.12213694908637165
ACH-000082,-0.06709398438040888
ACH-000085,-0.03188850106940047
ACH-000086,-0.06603983303549034
ACH-000087,-0.20208047347732536
ACH-000092,-0.04665205044506821
ACH-000095,0.1021378131591397
ACH-000097,-0.07068687899098137
ACH-000098,0.16049698382435135
ACH-000099,0.051035014997697255
ACH-000108,0.048141826332825835
ACH-000113,0.029009086397852518
ACH-000116,0.04312366177666279
ACH-000118,-0.044915674802373615
ACH-000120,0.05097350105591757
ACH-000123,-0.10146066120466044
ACH-000127,-0.01508839666917414
ACH-000128,-0.15761254536450614
ACH-000132,0.21448642376172655
ACH-000133,-0.129069764471559
ACH-000137,-0.09926949734161522
ACH-000138,-0.060095251007525184
ACH-000142,0.09021011838062903
ACH-000143,-0.0002970076131252703
ACH-000146,0.031213540484156744
ACH-000148,-0.013207148548941698
ACH-000150,-0.0693829306414225
ACH-000152,-0.1312249257060262
ACH-000153,-0.14806975175776402
ACH-000159,-0.04251362762720783
ACH-000160,0.0009744529112056012
ACH-000163,0.03620126041430979
ACH-000167,0.06471457313955732
ACH-000168,-0.004711961736932271
ACH-000169,-0.018724316012883692
ACH-000178,0.03278478654711688
ACH-000183,-0.020005809603746948
ACH-000188,0.04220516758955798
ACH-000189,-0.13493130897972755
ACH-000190,-0.06504804409359717
ACH-000198,0.00010422556585445911
ACH-000203,-0.11677688605044878
ACH-000204,0.004620559753260637
ACH-000206,0.024580293220346067
ACH-000207,0.030369557377341087
ACH-000208,-0.08770701753078343
ACH-000210,0.21146283724353726
ACH-000211,-0.07251185441332204
ACH-000215,-0.026148103962455142
ACH-000221,-0.033489818523758534
ACH-000222,0.07822913226071501
ACH-000223,-0.03819541988345679
ACH-000226,-0.0695266730005788
ACH-000227,0.013181108802855874
ACH-000228,0.009399317034235627
ACH-000231,-0.10806108761319898
ACH-000232,-0.0455559978971089
ACH-000233,0.1790412218456155
ACH-000234,-0.04960768670308836
ACH-000235,-0.012283254540927905
ACH-000237,0.08104239472126658
ACH-000238,-0.035931377830830225
ACH-000242,-0.4315736621924482
ACH-000243,-0.03369360739941007
ACH-000244,-0.03750049578786319
ACH-000246,-0.08024272448111995
ACH-000248,-0.1285808267202167
ACH-000250,0.08584820592675764
ACH-000251,-0.1510989775322887
ACH-000252,0.26784211027015714
ACH-000253,0.08450511415176057
ACH-000255,-0.048067552987422116
ACH-000256,-0.012356901047977072
ACH-000257,0.11699450365720418
ACH-000258,0.031790500991050304
ACH-000259,-0.03370461044817411
ACH-000260,-0.024205819635812927
ACH-000261,-0.05732752599553305
ACH-000262,-0.13938032591069133
ACH-000263,-0.054406483602499486
ACH-000264,-0.07583250135421148
ACH-000265,-0.004112467698467443
ACH-000266,-0.025749066177140442
ACH-000272,0.004217492367775907
ACH-000274,0.025712453409341314
ACH-000277,-0.07286028931044168
ACH-000278,-0.12466134797804558
ACH-000279,0.013543615065316848
ACH-000280,0.02671674207705493
ACH-000281,0.0023633271281934755
ACH-000288,-0.05488198223141677
ACH-000291,-0.07079467375112887
ACH-000293,0.007722696838350852
ACH-000294,-0.013182238823664616
ACH-000295,-0.04757613565217385
ACH-000296,-0.2857806055102005
ACH-000302,0.009184961058843049
ACH-000304,0.04660178179900072
ACH-000307,0.10008042882385304
ACH-000308,0.02743638863326133
ACH-000310,0.08285956882520326
ACH-000311,-0.0435491899937974
ACH-000312,0.10150412435239324
ACH-000315,0.0318645417027283
ACH-000316,0.09882258439148107
ACH-000317,-0.007339754303252358
ACH-000318,0.12029001643403475
ACH-000319,0.02874493707316348
ACH-000320,0.003247553497576142
ACH-000322,0.040193883563194914
ACH-000323,0.054914897205939305
ACH-000324,0.01777107397613547
ACH-000329,-0.0018305687569621907
ACH-000330,0.13307169522272705
ACH-000331,-0.015822464021958662
ACH-000332,0.03719526374932521
ACH-000334,-0.009394920897893498
ACH-000335,-0.1522907493510996
ACH-000336,-0.11793196730766027
ACH-000337,-0.18181648436344836
ACH-000338,0.1819062296705611
ACH-000339,-0.04107949300278358
ACH-000341,0.04450023025934091
ACH-000348,-0.15537746582038045
ACH-000350,-0.14553154682136996
ACH-000352,-0.06090837684196556
ACH-000356,-0.15647823214025858
ACH-000361,-0.2061678156028767
ACH-000362,0.003831604983644328
ACH-000363,-0.022900244128273427
ACH-000364,0.01673852733001256
ACH-000365,-0.03127342010185778
ACH-000366,0.042777768147956835
ACH-000368,-0.11400011814816985
ACH-000374,-0.1372795619870442
ACH-000375,-0.14806016395928426
ACH-000376,0.02520875687672333
ACH-000381,0.06399312516824583
