,ISL1 (3670)
ACH-000004,0.015984258045845114
ACH-000005,0.15861100113941598
ACH-000007,0.0973393751511927
ACH-000009,0.010720083181057155
ACH-000011,-0.08723019710149006
ACH-000012,-0.02398209911586633
ACH-000013,0.05025132125779985
ACH-000014,-0.15662246802270793
ACH-000015,-0.5474630421105665
ACH-000017,-0.038251633164949
ACH-000018,-0.09094666899864977
ACH-000019,0.10715684062751618
ACH-000021,-0.15187854550035615
ACH-000022,0.01905012789639152
ACH-000025,0.1039046758891958
ACH-000028,0.09536832656520436
ACH-000030,-0.012985680352961071
ACH-000035,-0.0010719529461717396
ACH-000036,0.008197870467871649
ACH-000037,-0.17466179661850315
ACH-000039,0.18402579596340185
ACH-000040,-0.00380099122162255
ACH-000041,0.025149175450708217
ACH-000042,-0.021564943228544447
ACH-000045,0.024072077010639254
ACH-000047,-0.13080517114504664
ACH-000052,-0.07339426944378596
ACH-000053,-0.017847464857973845
ACH-000054,-0.10344251773329384
ACH-000055,0.4945096016661616
ACH-000060,-0.09757718131379113
ACH-000067,0.08252653024696419
ACH-000070,0.2343815120508409
ACH-000075,0.07907466242309727
ACH-000078,-0.7597050484032539
ACH-000082,-0.16375124711589673
ACH-000085,-0.27024659166208265
ACH-000086,0.01965183183616981
ACH-000087,0.05651071225910442
ACH-000092,-0.021827050839387442
ACH-000095,-0.01216768645911394
ACH-000097,0.0935725373497079
ACH-000098,-0.1053274641461251
ACH-000099,-0.7805474349036732
ACH-000108,-0.009289128833006595
ACH-000113,0.0949448233505683
ACH-000116,0.07103654922696705
ACH-000118,0.00013764580081594032
ACH-000120,-0.3715869167510425
ACH-000123,0.1014585895767086
ACH-000127,0.039912351787696095
ACH-000128,0.09083188596949444
ACH-000132,-0.037740826005575545
ACH-000133,0.06837152387656648
ACH-000137,-0.08458567053717182
ACH-000138,0.13185171078546154
ACH-000142,-0.012001314020428292
ACH-000143,-0.03800473665877778
ACH-000146,0.06153864467746501
ACH-000148,0.04400868495137412
ACH-000150,0.012529592260108607
ACH-000152,0.08643312665524806
ACH-000153,-0.04565368507875873
ACH-000159,-0.08630063159361721
ACH-000160,0.11619471541780525
ACH-000163,-0.16496941124351808
ACH-000167,0.024593572120437817
ACH-000168,0.16974426957420155
ACH-000169,-0.013671461075015124
ACH-000178,0.0858373797221079
ACH-000183,-0.10522016000321524
