,RPE65 (6121)
ACH-000004,-0.25906861080748106
ACH-000005,-0.08052883814733723
ACH-000007,-0.29790734944542097
ACH-000009,-0.3355358250188211
ACH-000011,-0.27882390272375684
ACH-000012,-0.16334393979340278
ACH-000013,-0.3157148193806074
ACH-000014,-0.23709347732488345
ACH-000015,-0.2428862702063609
ACH-000017,-0.23666887404167194
ACH-000018,-0.13441733905766967
ACH-000019,-0.324178194242303
ACH-000021,-0.3835311808805565
ACH-000022,-0.18417581832879515
ACH-000025,-0.3638697878165211
ACH-000028,-0.21872065347859326
ACH-000030,-0.2349730692419771
ACH-000035,-0.22437050554488575
ACH-000036,-0.2556842753657701
ACH-000037,-0.1672559839652241
ACH-000039,-0.3228287088168809
ACH-000040,-0.350974163704209
ACH-000041,-0.3353562678501543
ACH-000042,-0.07899319592481213
ACH-000045,-0.17315745412944009
ACH-000047,-0.220408867756594
ACH-000052,-0.2539096318165223
ACH-000053,-0.2404087681683757
ACH-000054,-0.2535480229744922
ACH-000055,-0.2921544162425509
ACH-000060,-0.24383764649102785
ACH-000067,-0.1908370102913811
ACH-000070,-0.39691779534566507
ACH-000075,-0.3414102262521125
ACH-000078,-0.3341492855942687
ACH-000082,-0.2019235818031364
ACH-000085,-0.3160246431582398
ACH-000086,-0.1474380481086062
ACH-000087,-0.3994187415159389
ACH-000092,-0.3634197104704831
ACH-000095,-0.27973987123554755
ACH-000097,-0.1883588942524842
ACH-000098,-0.39881237629816174
ACH-000099,-0.28071358408623626
ACH-000108,-0.19508618390939467
ACH-000113,-0.2670441451057937
ACH-000116,-0.2583376974539819
ACH-000118,-0.2703640555532361
ACH-000120,-0.2446712179101863
ACH-000123,-0.2915585973793756
ACH-000127,-0.2474389207357537
ACH-000128,-0.313257317486907
ACH-000132,-0.4130243441620023
ACH-000133,-0.31576793043651674
ACH-000137,-0.257651465083984
ACH-000138,-0.21972953133070192
ACH-000142,-0.1359146684599443
ACH-000143,-0.4182085847324704
ACH-000146,-0.20866060731443792
ACH-000148,-0.1349956832144766
ACH-000150,-0.30671060545130363
ACH-000152,-0.30419245919557264
ACH-000153,-0.2615461126738561
ACH-000159,-0.16697298948382616
ACH-000160,-0.0013436663835463632
ACH-000163,-0.29297435455806004
ACH-000167,0.2341611219976077
ACH-000168,-0.36492742099957415
ACH-000169,-0.2393062574114996
ACH-000178,-0.27120808086049697
ACH-000183,-0.05978856004184197
ACH-000188,-0.18968407414564853
ACH-000189,-0.08691849774141808
ACH-000190,0.088306977018968
ACH-000198,-0.3245605987319485
ACH-000203,-0.029422898007395323
