,TOX (9760)
ACH-000004,-0.0740629346826924
ACH-000005,0.08484966451348411
ACH-000007,0.03510844223393636
ACH-000009,-0.010786226743096618
ACH-000011,0.05892718460187006
ACH-000012,-0.16495157575128735
ACH-000013,-0.02458979220276036
ACH-000014,-0.08721714680795445
ACH-000015,0.06485302680710613
ACH-000017,-0.1994333055422558
ACH-000018,-0.1379358651673896
ACH-000019,0.06407237824395519
ACH-000021,0.043804842284633265
ACH-000022,-0.09173886065791677
ACH-000025,-0.2005921623897846
ACH-000028,-0.023610513919876477
ACH-000030,-0.00901484300577645
ACH-000035,-0.10724526687276192
ACH-000036,-0.013171814768846386
ACH-000037,-0.08310546515184376
ACH-000039,0.029730908754367336
ACH-000040,0.023175778959375254
ACH-000041,-0.17081682769706866
ACH-000042,-0.030080833081265232
ACH-000045,-0.09314421802022864
ACH-000047,0.04669516074515285
ACH-000052,-0.0006048924744217462
ACH-000053,-0.06417695956913294
ACH-000054,-0.1146243104018366
ACH-000055,0.037423725472355764
ACH-000060,-0.1438963570649418
ACH-000067,0.024892189728705518
ACH-000070,-0.1823074489567533
ACH-000075,-0.2411714771167318
ACH-000078,-0.17361361657820235
ACH-000082,0.07602119838390872
ACH-000085,-0.04297297688344679
ACH-000086,0.05264273844554659
ACH-000087,-0.11424253773244902
ACH-000092,-0.0030027812311205914
ACH-000095,0.09322319613934422
ACH-000097,-0.032352706720862635
ACH-000098,0.06255087012177307
ACH-000099,-0.07984883803738703
ACH-000108,0.050407190867411175
ACH-000113,-0.09081763887268657
ACH-000116,-0.039459445900677785
ACH-000118,0.0826364542026387
ACH-000120,-0.21739040504450635
ACH-000123,-0.07897396517162565
ACH-000127,-0.0018137564744646554
ACH-000128,-0.022860938700421232
ACH-000132,0.099141303260118
ACH-000133,-0.14350539933476594
ACH-000137,0.047626965578979004
ACH-000138,0.09251337583934054
ACH-000142,0.036759096026967315
ACH-000143,0.0121188617024308
ACH-000146,-0.0025123095838127693
ACH-000148,-0.033514529813796406
ACH-000150,-0.19154229152158148
ACH-000152,-0.02341523414722936
ACH-000153,-0.15869363018019544
ACH-000159,0.026018439690686138
ACH-000160,0.10860507084952714
ACH-000163,-0.09376003696275093
ACH-000167,0.7583115482355036
ACH-000168,-0.1869456366752589
ACH-000169,0.05550591517512845
ACH-000178,-0.053099743203571415
ACH-000183,-0.04701232378626103
ACH-000188,0.034671976965394896
ACH-000189,0.0985274697647923
ACH-000190,0.017083931586060908
ACH-000198,-0.09467935311792214
