,MAPT (4137)
ACH-000004,-0.019767925030058763
ACH-000005,-0.207017554313808
ACH-000007,-0.0968228918885141
ACH-000009,-0.32653490760815884
ACH-000011,0.042756131457676184
ACH-000012,-0.2818086257687695
ACH-000013,-0.12487787770206145
ACH-000014,-0.10122187524745953
ACH-000015,-0.0759726845506045
ACH-000017,-0.064933288149229
ACH-000018,-0.035349968010053266
ACH-000019,-0.06294737838054701
ACH-000021,-0.07320993464774207
ACH-000022,-0.1371117601742328
ACH-000025,-0.024513336226285137
ACH-000028,-0.09039752137238108
ACH-000030,-0.2598353034069375
ACH-000035,-0.1799513507128694
ACH-000036,-0.1471741081318182
ACH-000037,-0.0014933664939683507
ACH-000039,-0.12183418964488155
ACH-000040,-0.04033714643863246
ACH-000041,-0.15098989573357696
ACH-000042,-0.24069429722254784
ACH-000045,-0.07901131501441386
ACH-000047,-0.2530328039753664
ACH-000052,-0.07828787093219508
ACH-000053,-0.12284209163116608
ACH-000054,-0.204621789709232
ACH-000055,-0.2488715796097101
ACH-000060,-0.10867652864327336
ACH-000067,-0.2454896327406642
ACH-000070,-0.29244105127993386
ACH-000075,0.04109804431724953
ACH-000078,-0.08809771078246216
ACH-000082,-0.003271800584640355
ACH-000085,0.12973847475846026
ACH-000086,-0.10570768607692532
ACH-000087,-0.3678723097358977
ACH-000092,-0.010859988702386652
ACH-000095,-0.12717136351239658
ACH-000097,-0.14513221020020348
ACH-000098,-0.12175372876446255
ACH-000099,-0.16072793402717164
ACH-000108,-0.03979345623458417
ACH-000113,-0.17578662738944262
ACH-000116,-0.2652124829963611
ACH-000118,-0.1896091960480888
ACH-000120,-0.08100111701907096
ACH-000123,-0.2418000236392462
ACH-000127,-0.02362078974701176
ACH-000128,-0.08362072881862707
ACH-000132,0.003730316203923387
ACH-000133,-0.218677531333162
ACH-000137,-0.17802429490013974
ACH-000138,-0.10686573019039887
ACH-000142,-0.28926827939660543
ACH-000143,-0.113596806560574
ACH-000146,-0.04401774829850248
ACH-000148,-0.08900815046215471
ACH-000150,-0.1024576976947933
ACH-000152,-0.18123539505394634
ACH-000153,-0.2000297189858116
ACH-000159,-0.1344526951518464
ACH-000160,-0.10396973446396933
ACH-000163,-0.24335422590216296
ACH-000167,0.15785219419360294
ACH-000168,-0.2285063535680612
ACH-000169,0.011601241938497715
ACH-000178,0.039652949432648785
ACH-000183,-0.16444458244535856
ACH-000188,-0.0998636921094877
ACH-000189,-0.029615309755185344
ACH-000190,-0.12342326398720807
ACH-000198,0.025096294030428887
ACH-000203,0.09736833641800643
ACH-000204,-0.1379991809067588
ACH-000206,-0.03240151419720076
ACH-000207,-0.0959828894123188
ACH-000208,-0.0430368111317609
ACH-000210,-0.31699392647943075
ACH-000211,-0.10373421220525206
ACH-000215,-0.13207742515556795
ACH-000221,-0.1466897609611342
ACH-000222,-0.0974203340025918
ACH-000223,-0.02416665694749823
ACH-000226,0.015007420302569885
ACH-000227,-0.005842635181906182
ACH-000228,-0.02080709652476355
ACH-000231,-0.09966696370604668
ACH-000232,-0.01671365533707536
ACH-000233,-0.11954581078740475
ACH-000234,-0.05885248538781032
ACH-000235,-0.08988974463770434
ACH-000237,-0.12420622793941664
ACH-000238,-0.3352230007456648
ACH-000242,-0.05193852276382351
ACH-000243,-0.20869407451435795
ACH-000244,-0.050498385438494525
ACH-000246,0.03431687248455032
ACH-000248,-0.1881836990500568
ACH-000250,-0.17833595366614854
ACH-000251,-0.22318776749681046
ACH-000252,-0.2449442863210739
ACH-000253,-0.18895087979356848
ACH-000255,-0.16655793255553294
ACH-000256,-0.3330870579988991
ACH-000257,-0.10267048316879923
ACH-000258,0.1319658567238771
ACH-000259,-0.19266815497287906
ACH-000260,-0.08477341416796208
ACH-000261,-0.05818491317134523
ACH-000262,-0.23375990060674495
ACH-000263,-0.04918785398243936
ACH-000264,-0.08816691642035923
ACH-000265,-0.12464551500735155
ACH-000266,-0.06464278605246249
ACH-000272,-0.1409837709182288
ACH-000274,-0.11702269246237006
ACH-000277,-0.059010892363072186
ACH-000278,-0.1323193252106315
ACH-000279,-0.16690527986461945
ACH-000280,-0.12232097978940575
ACH-000281,-0.10067596761950308
ACH-000288,-0.2732081681788711
ACH-000291,-0.1132970542046424
ACH-000293,-0.22409058502836302
ACH-000294,-0.2032209065204706
ACH-000295,-0.19160638193598445
ACH-000296,-0.3763357631618355
ACH-000302,-0.08244167059964759
ACH-000304,-0.032361039262238864
ACH-000307,-0.1917224910870184
ACH-000308,-0.20751091432557328
ACH-000310,-0.07927372589384367
ACH-000311,-0.032493455973000136
ACH-000312,-0.06779880037770604
ACH-000315,-0.1822805601455877
ACH-000316,-0.19168653730243787
ACH-000317,-0.05197619026063455
ACH-000318,0.011031554025278095
ACH-000319,-0.10077426702604496
ACH-000320,-0.013295066585583614
ACH-000322,-0.11479082483524422
ACH-000323,-0.1890954216963852
ACH-000324,-0.027006595557830283
ACH-000329,-0.0933924327040921
ACH-000330,-0.08127845749683985
ACH-000331,-0.03294731387520912
ACH-000332,-0.06695899050917926
ACH-000334,-0.2388522324178141
ACH-000335,-0.19276766696093967
ACH-000336,-0.16801515501691416
ACH-000337,-0.25841881140919604
ACH-000338,-0.22505654864926905
ACH-000339,-0.10086005403713064
ACH-000341,-0.013146145499801988
ACH-000348,-0.0808132506710969
ACH-000350,-0.051919521779987904
ACH-000352,-0.06977955121201355
ACH-000356,-0.4217833161541989
ACH-000361,-0.13597319248412573
ACH-000362,-0.05158883599869951
ACH-000363,-0.04571853753480669
ACH-000364,-0.18357220532946986
ACH-000365,-0.12344806226298635
ACH-000366,-0.040518281817000235
ACH-000368,0.009264443869612641
ACH-000374,-0.15915676871090462
ACH-000375,-0.257340245761048
ACH-000376,-0.0858629047198209
ACH-000381,-0.146267928784707
ACH-000383,-0.11381914019899085
ACH-000387,-0.15164546885391098
ACH-000389,-0.35718477843517515
ACH-000390,-0.0955973466246639
ACH-000393,-0.08216331099803605
ACH-000395,-0.16810466650881267
ACH-000396,0.16543171619826216
ACH-000397,-0.3488615169299976
ACH-000401,-0.1198043894844574
ACH-000402,-0.4051735477615184
ACH-000403,-0.12966841598927278
ACH-000404,0.1636114917066714
ACH-000406,-0.1216864139579638
ACH-000407,-0.06240232124449325
ACH-000408,-0.1656018850129543
ACH-000410,-0.1001054101889766
ACH-000411,-0.057549679373306815
ACH-000414,-0.001959662396965943
ACH-000415,-0.34304192020744445
ACH-000416,-0.06720093148269886
ACH-000420,-0.2515565273308031
ACH-000421,-0.05421864020354196
ACH-000424,-0.2464861208519713
ACH-000425,-0.22318483544175904
ACH-000426,-0.021619113780502016
ACH-000427,-0.002125245894975244
ACH-000433,-0.4020587905477047
ACH-000435,-0.039933559784620015
ACH-000436,-0.07939080600265791
ACH-000444,-0.17026865654230172
ACH-000445,-0.1684312346897721
ACH-000448,-0.16424343094990254
ACH-000450,-0.3554054335620534
ACH-000452,-0.12230299513635448
ACH-000454,-0.2908567845834978
ACH-000458,-0.16927224956444606
ACH-000459,-0.14859744187357546
ACH-000460,-0.14444713338063686
ACH-000461,-0.09188003546589717
ACH-000463,-0.014225016268806285
ACH-000464,-0.1129907354978354
ACH-000466,-0.09994428106715596
ACH-000467,-0.1351123539230129
ACH-000468,-0.14806554125495774
ACH-000469,-0.16950528501653686
ACH-000470,0.015444625059141518
ACH-000471,-0.09401548664064023
ACH-000472,-0.021957714809296213
ACH-000473,-0.0004151688036933812
ACH-000475,-0.10584828665020472
ACH-000476,-0.2022818415124062
ACH-000477,-0.22392174129376605
ACH-000479,0.029798663254707574
ACH-000480,-0.08095938711727263
ACH-000481,-0.1057269935368206
ACH-000483,-0.1184588054425531
ACH-000484,-0.1993154423889313
ACH-000485,-0.25761829597401564
ACH-000486,-0.16381623616333205
ACH-000487,-0.026412840237980368
ACH-000488,-0.1383018184114632
ACH-000490,-0.16591992948029768
ACH-000491,-0.12416803374355515
ACH-000495,-0.08191516219411593
ACH-000496,-0.2918839045046333
ACH-000499,0.06615034728537339
ACH-000500,-0.3229442896759617
ACH-000502,-0.07877406024621555
ACH-000503,-0.16130841737149096
ACH-000505,-0.05072474945401997
ACH-000507,-0.2337553962818568
ACH-000510,-0.11551638179805915
ACH-000511,-0.0636893771492349
ACH-000512,-0.07509559761527293
ACH-000516,-0.19299261449910732
ACH-000517,0.003873856182765613
ACH-000518,-0.11015526068811518
ACH-000520,-0.1518068659573832
