,KDM2A (22992)
ACH-000004,-0.4512595024668208
ACH-000005,-0.3286368729172711
ACH-000007,-0.7266369112140774
ACH-000009,-0.487469077794091
ACH-000011,-0.9105434094775844
ACH-000012,-0.13524722918931525
ACH-000013,-1.0650614414036608
ACH-000014,-0.05183367730265749
ACH-000015,-0.7492589950336778
ACH-000017,-1.2104928094899159
ACH-000018,-0.5060627239010097
ACH-000019,-0.6120712588604638
ACH-000021,-0.4370238037692334
ACH-000022,-0.4274043819141397
ACH-000025,-0.8515977708938709
ACH-000028,-0.7016114975090645
ACH-000030,-0.8837195676839062
ACH-000035,-0.4030313888252231
ACH-000036,-0.3371910475315997
ACH-000037,-0.3644935734438897
ACH-000039,-0.68326615486933
ACH-000040,-0.5300337685465907
ACH-000041,-0.6572071016032505
ACH-000042,-0.6722222732182345
ACH-000045,-0.8532967469906383
ACH-000047,-0.430247395804528
ACH-000052,-0.6740943109701825
ACH-000053,-0.4949395578327776
ACH-000054,-0.1870879664993837
ACH-000055,-0.50297332226039
ACH-000060,-0.4311808463064286
ACH-000067,-0.4862576636958966
ACH-000070,-0.7222384067902737
ACH-000075,-0.4630809238142171
ACH-000078,-0.5967288488336946
ACH-000082,-0.3395710706569352
ACH-000085,-0.8275700606569605
ACH-000086,-0.24903866067096936
ACH-000087,-0.8002733395198491
ACH-000092,-0.9546379997297408
ACH-000095,-0.5328073900779021
ACH-000097,-1.0911373314881367
ACH-000098,-0.5426920688890593
ACH-000099,-0.5636414010653295
ACH-000108,-0.4792733794522548
ACH-000113,-0.7819764748804855
ACH-000116,-0.8604610117039585
ACH-000118,-0.6031614595754597
ACH-000120,-0.7574257787532314
ACH-000123,-0.7131733496313654
ACH-000127,-0.03557994554201485
ACH-000128,-0.5197472159008089
ACH-000132,-0.6481467206463175
ACH-000133,-0.6544333858080856
ACH-000137,-0.4089773390010275
ACH-000138,-0.4354873346786461
ACH-000142,-0.3966750699822434
ACH-000143,-0.8198666281669261
ACH-000146,-0.3098813754547323
ACH-000148,-0.5269360327487699
ACH-000150,-0.42212427956869547
ACH-000152,-0.3888032015616276
ACH-000153,-0.14833828185946674
ACH-000159,-0.2025505268235516
ACH-000160,-0.688344215065058
ACH-000163,-0.314800355063624
ACH-000167,0.17597956108763113
ACH-000168,-0.5329094745673061
ACH-000169,-0.4652344129066907
ACH-000178,-0.6310528941933128
ACH-000183,-0.6746174359156154
ACH-000188,-0.762626730881511
ACH-000189,-0.7342077142860214
ACH-000190,-0.03708448870436875
ACH-000198,-0.6557103853050575
ACH-000203,-0.8027030596816841
ACH-000204,-0.1131981843665202
ACH-000206,-0.35170215020356194
ACH-000207,-0.4823042922213394
ACH-000208,-0.4732912044743167
ACH-000210,-0.5808854119553503
ACH-000211,-1.0575689378663145
ACH-000215,-0.5498465294382348
ACH-000221,-0.7550113746437515
ACH-000222,-0.3343263510516004
ACH-000223,-0.4187790056476468
ACH-000226,-0.2898983169038169
ACH-000227,-0.44303274831658973
ACH-000228,-0.3568575460419767
ACH-000231,-0.4214504992619424
ACH-000232,-0.33426249031886
ACH-000233,-0.5236604843968532
ACH-000234,-0.4905890062320384
ACH-000235,-0.355890372119856
ACH-000237,-0.5588079585549699
ACH-000238,-0.6418160558640198
ACH-000242,-0.3251642876158155
ACH-000243,-0.4713910742224554
ACH-000244,-0.8804376127270285
ACH-000246,-0.645160105128196
ACH-000248,-0.8566261829754891
ACH-000250,-0.17419667444378115
ACH-000251,-0.7428047649673891
ACH-000252,-0.5755162969561259
ACH-000253,-0.4865362308380056
ACH-000255,-0.5126205047957918
ACH-000256,-0.6880002484527178
ACH-000257,-0.6655257932313496
ACH-000258,-0.6994991318446787
ACH-000259,-0.7906211676762923
ACH-000260,-0.6983088765674381
ACH-000261,-0.4809783621980863
ACH-000262,-0.8702980302488207
ACH-000263,-0.4836423904979289
ACH-000264,-0.4991373839629294
ACH-000265,-0.5117650636806667
ACH-000266,-0.4168479661176455
ACH-000272,-0.26485511356962943
ACH-000274,-0.16964554821135908
ACH-000277,-0.6754248589127231
ACH-000278,-0.3912281479516394
ACH-000279,-0.5848976982396892
ACH-000280,-0.8267110077743595
ACH-000281,-0.6757048340025777
ACH-000288,-0.4862788210263544
ACH-000291,-0.9152518360438676
ACH-000293,-0.7675793076971589
ACH-000294,-0.4304841469500611
ACH-000295,-0.901578002954092
ACH-000296,-0.989513729438096
ACH-000302,-0.6314127623159245
ACH-000304,-0.5434440414970644
ACH-000307,-0.4092971487183519
ACH-000308,-0.9346655028524088
ACH-000310,-0.40250851874470506
ACH-000311,-0.8921021701979809
ACH-000312,-0.5285375590824428
ACH-000315,-0.8508781809947341
ACH-000316,-0.7153560622376853
ACH-000317,-0.5633099416047886
ACH-000318,-0.6373637319876592
ACH-000319,-0.7779851921768764
ACH-000320,-0.2725842229162369
ACH-000322,-0.4680796715289786
ACH-000323,-0.31216700276363235
ACH-000324,-0.20755860153229974
ACH-000329,-0.21826684895588075
ACH-000330,-0.4673948650711282
ACH-000331,-0.6635796365651214
ACH-000332,-0.5617328465708467
ACH-000334,-0.7611008226955454
ACH-000335,-0.4061124602527657
ACH-000336,-0.4749428264513079
ACH-000337,-0.7041774013368571
ACH-000338,-0.7222096637381012
ACH-000339,-0.3186147485944957
ACH-000341,-0.23339858383704665
