,LRP1B (53353)
ACH-000004,-0.28829353052128137
ACH-000005,-0.3842589114163025
ACH-000007,-0.2363697824468964
ACH-000009,-0.18255798829247816
ACH-000011,-0.20957728858077998
ACH-000012,-0.2677393263300787
ACH-000013,-0.14069062558925394
ACH-000014,-0.1999582360110456
ACH-000015,-0.15356438984978404
ACH-000017,-0.11476008569615866
ACH-000018,-0.29920651761893285
ACH-000019,-0.34234666740992115
ACH-000021,-0.14056350078141785
ACH-000022,-0.2542281838214256
ACH-000025,-0.12802998469525514
ACH-000028,-0.2460327017519825
ACH-000030,-0.12729641513558798
ACH-000035,-0.1647270808278033
ACH-000036,-0.2072886247522764
ACH-000037,-0.6861653032330102
ACH-000039,-0.21178389739687026
ACH-000040,-0.2144455883011871
ACH-000041,-0.2551908843743265
ACH-000042,-0.15902118294013065
ACH-000045,0.004907677202521406
ACH-000047,-0.21644050886146515
ACH-000052,-0.3368550725913099
ACH-000053,-0.12674928685784972
ACH-000054,-0.2380707351284719
ACH-000055,-0.2299329934686521
ACH-000060,-0.2446628926317968
ACH-000067,-0.2955477492308786
ACH-000070,-0.3645920430399524
ACH-000075,-0.10287511063670578
ACH-000078,-0.2398011123708441
ACH-000082,-0.23070522439577976
ACH-000085,-0.13495511120912695
ACH-000086,-0.2534090061203776
ACH-000087,-0.1340696034327204
ACH-000092,-0.32588677904697866
ACH-000095,-0.36177692598561617
ACH-000097,-0.1603595533062133
ACH-000098,-0.3933458420072185
ACH-000099,-0.18804402754103933
ACH-000108,-0.052086633514783584
ACH-000113,-0.06208441622079739
ACH-000116,-0.32147242930959946
ACH-000118,-0.15936526503551535
ACH-000120,-0.33691457139869063
ACH-000123,-0.3233144619241386
ACH-000127,-0.19952847476608213
ACH-000128,-0.33279083061347026
ACH-000132,-0.3818540888094459
ACH-000133,-0.2302195888169701
ACH-000137,-0.2846243302268414
ACH-000138,-0.23787529150234216
ACH-000142,-0.2665238500862153
ACH-000143,-0.2464671326502712
ACH-000146,-0.1714061000175596
ACH-000148,-0.3692590315358298
ACH-000150,-0.12964881441008194
ACH-000152,-0.2537160912535043
ACH-000153,-0.39909394402338977
ACH-000159,-0.1924365971847242
ACH-000160,-0.4547534931476448
ACH-000163,-0.1099692371322176
ACH-000167,0.029569090511065814
ACH-000168,-0.30370045104092297
ACH-000169,-0.1390622330777766
ACH-000178,-0.03830185438169013
ACH-000183,-0.14273626387613134
ACH-000188,-0.2242371612195222
ACH-000189,-0.2533846069220749
ACH-000190,-0.3107788383750724
ACH-000198,-0.36404087783420014
ACH-000203,-0.32163671907379976
ACH-000204,-0.2331610367298051
ACH-000206,-0.22324477862335165
ACH-000207,0.050857722284862815
ACH-000208,-0.194614654845404
ACH-000210,-0.1306716345061261
ACH-000211,-0.10200852676888797
ACH-000215,-0.20610748806232426
ACH-000221,-0.18305820349432644
ACH-000222,-0.29589690121215656
ACH-000223,-0.3452679109762933
ACH-000226,-0.3467219540810265
ACH-000227,-0.1898510269764722
ACH-000228,-0.21572247480826892
ACH-000231,-0.17246153926745186
ACH-000232,-0.13823079981315867
ACH-000233,-0.15654584970436816
ACH-000234,-0.3085969851634374
ACH-000235,-0.17187124781031088
ACH-000237,-0.215674612770616
ACH-000238,-0.4063518666566384
ACH-000242,-0.2315895258607169
ACH-000243,-0.2117671934301723
ACH-000244,-0.3375903840997857
ACH-000246,-0.20053938856792305
ACH-000248,-0.18305825207882093
ACH-000250,-0.18900200135145048
ACH-000251,-0.4252107187458288
ACH-000252,0.1713628731057993
ACH-000253,-0.07015928350263527
ACH-000255,-0.16939419629447056
ACH-000256,-0.3228322390413449
ACH-000257,-0.006666094204497533
ACH-000258,-0.207027065398099
ACH-000259,-0.21737853464049509
ACH-000260,-0.2438290908796462
ACH-000261,-0.2698491277321183
ACH-000262,-0.19790253117068854
ACH-000263,-0.2663527570924958
ACH-000264,-0.15516573745289833
ACH-000265,-0.31966006397861857
ACH-000266,-0.17900705961552266
ACH-000272,-0.1606125354379477
ACH-000274,-0.24012168258779565
ACH-000277,-0.12668720515692758
ACH-000278,-0.264709986609773
ACH-000279,-0.3139225989999454
ACH-000280,-0.1558586803399919
ACH-000281,-0.0348745521126659
ACH-000288,-0.17414306104172111
ACH-000291,-0.12928325179795766
ACH-000293,-0.20004180675658365
ACH-000294,-0.2690481842134449
ACH-000295,-0.051607177384547
ACH-000296,-0.28016313308137314
ACH-000302,-0.2553875647596092
ACH-000304,-0.0020883511233722005
ACH-000307,-0.13770745279361507
ACH-000308,-0.2000208148843
ACH-000310,-0.26398390443821473
ACH-000311,-0.10676054353982227
ACH-000312,-0.17746419359915744
ACH-000315,-0.2473188908723515
ACH-000316,-0.3830161769352712
ACH-000317,-0.11092423531697383
ACH-000318,-0.20759850143236985
ACH-000319,-0.05304326195729992
ACH-000320,-0.14977537655969672
ACH-000322,-0.24840583748999506
ACH-000323,-0.08974355134154492
ACH-000324,-0.3118659298076841
ACH-000329,-0.259217726794281
ACH-000330,-0.2743095697746675
ACH-000331,-0.26402972237483696
ACH-000332,-0.1842892727910607
ACH-000334,-0.17100002403001846
ACH-000335,-0.3897192354854988
ACH-000336,-0.3850844929176871
ACH-000337,-0.09031286836767057
ACH-000338,-0.20505344295854355
ACH-000339,-0.2738749736900505
ACH-000341,-0.2579417892652491
ACH-000348,-0.20434114938295625
ACH-000350,-0.2716062014691602
ACH-000352,-0.2088086225033764
ACH-000356,-0.19294542254281896
ACH-000361,-0.2795941322524516
ACH-000362,-0.3449245879071089
ACH-000363,-0.14579017557831048
ACH-000364,-0.044455658693683946
ACH-000365,-0.2163971913551604
ACH-000366,-0.16040001487490593
ACH-000368,-0.25093037910830795
ACH-000374,-0.26438551611276234
ACH-000375,-0.17657434534919433
ACH-000376,-0.19262573115622386
ACH-000381,-0.10556426874134192
ACH-000383,-0.2614077844501253
ACH-000387,-0.3684602435011729
ACH-000389,0.13734290377450414
ACH-000390,-0.2408020589375311
ACH-000393,-0.2524261181719949
