,ASIP (434)
ACH-000004,-0.15707974560365548
ACH-000005,-0.1719427596028767
ACH-000007,-0.055678970055043714
ACH-000009,-0.09957942074507037
ACH-000011,-0.06819945944705866
ACH-000012,0.00903912714639584
ACH-000013,-0.008476886483959417
ACH-000014,-0.17901786345656107
ACH-000015,-0.20842287895052675
ACH-000017,0.0033794110945293003
ACH-000018,-0.12305376427108157
ACH-000019,-0.056449877838053976
ACH-000021,-0.12416334148305296
ACH-000022,-0.0012065390988071337
ACH-000025,-0.05989147961687796
ACH-000028,-0.062128079238008074
ACH-000030,-0.12731776289021346
ACH-000035,-0.14160361823998074
ACH-000036,-0.2780446696833675
ACH-000037,-0.18371785760263226
ACH-000039,-0.33601800662816017
ACH-000040,-0.19863550880518915
ACH-000041,0.0603474452616717
ACH-000042,-0.12294913553067405
ACH-000045,-0.13111830439084188
ACH-000047,0.017579527007748532
ACH-000052,-0.17519365493429653
ACH-000053,-0.03516774921997446
ACH-000054,-0.10072732661631698
ACH-000055,-0.06500827381653385
ACH-000060,-0.3135426796430056
ACH-000067,-0.023319518701125485
ACH-000070,-0.23801196470557906
ACH-000075,-0.05046229571459228
ACH-000078,-0.13958803302629355
ACH-000082,-0.08786688240877788
ACH-000085,-0.3282678690570144
ACH-000086,-0.10490480165763244
ACH-000087,0.023531447266185262
ACH-000092,-0.29069817756273525
ACH-000095,-0.12180387969701816
ACH-000097,-0.06646419625730132
ACH-000098,0.02663319289802176
ACH-000099,-0.06927156323626042
ACH-000108,0.05748546442705114
ACH-000113,-0.11006103381360384
ACH-000116,-0.08302731052763465
ACH-000118,-0.06600514185918042
ACH-000120,-0.07127467624818343
ACH-000123,-0.09769249312771057
ACH-000127,-0.019371237291136337
ACH-000128,-0.1883938575893434
ACH-000132,-0.18071577323338056
ACH-000133,-0.1491124229261488
ACH-000137,0.04771657134155794
ACH-000138,-0.0209039229101797
ACH-000142,-0.1314274722899926
ACH-000143,-0.01629177044462006
ACH-000146,-0.1051238287445624
ACH-000148,-0.028701250127127913
ACH-000150,-0.16210267203043408
ACH-000152,-0.04136856976453058
ACH-000153,0.041856665934881805
ACH-000159,-0.15200345291934625
ACH-000160,-0.2222808822968702
ACH-000163,-0.05009412089392151
ACH-000167,-0.13727590091156974
ACH-000168,-0.0035216581138834764
ACH-000169,-0.06562149402532162
ACH-000178,-0.11048659375674658
ACH-000183,0.04282411583085215
ACH-000188,-0.03345624621788902
ACH-000189,-0.12776274330966786
ACH-000190,-0.2890832344750045
ACH-000198,-0.1460201694614835
ACH-000203,0.09777431365788856
ACH-000204,-0.042532195570682316
ACH-000206,-0.04910584708505092
ACH-000207,-0.18600180151187734
ACH-000208,-0.06441639276429909
ACH-000210,0.02864287902762365
ACH-000211,-0.17118700113903573
ACH-000215,-0.08095166264772971
ACH-000221,-0.05499029286149442
ACH-000222,-0.10513422342350066
ACH-000223,-0.042035464660631884
ACH-000226,0.013826987206993916
ACH-000227,-0.15284083817895525
ACH-000228,0.020764602597542075
ACH-000231,-0.1278375300666548
ACH-000232,-0.1448644993124947
ACH-000233,-0.11098320244097117
ACH-000234,-0.09388766349572003
ACH-000235,-0.102690181804729
ACH-000237,-0.1280829199933095
ACH-000238,-0.2869028411134139
ACH-000242,-0.3858426035048361
ACH-000243,-0.10210449803577132
ACH-000244,-0.2214474539374408
ACH-000246,-0.00763158598325544
ACH-000248,-0.08457232394882523
ACH-000250,-0.06623175367688074
ACH-000251,-0.08971761822722678
ACH-000252,-0.026670856452097262
ACH-000253,0.021923672926312046
ACH-000255,-0.12302192334291738
ACH-000256,0.03487096377442665
ACH-000257,-0.16375482381529588
ACH-000258,-0.2523172005732812
ACH-000259,-0.1996074622568848
ACH-000260,-0.2160900161851864
ACH-000261,-0.18282229238319594
ACH-000262,-0.12132841034988273
ACH-000263,-0.1190988526647439
ACH-000264,-0.10218048375625516
ACH-000265,-0.07915897223120942
ACH-000266,-0.03870064924268647
ACH-000272,-0.2962649127713555
ACH-000274,-0.23838572836633906
ACH-000277,-0.3266726522345048
ACH-000278,0.08822780910019606
ACH-000279,-0.12599095574875893
ACH-000280,-0.06532475350277897
ACH-000281,0.12413863379386532
ACH-000288,-0.0656328050409702
ACH-000291,0.15688719094289144
ACH-000293,-0.1208583529479875
ACH-000294,-0.015027549251215015
ACH-000295,0.05531657021208949
ACH-000296,-0.11613204589351694
ACH-000302,-0.09828728152867876
ACH-000304,-0.11751448712726055
ACH-000307,0.007134782215566536
ACH-000308,-0.11638521065450133
ACH-000310,-0.1092209165620926
ACH-000311,-0.06867787501521329
ACH-000312,-0.1176481561944748
ACH-000315,0.03803445654932903
ACH-000316,-0.13555901077031207
ACH-000317,-0.2323194424913681
ACH-000318,-0.07160458367692862
ACH-000319,-0.022977537486228845
ACH-000320,0.0827205687466535
ACH-000322,-0.2476486633607459
ACH-000323,-0.0699676205563417
