,BOD1L1 (259282)
ACH-000004,-0.07984086823980317
ACH-000005,-0.15351451272533012
ACH-000007,-0.33599448579319285
ACH-000009,-0.1948712996632989
ACH-000011,-0.5014935662521561
ACH-000012,-0.05845171190442105
ACH-000013,-0.09010747046248224
ACH-000014,-0.3816489981717977
ACH-000015,-0.028053513565299747
ACH-000017,-0.37861598264676205
ACH-000018,-0.2432030335966967
ACH-000019,-0.4008875160688405
ACH-000021,-0.15762050292160582
ACH-000022,-0.11969604756534565
ACH-000025,-0.2717105733683835
ACH-000028,-0.3171916036951642
ACH-000030,-0.1369563178137882
ACH-000035,-0.3178205549527535
ACH-000036,-0.25147262114373603
ACH-000037,-0.3451729162322181
ACH-000039,-0.17515042205274498
ACH-000040,-0.3751874512374957
ACH-000041,-0.2377094854860993
ACH-000042,-0.2258210236392661
ACH-000045,-0.16861977352728053
ACH-000047,-0.35496328423374296
ACH-000052,-0.3534920681318094
ACH-000053,-0.19876526636544756
ACH-000054,-0.14018985240317558
ACH-000055,-0.06311582329219928
ACH-000060,-0.2353320368760023
ACH-000067,-0.1598961121731906
ACH-000070,-0.4367877744428101
ACH-000075,-0.2321976244412195
ACH-000078,-0.3092456183160061
ACH-000082,-0.08432591220200024
ACH-000085,-0.2460193349007373
ACH-000086,-0.25602197895975154
ACH-000087,-0.19857360737577565
ACH-000092,-0.1951887761483252
ACH-000095,-0.12389174537430438
ACH-000097,-0.25090255238390663
ACH-000098,-0.021625487858857262
ACH-000099,-0.2717005435204924
ACH-000108,-0.2086185319028188
ACH-000113,-0.2543164878997734
ACH-000116,-0.26096279592737576
ACH-000118,-0.1991389725079762
ACH-000120,-0.301995217661659
ACH-000123,-0.3812724712629753
ACH-000127,-0.25876973298392925
ACH-000128,-0.34630593255043424
ACH-000132,-0.2484655905960973
ACH-000133,-0.3890786956618414
ACH-000137,-0.2567154465716804
ACH-000138,-0.11920441966542895
ACH-000142,-0.2287384922997919
ACH-000143,-0.019404270311936332
ACH-000146,-0.06309849543977178
ACH-000148,-0.35007924919413724
ACH-000150,-0.010316954316457846
ACH-000152,-0.2622652838086253
ACH-000153,-0.21687167918084055
ACH-000159,-0.3510111639381489
ACH-000160,-0.16378102119091364
ACH-000163,-0.1064113216342466
ACH-000167,-0.18849822024850035
ACH-000168,-0.0478387789674034
ACH-000169,-0.11278817272787435
ACH-000178,-0.3048420850319425
ACH-000183,-0.2621043315026166
ACH-000188,-0.2444882681221925
ACH-000189,-0.1978160197851876
ACH-000190,-0.11465406880661055
ACH-000198,-0.20201580845067973
ACH-000203,-0.4080721192810936
ACH-000204,-0.16822843574433416
ACH-000206,-0.2587718490499987
ACH-000207,-0.2267430434502269
ACH-000208,-0.3255317420462904
ACH-000210,-0.34872066068147106
ACH-000211,-0.3168057673085617
ACH-000215,-0.30705808600365003
ACH-000221,-0.3505793921030202
ACH-000222,-0.3424909180561337
ACH-000223,-0.33269691077270674
ACH-000226,-0.2566784376254642
ACH-000227,-0.14482661578334502
ACH-000228,-0.4858547498880242
ACH-000231,-0.3438963898366781
ACH-000232,-0.4161524789191983
ACH-000233,-0.2731099947008657
ACH-000234,-0.2513657681653472
ACH-000235,-0.19009493089303472
ACH-000237,-0.4321631451604343
ACH-000238,-0.3095883912183179
ACH-000242,-0.2713258540828078
ACH-000243,-0.34982894837332656
ACH-000244,-0.3854821265672015
ACH-000246,-0.4197796516311077
ACH-000248,-0.2554702123714074
ACH-000250,-0.2886419552448998
ACH-000251,-0.06253912487633873
ACH-000252,-0.4082470063408134
ACH-000253,-0.1341547399913908
ACH-000255,-0.33954052412866365
ACH-000256,-0.113989768081111
ACH-000257,-0.3079280962915988
ACH-000258,-0.2951059584402615
ACH-000259,-0.16603741605400313
ACH-000260,-0.2461766681386225
ACH-000261,-0.2136434819573796
ACH-000262,-0.3666282348924961
ACH-000263,-0.20209566426523345
ACH-000264,-0.37216018307307
ACH-000265,-0.284688246291258
ACH-000266,-0.1884773437039338
ACH-000272,-0.2685417167980515
ACH-000274,-0.33531540623884426
ACH-000277,-0.3206470748013067
ACH-000278,-0.3526212328584437
ACH-000279,-0.34346257280250625
ACH-000280,-0.26630733879531565
ACH-000281,-0.3340653549904747
ACH-000288,-0.4438248060270266
ACH-000291,-0.13131422854458574
ACH-000293,-0.24811921700148645
ACH-000294,-0.08427582626040206
ACH-000295,-0.191175158894827
ACH-000296,-0.4309718351285317
ACH-000302,-0.3730673011240924
ACH-000304,-0.26009218223438363
ACH-000307,-0.2503820303122036
ACH-000308,-0.2458479532904021
ACH-000310,-0.2981896021089053
ACH-000311,-0.09358077549335808
ACH-000312,-0.236750460309724
ACH-000315,-0.15217697303417366
ACH-000316,-0.1370213551752976
ACH-000317,-0.3812580499355769
