,GPR37L1 (9283)
ACH-000004,-0.209316216277853
ACH-000005,0.10038463272553863
ACH-000007,0.07170862421461792
ACH-000009,-0.2210768392895195
ACH-000011,-0.10724692178335272
ACH-000012,-0.13622470766872488
ACH-000013,-0.054564197257798236
ACH-000014,-0.019453393586272717
ACH-000015,-0.15987290662709294
ACH-000017,-0.18266515490039031
ACH-000018,-0.2003848631777587
ACH-000019,-0.1200270858606403
ACH-000021,-0.057391393767925576
ACH-000022,-0.07012568252592832
ACH-000025,-0.09707319220484473
ACH-000028,-0.20613645030863745
ACH-000030,-0.10310881140922444
ACH-000035,-0.13404224272354268
ACH-000036,-0.2729438812478469
ACH-000037,-0.2328088179059868
ACH-000039,-0.045905668356014506
ACH-000040,-0.047989848704749656
ACH-000041,-0.0800359623652235
ACH-000042,-0.13045373900878995
ACH-000045,0.07490829680307087
ACH-000047,-0.03749473001596325
ACH-000052,-0.20160631276706675
ACH-000053,-0.17756431040152207
ACH-000054,0.014872043302907327
ACH-000055,-0.09213728445377477
ACH-000060,0.022688176286769203
ACH-000067,0.05615345830752226
ACH-000070,-0.23753304662760066
ACH-000075,-0.11772116822339986
ACH-000078,-0.07480400201132821
ACH-000082,-0.16003792491993996
ACH-000085,0.0875182943477814
ACH-000086,-0.059085276507589934
ACH-000087,0.07327449015136876
ACH-000092,-0.10403984712058872
ACH-000095,-0.20908435806727108
ACH-000097,-0.13165778672392014
ACH-000098,-0.14568193411148522
ACH-000099,-0.012220991057338659
ACH-000108,-0.11270810109372745
ACH-000113,-0.14291281424835686
ACH-000116,-0.07880333326760748
ACH-000118,-0.08592002606711578
ACH-000120,-0.17088297336257627
ACH-000123,-0.03303171408709656
ACH-000127,0.02729685670335033
ACH-000128,-0.03209628716025192
ACH-000132,-0.2311481749618752
ACH-000133,-0.25933371852375325
ACH-000137,-0.0803524668570126
ACH-000138,-0.012408089278582914
ACH-000142,0.011044070537951124
ACH-000143,-0.06887502309630053
ACH-000146,-0.09482728631433228
ACH-000148,-0.1961255775086669
ACH-000150,-0.07536219189093978
ACH-000152,-0.124584198581042
ACH-000153,-0.17595675847785394
ACH-000159,-0.15182005506599594
ACH-000160,-0.07296908271208233
ACH-000163,-0.2577828817006848
ACH-000167,-0.22551423154606515
ACH-000168,-0.12492165881515505
ACH-000169,-0.04550630672489589
ACH-000178,-0.13903912551315895
ACH-000183,-0.12689450523575968
ACH-000188,-0.06058945408650353
ACH-000189,-0.3218226082932257
ACH-000190,0.09743896859271434
ACH-000198,-0.12198479591900575
ACH-000203,-0.043417803824170376
ACH-000204,-0.15943884258488888
ACH-000206,-0.10922967093838253
ACH-000207,-0.06723778791777851
ACH-000208,-0.19139565540966352
ACH-000210,-0.15056882126813828
ACH-000211,-0.11769791467772447
ACH-000215,-0.17063285876469172
ACH-000221,-0.07887464506583125
ACH-000222,-0.14584345412231492
ACH-000223,-0.0016551620248611615
ACH-000226,-0.12206152379581965
ACH-000227,-0.1675333412615519
ACH-000228,-0.06563120882135544
ACH-000231,-0.1409969747718037
ACH-000232,0.015907039071734567
ACH-000233,-0.19486696347280646
ACH-000234,-0.3399215387069212
ACH-000235,-0.1389228695311322
ACH-000237,-0.09594031601643337
ACH-000238,-0.032676057095406934
ACH-000242,-0.07872561903258661
ACH-000243,-0.1202089419389656
ACH-000244,-0.15732237855135045
ACH-000246,-0.08855830658489522
ACH-000248,-0.25979606201679645
ACH-000250,-0.12671250425766795
