,NXT1 (29107)
ACH-000004,-0.7423940421530838
ACH-000005,-0.6896913288953506
ACH-000007,-0.5483895383643694
ACH-000009,-0.9719512689230096
ACH-000011,0.017274030311021385
ACH-000012,0.11945870308372886
ACH-000013,-0.2585612675090062
ACH-000014,-0.21697663234409487
ACH-000015,-0.3323195801083951
ACH-000017,-0.21369205678382447
ACH-000018,-0.22242956285649373
ACH-000019,-0.2544379549252885
ACH-000021,-0.6376074284800252
ACH-000022,-1.2199711467086645
ACH-000025,-0.06963794374578516
ACH-000028,-0.6362558789751791
ACH-000030,-0.024309784533156683
ACH-000035,-0.29480523021361904
ACH-000036,-0.08856826897838764
ACH-000037,-0.21535973037292747
ACH-000039,-0.37823109885482026
ACH-000040,-0.07958728857998781
ACH-000041,-0.05344913555089036
ACH-000042,-0.8739976441836977
ACH-000045,0.0661312443833604
ACH-000047,-0.06959530765312434
ACH-000052,-0.7291160608461937
ACH-000053,0.05688816233409547
ACH-000054,-0.21985877552442246
ACH-000055,-1.1591960432435762
ACH-000060,-0.08929814189171471
ACH-000067,-0.2520368006963037
ACH-000070,-0.5821194570579518
ACH-000075,-0.13627300128189215
ACH-000078,-0.9025783771234532
ACH-000082,-0.13879258389511673
ACH-000085,-0.8337660188305751
ACH-000086,-0.033039374438445304
ACH-000087,-0.6646160310911757
ACH-000092,-0.16669737452649286
ACH-000095,-1.1798464186504092
ACH-000097,-0.11390663826374545
ACH-000098,-0.06271504512628502
ACH-000099,-0.507957041932029
ACH-000108,-0.35992098040594056
ACH-000113,0.2287230155542282
ACH-000116,-0.3589006909804017
ACH-000118,-0.6861978621704713
ACH-000120,-0.6821723411053836
ACH-000123,0.009750979702074466
ACH-000127,-0.4007611752942356
ACH-000128,-0.8767477717534564
ACH-000132,-0.10407173736071652
ACH-000133,-0.3289216497811501
ACH-000137,-0.7353213846110546
ACH-000138,-0.1381668653780689
ACH-000142,-0.0999334750213936
ACH-000143,-0.09361362172786288
ACH-000146,-0.11342465880764048
ACH-000148,-0.11356893493955075
ACH-000150,-0.1942517190725324
ACH-000152,-0.3054610059852437
ACH-000153,-0.6272839664744099
ACH-000159,-0.08165275494948092
ACH-000160,-0.29273956155670683
ACH-000163,-0.3422177062691559
ACH-000167,0.08761449346822216
ACH-000168,-0.14825513076608082
ACH-000169,-1.0242491071499005
ACH-000178,-0.9245626794534928
ACH-000183,0.13042099455954298
ACH-000188,0.06838675217928371
ACH-000189,-0.2123061767335075
ACH-000190,-1.1498877264888256
ACH-000198,0.1683374533194715
ACH-000203,-0.4814557994307657
ACH-000204,-0.2251504197108515
ACH-000206,-0.3984942778296982
ACH-000207,-0.3147986210050519
ACH-000208,-0.5086224790470539
ACH-000210,-0.1897810714003554
ACH-000211,-0.8144705465907506
ACH-000215,-0.22770735892695254
ACH-000221,-1.049384769276238
ACH-000222,-0.1263502268381795
ACH-000223,-0.23372147059529305
ACH-000226,-0.01248415989483805
ACH-000227,-0.5608540201385088
ACH-000228,-0.15181447308083226
ACH-000231,-0.0979264356255884
ACH-000232,-1.1401899703892386
ACH-000233,-0.03922344570169066
ACH-000234,-0.026407601228837632
ACH-000235,-0.14131914287263014
ACH-000237,-0.2432451820914591
ACH-000238,-0.3061877209384073
ACH-000242,-0.2431382263786723
ACH-000243,-0.2091804354616645
ACH-000244,-0.11780654933291056
ACH-000246,-0.4387015460454824
ACH-000248,-0.17219963512835676
ACH-000250,-0.1035468602415992
ACH-000251,-0.15595501849260945
ACH-000252,-0.2929045384806818
ACH-000253,-0.3009179177347096
ACH-000255,-0.2045395339095848
ACH-000256,-0.2333599698576021
ACH-000257,-0.7690005705252393
ACH-000258,-1.1359000226520786
ACH-000259,-0.9321227506936122
ACH-000260,-0.7248155361559057
ACH-000261,-0.24730296911063854
ACH-000262,-0.20449093612386204
ACH-000263,-0.18635326216176007
ACH-000264,-0.1772343508468225
ACH-000265,-0.27121531069365523
ACH-000266,-0.2322937134527293
ACH-000272,-0.3680207715825976
ACH-000274,-0.12632190091333126
ACH-000277,-0.1476124903817499
ACH-000278,-0.6101089875134815
ACH-000279,0.003731789583327821
ACH-000280,-0.04216203129660979
ACH-000281,-0.7875082985073547
ACH-000288,0.15570083843045188
ACH-000291,-0.1345045842413363
ACH-000293,-0.08272519135030952
ACH-000294,-0.20736942999385688
ACH-000295,-0.2229959033914791
ACH-000296,-0.9405434101062692
ACH-000302,-0.6028428197754402
ACH-000304,0.004680596765429472
ACH-000307,-0.15764564573329254
ACH-000308,-0.2259187587782753
ACH-000310,-0.7669974496575835
ACH-000311,-0.3612293950050878
ACH-000312,-0.8741266244810477
ACH-000315,-0.08501493555927545
ACH-000316,-0.11262071976067298
ACH-000317,-0.2532854982074865
ACH-000318,-0.06085896288871041
ACH-000319,-0.10757077696173163
ACH-000320,-0.15101698241663106
ACH-000322,-0.0981533766826253
ACH-000323,-0.07685887994536772
ACH-000324,0.14072879881094802
ACH-000329,-0.13040929532686096
ACH-000330,-0.11532309263564865
ACH-000331,-0.6116709719371748
ACH-000332,-0.2523996809566364
ACH-000334,-0.04457994626446372
ACH-000335,-0.2134726373906297
ACH-000336,-0.22285209475659654
ACH-000337,-0.15483833147717996
ACH-000338,-0.6795599671211858
ACH-000339,-0.2259096975793972
ACH-000341,-0.22185073053172175
ACH-000348,-0.4030170206804369
ACH-000350,-0.4413415847485125
ACH-000352,-0.08110116916352424
ACH-000356,-0.4080546739520868
ACH-000361,-0.09532283261596727
ACH-000362,-0.033124775190866186
ACH-000363,-0.1276165302346353
ACH-000364,0.01609346614083696
ACH-000365,-0.0403288379561063
ACH-000366,-1.2630207251020409
ACH-000368,-0.1809023750495966
ACH-000374,-0.1669361987080617
ACH-000375,-0.8500338980202641
ACH-000376,-0.06225396064128193
ACH-000381,-0.07801860669753648
ACH-000383,-0.6584002755975227
ACH-000387,-0.3839829453869722
ACH-000389,-0.0969885287194506
ACH-000390,-0.17573294587392202
ACH-000393,-0.15806772127686688
ACH-000395,-0.4235708837522221
ACH-000396,-0.3160808477989984
ACH-000397,-0.7093114899207588
ACH-000401,-0.7783632672930529
ACH-000402,0.033012260135072864
ACH-000403,-0.215282866002572
ACH-000404,0.03758728791922563
ACH-000406,0.024486664429918547
ACH-000407,-0.15384601443660806
ACH-000408,-0.40529171988894064
ACH-000410,-0.5111145742926266
ACH-000411,-0.1994357709566438
ACH-000414,0.1105487944719604
ACH-000415,-0.35014112424276866
ACH-000416,-0.2454768553736925
ACH-000420,-0.5880468238502368
ACH-000421,-0.2398694241517985
ACH-000424,-0.14918915118616966
ACH-000425,-0.03627071245956669
ACH-000426,-0.20241952353522746
ACH-000427,-0.16085828990168224
ACH-000433,-0.31925610125216936
ACH-000435,-0.312671596287868
ACH-000436,-0.045710464221187325
ACH-000444,-0.385917116154845
ACH-000445,0.1710251930212194
ACH-000448,-0.17794613534512174
ACH-000450,-0.3662581584653031
ACH-000452,-0.2812880701604665
ACH-000454,-0.3136935317902685
ACH-000458,-0.018609370604894603
ACH-000459,-0.3745464011760576
ACH-000460,0.1172934896657396
ACH-000461,-0.8691677587600992
ACH-000463,-0.2756278170871289
ACH-000464,-0.42609905359879136
ACH-000466,-0.4608198287682425
ACH-000467,-0.696436043936098
ACH-000468,-0.6148436196598404
ACH-000469,0.02517612484530626
ACH-000470,-1.4919734538402194
ACH-000471,-0.04777284319531565
ACH-000472,-0.2419582304562704
ACH-000473,-0.1676114563662838
ACH-000475,-0.3067005491025814
ACH-000476,-1.1824526394531372
ACH-000477,-0.04626644979689109
ACH-000479,-0.3481079204089104
ACH-000480,-0.2786619627056691
ACH-000481,-0.2832461636487085
ACH-000483,-0.12833656066361898
ACH-000484,-0.6016650596815285
ACH-000485,-0.34574158278668793
ACH-000486,-0.22215559215857694
ACH-000487,0.2100505361890034
ACH-000488,-0.03808834999772938
ACH-000490,-0.1647472806151252
ACH-000491,-0.4976679355599338
ACH-000495,0.10091594055495304
ACH-000496,-0.2250212039366105
ACH-000499,-0.595983654467095
ACH-000500,-0.5953135686305301
ACH-000502,-0.8862524252232195
ACH-000503,-0.2781461664755868
ACH-000505,-0.29300322415529617
ACH-000507,-0.2548290641805569
ACH-000510,-0.11572329112797552
ACH-000511,-0.1623280178375435
ACH-000512,0.11218354345157563
ACH-000516,-0.1258419758727783
ACH-000517,-0.3153969215044827
ACH-000518,-0.7926878618817499
ACH-000520,-0.29495529697262746
ACH-000521,-0.09754342332675292
ACH-000522,-1.4464495533664599
ACH-000524,-1.3498777803244535
ACH-000527,-0.2582518101919005
ACH-000528,-0.36235062692332903
ACH-000537,-0.11049773686852256
ACH-000541,-0.129152153207688
ACH-000542,-0.7100580488148757
ACH-000544,-1.0949561416921616
ACH-000545,-0.6663170073276989
ACH-000547,-0.5211742747575994
ACH-000548,-0.2288065504138425
ACH-000549,-0.1696366750088668
ACH-000550,-0.32140136261020497
ACH-000552,-0.10490686363089237
ACH-000556,-0.42508765525352815
ACH-000557,-0.3708400704905686
ACH-000569,-0.5567729613707412
ACH-000570,-0.2995805617174201
ACH-000571,-0.6970378451034199
ACH-000573,-0.2652772408445013
ACH-000576,-0.13501349096811008
ACH-000579,-0.4454796167459596
ACH-000580,-0.3493490362214834
ACH-000584,-1.0578093745486272
ACH-000585,-0.1581717037448977
ACH-000588,0.06220072720440245
ACH-000589,-0.10543522893243733
ACH-000591,-0.15984069798305467
ACH-000593,-0.05755955170457156
ACH-000600,0.09647308993020748
ACH-000601,-1.0115511920241178
ACH-000605,-0.5345644777440157
ACH-000606,-0.1351232990771643
ACH-000608,-0.253513255133852
ACH-000614,-0.6498084673335346
ACH-000616,-0.0841158911795565
ACH-000618,-0.7824553841569944
ACH-000619,-0.7081614564113572
ACH-000620,-1.0438885148527042
ACH-000621,-0.6595596356428092
ACH-000622,-0.21531957778178265
ACH-000623,-0.23669942500328275
ACH-000624,-1.0506031020166882
ACH-000627,-0.13945108534094086
ACH-000630,-0.03314373887842989
ACH-000631,-0.38105530842057866
ACH-000632,-0.19552403146989086
ACH-000633,-0.22199826642246429
ACH-000637,-0.249318776176998
ACH-000638,-0.08481422256858334
ACH-000646,-0.3483743526282664
ACH-000647,-0.22017874305253585
ACH-000648,-0.71972239265152
ACH-000649,0.12408813104048427
ACH-000651,-0.5035402240844583
ACH-000652,-0.6125031391725518
ACH-000653,-1.0342697150216698
ACH-000657,-0.6084872895641645
ACH-000658,-0.05843330862064215
ACH-000661,-0.7522588193726737
ACH-000662,-0.3809110220682748
ACH-000663,-0.4747822234054858
ACH-000665,-0.12873004654660306
ACH-000671,-1.0746390389115736
ACH-000672,-0.4635046077490451
ACH-000673,-0.10247753779773808
ACH-000676,-0.019646924393696613
ACH-000677,-0.9172243740059774
ACH-000681,-0.17500292859740693
ACH-000683,-0.2987125519201075
ACH-000684,0.08915571722306657
ACH-000688,-0.2769096374606029
ACH-000693,-0.11731056847603087
ACH-000694,-0.1587805213938159
ACH-000695,-0.6910164643817822
ACH-000696,-0.4948641689210341
ACH-000697,-0.3907326108910204
ACH-000699,-0.27340817008625673
ACH-000701,-0.1704158597872797
ACH-000706,-0.33556047065730976
ACH-000711,-0.13846095712079934
ACH-000713,-0.2257380903391551
ACH-000714,-0.4983850621190326
ACH-000718,-0.13792355209238516
ACH-000720,-0.048348528787202985
ACH-000721,-0.11852587224176145
ACH-000724,-0.27743034484576523
ACH-000725,-0.2313116122702163
ACH-000732,-0.18249052854940487
ACH-000734,-0.3796017531737539
ACH-000735,-0.10757279064240556
ACH-000736,-0.182350878488554
ACH-000738,-0.05032936498449882
ACH-000746,-0.3607720266560402
ACH-000747,0.10815806796492043
ACH-000748,0.16505931000898574
ACH-000753,-1.3032173340800777
ACH-000756,-0.8763177310428559
ACH-000757,-0.18423433279046936
ACH-000758,-0.0922871531840422
ACH-000760,-0.3735502813527135
ACH-000762,-0.1687532823076674
ACH-000763,0.029778509575161743
ACH-000764,-0.5742375405694857
ACH-000765,-0.2738713619751424
ACH-000766,-0.36532408473531336
ACH-000767,-0.5195903825262312
ACH-000768,-0.28751203606128684
ACH-000769,-0.6786243284027104
ACH-000770,0.06079042910217525
ACH-000771,-0.24566665682079836
ACH-000773,-0.06703955270316449
ACH-000776,-0.8445908208381195
ACH-000777,-0.32604000418406026
ACH-000778,-0.3021224519808416
