,BMS1 (9790)
ACH-000004,-0.8730291758075259
ACH-000005,-1.0026451518953932
ACH-000007,-1.0643818398379357
ACH-000009,-0.6508067963838281
ACH-000011,-0.74687097746924
ACH-000012,-0.8907570417076176
ACH-000013,-0.7880350152636848
ACH-000014,-0.9616973675439544
ACH-000015,-0.86983827085245
ACH-000017,-0.8945746519619688
ACH-000018,-0.9210022958452564
ACH-000019,-0.6947555744089388
ACH-000021,-1.1380152623178863
ACH-000022,-0.7107340086838142
ACH-000025,-1.0689723665773885
ACH-000028,-0.8289444368500715
ACH-000030,-0.909585072701951
ACH-000035,-1.259393832953708
ACH-000036,-0.857141762166702
ACH-000037,-0.7023015895481127
ACH-000039,-0.7663954123794914
ACH-000040,-0.9993840057228224
ACH-000041,-0.8551822172460753
ACH-000042,-0.7880383623852766
ACH-000045,-0.9937395601260428
ACH-000047,-0.9606749985203291
ACH-000052,-1.0491516724841503
ACH-000053,-0.9597900610916212
ACH-000054,-1.0624207035879043
ACH-000055,-0.9666401476779511
ACH-000060,-1.0255869473787314
ACH-000067,-1.0467914289638554
ACH-000070,-0.973474364604956
ACH-000075,-1.0393678245506697
ACH-000078,-0.8805819200943766
ACH-000082,-1.124850625461876
ACH-000085,-0.8238282029452217
ACH-000086,-0.9641127502535004
ACH-000087,-1.0252677462671391
ACH-000092,-0.9806178163728372
ACH-000095,-0.8233692082828288
ACH-000097,-0.8854708012114778
ACH-000098,-1.0440049881435185
ACH-000099,-0.7726661234884807
ACH-000108,-1.092685997905037
ACH-000113,-0.9835943923490136
ACH-000116,-0.9295661932853811
ACH-000118,-0.911068038411616
ACH-000120,-0.9490688589025592
ACH-000123,-0.8789775233628262
ACH-000127,-0.9535687924316094
ACH-000128,-0.9299048004541964
ACH-000132,-1.0788655524443118
ACH-000133,-0.9373246571405576
ACH-000137,-1.024868668700538
ACH-000138,-0.8302194350359196
ACH-000142,-0.9190672062737371
ACH-000143,-0.958740770406564
ACH-000146,-0.9336172158415446
ACH-000148,-0.979697390020545
ACH-000150,-0.9912058089917241
ACH-000152,-1.01415846782424
ACH-000153,-0.9909247039676246
ACH-000159,-1.0347302821804345
ACH-000160,-1.0724289817582673
ACH-000163,-0.9771202988042484
