,MDC1 (9656)
ACH-000004,-0.184248790074068
ACH-000005,0.05593899241044166
ACH-000007,-0.3114635326790383
ACH-000009,-0.2204071226858227
ACH-000011,-0.7416000156465238
ACH-000012,-0.3843108845216599
ACH-000013,-0.24234972155645296
ACH-000014,-0.7886405444926159
ACH-000015,-0.28269074196182176
ACH-000017,-0.2473309812929835
ACH-000018,-0.3532010057065129
ACH-000019,-0.26101705699871897
ACH-000021,-0.13658944558853628
ACH-000022,-0.2525069064415231
ACH-000025,-0.5442706766254622
ACH-000028,-0.4826172045868037
ACH-000030,-0.3361520905163819
ACH-000035,-0.16689343816247532
ACH-000036,-0.28664268711561197
ACH-000037,-0.2895909442477638
ACH-000039,-0.1559381004000735
ACH-000040,-0.3524395977140313
ACH-000041,-0.5841899427863727
ACH-000042,-0.2273168758197061
ACH-000045,-0.35073786192406337
ACH-000047,-0.6124448330088582
ACH-000052,-0.3302000083896715
ACH-000053,-0.2637036774154184
ACH-000054,-0.2988366706884571
ACH-000055,-0.2618325685824169
ACH-000060,-0.4359982132088951
ACH-000067,-0.25675172594186924
ACH-000070,-0.3619829799603993
ACH-000075,-0.4623277552465493
ACH-000078,-0.15803188766420478
ACH-000082,-0.332612063979643
ACH-000085,-0.1375616652443431
ACH-000086,-0.2957373349836931
ACH-000087,-0.3407300587430656
ACH-000092,-0.27344892585044844
ACH-000095,-0.09806238596228342
ACH-000097,-0.401683400147936
ACH-000098,-0.16348441777335113
ACH-000099,-0.13741460192007482
ACH-000108,-0.3574455030886336
ACH-000113,-0.2957759959264208
ACH-000116,-0.4789255610359632
ACH-000118,-0.4558051032540033
ACH-000120,-0.3331191180104404
ACH-000123,-0.3095152540448764
ACH-000127,-0.1850310182473188
ACH-000128,-0.36609542414116397
ACH-000132,-0.5139566809763496
ACH-000133,-0.1611559067366773
ACH-000137,-0.31409065049635154
ACH-000138,-0.2424150356413204
ACH-000142,-0.2997547566779895
ACH-000143,-0.14551179616075385
ACH-000146,-0.2709554809769613
ACH-000148,-0.3081618803033407
ACH-000150,-0.1453938688299314
ACH-000152,-0.057402966162738926
ACH-000153,-0.3495144564599137
ACH-000159,-0.3854175533050356
ACH-000160,0.08046904506749646
ACH-000163,-0.2794158493464137
ACH-000167,0.5091832854814675
ACH-000168,-0.17049409121327427
ACH-000169,-0.2603671073754657
ACH-000178,-0.5911041051837373
ACH-000183,-0.37331908721609497
ACH-000188,-0.30785549624550634
ACH-000189,-0.20268847843570406
ACH-000190,0.12363258686252852
ACH-000198,-0.05038485576436797
ACH-000203,-0.9053037485785004
ACH-000204,-0.5027373889036729
ACH-000206,-0.2160600950334113
ACH-000207,-0.4448110144425397
ACH-000208,-0.4397756011427725
ACH-000210,-0.3744577552786295
ACH-000211,-0.301635713681746
ACH-000215,-0.27567419995462394
ACH-000221,-0.2893685615526967
ACH-000222,-0.1828250599473148
ACH-000223,-0.3141590639118583
ACH-000226,-0.5285267359817271
ACH-000227,-0.014455767365001775
ACH-000228,-0.4672488679231928
ACH-000231,-0.3543064677808058
ACH-000232,-0.20669154992795494
ACH-000233,-0.2619200884802256
ACH-000234,-0.3920814319172215
ACH-000235,-0.2241637483597912
ACH-000237,-0.30708159921487826
ACH-000238,-0.3727864450282236
ACH-000242,-0.3358503680382204
ACH-000243,-0.2040900201695548
ACH-000244,-0.08754172608657937
ACH-000246,-0.2882973853336589
ACH-000248,-0.3169472602039594
ACH-000250,-0.1797325361231477
ACH-000251,-0.06840748139547669
ACH-000252,-0.3531574200301458
ACH-000253,-0.15733457938899092
ACH-000255,-0.5082704534803535
ACH-000256,-0.3766331786640456
ACH-000257,-0.1658065192059694
ACH-000258,-0.3275345670023357
ACH-000259,-0.13090468655383408
ACH-000260,-0.3789690124945849
ACH-000261,-0.4541814014010578
ACH-000262,-0.26027903525255464
ACH-000263,0.01522636440973628
ACH-000264,-0.1773229871437028
ACH-000265,-0.3977233787251632
ACH-000266,-0.21561802492042792
ACH-000272,-0.24801959501480805
ACH-000274,-0.185414747252172
ACH-000277,-0.15656090880842646
ACH-000278,-0.4656234337482005
ACH-000279,-0.2892355532553014
ACH-000280,-0.3243654530775669
ACH-000281,-0.32739634282133273
ACH-000288,-0.20846254905936515
ACH-000291,-0.2797858621610667
ACH-000293,-0.14115632168932604
ACH-000294,-0.1705358133486182
ACH-000295,-0.1802571436432281
ACH-000296,-0.20644063560206455
ACH-000302,-0.3072301265046492
ACH-000304,-0.4700012876434932
ACH-000307,-0.21817833674668774
ACH-000308,-0.16802426699457235
ACH-000310,-0.21282372756080686
ACH-000311,-0.046714430146539435
ACH-000312,0.00898515005213883
ACH-000315,-0.3462197917938676
ACH-000316,-0.4140396377122993
ACH-000317,-0.2758782254316857
ACH-000318,-0.29111875546165605
ACH-000319,-0.5866978312318203
ACH-000320,-0.2834128555795848
ACH-000322,-0.2836494411086703
ACH-000323,-0.07270334840021397
ACH-000324,-0.3293306377443065
ACH-000329,-0.230834431513682
ACH-000330,-0.34909727446963473
ACH-000331,-0.191274348856494
ACH-000332,-0.08795742440996801
ACH-000334,-0.34566057572765524
ACH-000335,-0.39968078452654654
