,SCRT1 (83482)
ACH-000004,-0.3402475673081255
ACH-000005,0.13819238203807171
ACH-000007,-0.26847646183275736
ACH-000009,-0.12822535112015795
ACH-000011,-0.07491882210674042
ACH-000012,-0.21881761093161814
ACH-000013,-0.21430427576741667
ACH-000014,-0.2741661490144827
ACH-000015,-0.13573474698857232
ACH-000017,-0.4741397721825194
ACH-000018,-0.12880450907151084
ACH-000019,-0.08680541060958821
ACH-000021,-0.2893759668190992
ACH-000022,-0.2743179225457021
ACH-000025,-0.24447159586082864
ACH-000028,-0.1457079127002344
ACH-000030,-0.18637736721287884
ACH-000035,-0.2628395678622969
ACH-000036,-0.3733746549358444
ACH-000037,-0.3524125013067061
ACH-000039,-0.3293589628384763
ACH-000040,-0.4276059631160304
ACH-000041,-0.36558175514756697
ACH-000042,-0.2438817405529967
ACH-000045,-0.1686982427865276
ACH-000047,-0.2952732487618868
ACH-000052,-0.3592976365926026
ACH-000053,-0.23483774814613315
ACH-000054,-0.26824626050233963
ACH-000055,-0.4816502157709381
ACH-000060,-0.2542600036003157
ACH-000067,-0.3304008084839471
ACH-000070,-0.17322839137412954
ACH-000075,-0.2823645179682712
ACH-000078,-0.27948723424322314
ACH-000082,-0.35915845656965234
ACH-000085,-0.17721101968089875
ACH-000086,-0.174543749441102
ACH-000087,0.003534020011088234
ACH-000092,-0.2486667181687305
ACH-000095,-0.15460910385963178
ACH-000097,-0.2963364918801112
ACH-000098,-0.1800343340982392
ACH-000099,-0.35161960595984304
ACH-000108,-0.5242953722384179
ACH-000113,-0.2807657628777037
ACH-000116,-0.3122312119734641
ACH-000118,-0.3555752172572785
ACH-000120,-0.3842020023955087
ACH-000123,-0.13736619549029905
ACH-000127,-0.23870409674011425
ACH-000128,-0.156844779037365
ACH-000132,-0.3842416052717055
ACH-000133,-0.21700426041211526
ACH-000137,-0.3543935633774145
ACH-000138,-0.3303312442269707
ACH-000142,-0.3286336896545424
ACH-000143,-0.25833889406127475
ACH-000146,-0.19816394634665324
ACH-000148,-0.15421563300574173
ACH-000150,-0.5960928762879095
ACH-000152,-0.5469812769741197
ACH-000153,0.015529298404234657
ACH-000159,-0.35750326367981344
ACH-000160,-0.4260236651313353
ACH-000163,-0.13823756695248032
ACH-000167,-0.03524149470901671
ACH-000168,-0.2527654495782679
ACH-000169,-0.07894398563727406
ACH-000178,-0.34062401476348997
ACH-000183,-0.13121445333644172
ACH-000188,-0.32961015297955737
ACH-000189,-0.02771520714908127
ACH-000190,-0.1942562450922407
ACH-000198,-0.1250854663758708
ACH-000203,-0.0748755019321436
ACH-000204,-0.3841397389452961
ACH-000206,-0.2541444781289641
ACH-000207,-0.18300331910124887
ACH-000208,-0.146180821257334
ACH-000210,-0.34286338307992464
ACH-000211,-0.34720304964112997
ACH-000215,-0.2369556727928339
ACH-000221,-0.2373375032023864
ACH-000222,-0.5336845387752548
ACH-000223,-0.24072483805119574
ACH-000226,-0.35885197029493776
ACH-000227,-0.14955989250005858
ACH-000228,-0.2297823677230271
ACH-000231,-0.4425687078095578
ACH-000232,-0.2386675832685981
ACH-000233,-0.2241822522625665
ACH-000234,-0.2998907276581967
ACH-000235,-0.2846293649525159
ACH-000237,-0.4700486370609301
ACH-000238,-0.2921661262318652
ACH-000242,-0.7690815349621014
ACH-000243,-0.21550658973482456
ACH-000244,-0.16886035221423426
ACH-000246,-0.3107559638341681
ACH-000248,-0.2816830774080023
ACH-000250,-0.42697055965801534
ACH-000251,-0.10007063472038108
ACH-000252,-0.36503648778179226
ACH-000253,-0.4364695302698303
ACH-000255,-0.0807430434414468
ACH-000256,-0.2724034783721735
ACH-000257,-0.4138751478505622
ACH-000258,-0.4812331817598569
ACH-000259,-0.4483665372824275
ACH-000260,-0.3051919608905953
