,INSRR (3645)
ACH-000004,-0.2156554986612459
ACH-000005,-0.005179814028470264
ACH-000007,-0.07352320572613442
ACH-000009,-0.15142199358727212
ACH-000011,-0.00832557896157543
ACH-000012,-0.08530129166565557
ACH-000013,-0.06738737775397817
ACH-000014,-0.050928654487902264
ACH-000015,-0.03309744854765966
ACH-000017,-0.046962096198967185
ACH-000018,-0.14941852889576454
ACH-000019,-0.0412209604756881
ACH-000021,-0.04221509137948257
ACH-000022,-0.12952683226289852
ACH-000025,-0.2172400078709176
ACH-000028,-0.052117818410486606
ACH-000030,-0.15934106782172794
ACH-000035,-0.116449660648709
ACH-000036,0.04138759417125583
ACH-000037,-0.1654184842308607
ACH-000039,-0.1460421824852053
ACH-000040,-0.06310910558996442
ACH-000041,-0.0925083733127815
ACH-000042,-0.048068169401705337
ACH-000045,-0.09200370768451432
ACH-000047,-0.08061329500282556
ACH-000052,-0.14820934929892984
ACH-000053,-0.19083659006048334
ACH-000054,-0.06797875546431208
ACH-000055,-0.04956640470820303
ACH-000060,-0.1511959265190704
ACH-000067,0.06747060972474678
ACH-000070,-0.00678366543950581
ACH-000075,-0.06201662815169533
ACH-000078,-0.18335672402076367
ACH-000082,-0.14534782517495262
ACH-000085,-0.10953904951856894
ACH-000086,-0.09317072838296127
ACH-000087,-0.2003151766565638
ACH-000092,-0.16899625941623725
ACH-000095,-0.19272683585549785
ACH-000097,-0.02372136579640347
ACH-000098,-0.08675241473686646
ACH-000099,-0.03416399758164935
ACH-000108,-0.04268780567219446
ACH-000113,0.01742852481403903
ACH-000116,-0.019779697442192892
ACH-000118,-0.12605170421420306
ACH-000120,-0.00545459278644147
ACH-000123,-0.16003557051208184
ACH-000127,-0.14787924951011094
ACH-000128,-0.08503573074098314
ACH-000132,0.0037248116294984813
ACH-000133,-0.13147470319488694
ACH-000137,-0.13939707823714725
ACH-000138,-0.04485583518897558
ACH-000142,-0.09874032262032252
ACH-000143,-0.08018890185529343
ACH-000146,-0.055635229006184436
ACH-000148,-0.13392231075134362
ACH-000150,-0.04550556298279601
ACH-000152,-0.12901493974723813
ACH-000153,-0.051072293165186515
ACH-000159,-0.04457110814456778
ACH-000160,0.035655024924786165
ACH-000163,-0.11890522945436008
ACH-000167,-0.004810243693752347
ACH-000168,-0.008804119870390209
ACH-000169,-0.04107882116797865
ACH-000178,-0.05448621295467855
ACH-000183,-0.0027465803774307357
ACH-000188,-0.11630412103706743
ACH-000189,-0.07055634825318093
ACH-000190,-0.0006820181399909246
ACH-000198,-0.052734387883939415
ACH-000203,0.08860806995576824
ACH-000204,-0.08696705467723298
ACH-000206,-0.023721276060386223
ACH-000207,0.026911951855720626
ACH-000208,-0.2868987376867174
ACH-000210,-0.1876091538175184
ACH-000211,0.04346806398213728
ACH-000215,-0.1400771458215154
ACH-000221,-0.1285476497841512
ACH-000222,-0.19820284544262146
ACH-000223,-0.10913670205154888
ACH-000226,-0.048147477610439235
ACH-000227,-0.04396580812974181
ACH-000228,0.006630129574828869
ACH-000231,-0.07769486278587476
ACH-000232,-0.18688583125367167
ACH-000233,-0.10411495344132364
ACH-000234,-0.14889959052928928
ACH-000235,-0.08025657141514678
ACH-000237,-0.09981592259976783
ACH-000238,-0.05218906614059023
ACH-000242,-0.039104102262163265
ACH-000243,-0.061839308219356875
ACH-000244,0.046266118791622256
ACH-000246,-0.07071802494866257
ACH-000248,0.03639229175995247
ACH-000250,-0.1261509956659046
ACH-000251,0.0037950188865890273
ACH-000252,0.051865208552521365
ACH-000253,-0.14854183127233936
ACH-000255,-0.09672458728418888
ACH-000256,-0.04415292001245285
ACH-000257,0.15714758350646624
ACH-000258,0.048449930899638734
ACH-000259,-0.15383622147523587
ACH-000260,-0.1367789431917454
ACH-000261,-0.0949572496815336
ACH-000262,-0.07628072478619669
ACH-000263,0.06947983738665932
ACH-000264,-0.16594216551251215
ACH-000265,0.0
ACH-000266,-0.06587083161756767
ACH-000272,-0.08053224179465239
ACH-000274,-0.0017939823100332304
ACH-000277,0.011590703152538764
ACH-000278,0.06637075770029326
ACH-000279,0.07874751797424676
ACH-000280,-0.1312527091034818
ACH-000281,-0.1637685428328777
ACH-000288,-0.1508492751858361
ACH-000291,-0.08566596755151902
ACH-000293,-0.07353025668058111
ACH-000294,-0.08763683316989564
ACH-000295,0.07132615004482562
ACH-000296,-0.08223400599152456
ACH-000302,-0.004248253184150064
ACH-000304,0.0765566154279875
ACH-000307,-0.10216379899513438
ACH-000308,-0.1126922966903174
ACH-000310,-0.20943766242444445
ACH-000311,-0.2056873239671192
ACH-000312,-0.14928156648731186
ACH-000315,0.016459389862438358
ACH-000316,-0.06378413228776933
ACH-000317,-0.07473317810237748
ACH-000318,-0.14817593055591147
ACH-000319,-0.1053645349379768
ACH-000320,-0.04438400807659199
ACH-000322,-0.08506167508123046
ACH-000323,-0.03851737239604899
ACH-000324,-0.06393940173533796
ACH-000329,-0.09471378914264664
ACH-000330,-0.1203836742838018
ACH-000331,-0.06729767767129206
ACH-000332,-0.08315445266850753
ACH-000334,0.017693279850767258
ACH-000335,-0.27022274066822377
ACH-000336,-0.2025897891803461
ACH-000337,-0.0018731470012389641
ACH-000338,-0.17337058164978406
ACH-000339,-0.0824783066844634
ACH-000341,-0.17143607394095536
ACH-000348,-0.11298577104784448
ACH-000350,-0.17022691816391233
ACH-000352,-0.07394274577595188
ACH-000356,-0.1869253427278639
ACH-000361,-0.13824293904541718
ACH-000362,-0.1453602219247303
ACH-000363,-0.126008819379721
ACH-000364,-0.05334205762657299
ACH-000365,-0.07770060678718804
ACH-000366,-0.07124067777065457
ACH-000368,-0.015377008013977981
ACH-000374,-0.16195127672992193
ACH-000375,-0.05273567261433465
ACH-000376,-0.19391225847952048
ACH-000381,-0.0198122407866233
ACH-000383,-0.1720158313763691
ACH-000387,-0.002746946689032864
ACH-000389,0.0920959886570291
ACH-000390,-0.11243416859287364
ACH-000393,-0.04561362216949519
ACH-000395,-0.19880410011656385
ACH-000396,0.14207092654237855
ACH-000397,0.03586779071154292
ACH-000401,-0.012728647616519222
