,PVRIG (79037)
ACH-000004,0.04544554655403686
ACH-000005,0.20016027543505785
ACH-000007,-0.04362221742959374
ACH-000009,-0.0310371415545936
ACH-000011,-0.029904951946600013
ACH-000012,-0.042784857025769715
ACH-000013,0.09220492757275073
ACH-000014,-0.07472530822578022
ACH-000015,0.075028507954777
ACH-000017,-0.06945331651656346
ACH-000018,-0.0008509690116665964
ACH-000019,0.25298276762730537
ACH-000021,-0.22010026873314825
ACH-000022,-0.057438039442105925
ACH-000025,0.08985119598711297
ACH-000028,-0.04180815113119417
ACH-000030,0.04212423446644982
ACH-000035,0.004683477840733144
ACH-000036,0.010435427045438
ACH-000037,-0.018214044499811247
ACH-000039,-0.01706141651618288
ACH-000040,-0.1135390332669595
ACH-000041,0.13167487111656082
ACH-000042,-0.06014518941607589
ACH-000045,-0.05377970168170206
ACH-000047,-0.18738992714453384
ACH-000052,-0.021014544892648482
ACH-000053,0.09951995740303456
ACH-000054,0.021699862333006654
ACH-000055,-0.1891769597944072
ACH-000060,0.0001954289024417564
ACH-000067,-0.2717870238715309
ACH-000070,0.07522961642217581
ACH-000075,-0.054398149561843946
ACH-000078,-0.014674884542474141
ACH-000082,-0.08028137076294695
ACH-000085,0.04682532562461138
ACH-000086,0.12415409661709005
ACH-000087,-0.3632057859966207
ACH-000092,0.06546336211830299
ACH-000095,-0.1036717782748958
ACH-000097,-0.03645469891898823
ACH-000098,-0.008252096384811492
ACH-000099,-0.07304738405852798
ACH-000108,0.05850471287346741
ACH-000113,-0.15914551745926533
ACH-000116,0.00892416893183485
ACH-000118,0.09459209787973344
ACH-000120,-0.0006366313581299123
ACH-000123,0.20967940116819744
ACH-000127,-0.08169790868291718
ACH-000128,-0.1535606909134859
ACH-000132,-0.061702137209314424
ACH-000133,-0.02563234617007033
ACH-000137,0.039370771508640906
ACH-000138,0.03241471678544758
ACH-000142,-0.2301671512090923
ACH-000143,-0.025466086005207826
ACH-000146,0.05106147445880208
ACH-000148,0.05290588740358038
ACH-000150,0.12115783110656547
ACH-000152,0.08624438512279227
ACH-000153,-0.16583928192669084
ACH-000159,-0.0891929112535282
ACH-000160,-0.11679183448039387
ACH-000163,-0.04630724489244938
ACH-000167,-0.07110517618028525
ACH-000168,-0.2346084894522861
ACH-000169,0.04821370946565254
ACH-000178,-0.04571632019893393
ACH-000183,0.015673302733603615
ACH-000188,0.012307000017747415
ACH-000189,0.051919358522422486
ACH-000190,-0.1449251448932219
ACH-000198,-0.08998830742047165
ACH-000203,0.03772915065066894
ACH-000204,-0.1414588285356278
ACH-000206,0.013308209926107872
ACH-000207,0.028061324414820392
