,HAGHL (84264)
ACH-000004,0.07469500033487413
ACH-000005,-0.10051574395462468
ACH-000007,0.05015557565728189
ACH-000009,0.03870837769258191
ACH-000011,-0.08242877895468506
ACH-000012,0.010734861018981804
ACH-000013,-0.013072420022337094
ACH-000014,0.057563832549756826
ACH-000015,-0.08763203168516359
ACH-000017,-0.04330596681922276
ACH-000018,0.11264531772869067
ACH-000019,0.03619278931690157
ACH-000021,-0.07641439807415458
ACH-000022,-0.024949003220206368
ACH-000025,-0.09698298676897878
ACH-000028,-0.00040287693721700136
ACH-000030,-0.005176543657424748
ACH-000035,0.1076000101128165
ACH-000036,-0.15707469026430942
ACH-000037,-0.044163640969655436
ACH-000039,-0.16880427891289093
ACH-000040,-0.12568022323459302
ACH-000041,0.03432784586660333
ACH-000042,0.07913021827006297
ACH-000045,-0.17811611996694113
ACH-000047,-0.12401079401715115
ACH-000052,0.10203569799790274
ACH-000053,-0.06861212083261384
ACH-000054,0.06078305725135071
ACH-000055,0.08310099183785137
ACH-000060,-0.0607869925877633
ACH-000067,-0.03952265614483778
ACH-000070,0.12242373207045915
ACH-000075,-0.2963848734618545
ACH-000078,-0.09837987285638987
ACH-000082,0.02785173092507253
ACH-000085,-0.19664134420443502
ACH-000086,0.09228561107724068
ACH-000087,-0.0420391662538382
ACH-000092,0.002699929685780267
ACH-000095,-0.04391489384403068
ACH-000097,-0.008574989515734181
ACH-000098,0.08109820487427016
ACH-000099,0.02326003794200329
ACH-000108,-0.01132644536953525
ACH-000113,-0.06750703254469241
ACH-000116,-0.008825159711889251
ACH-000118,-0.00922613399446336
ACH-000120,-0.15605247099521008
ACH-000123,0.07735175451648665
ACH-000127,0.05419011956501122
ACH-000128,-0.022167219003830552
ACH-000132,-0.07060698432607555
ACH-000133,-0.18174152607235286
ACH-000137,-0.004081519233318714
ACH-000138,0.09091640534823132
ACH-000142,-0.06543246730340574
ACH-000143,-0.08463843693785818
ACH-000146,0.016618676127458255
ACH-000148,-0.1199931326976498
ACH-000150,0.055271728310645904
ACH-000152,-0.05677693329716803
ACH-000153,0.030437201407488092
ACH-000159,0.009972874587823685
ACH-000160,-0.003435594783576204
ACH-000163,-0.042195071400893104
ACH-000167,-0.0362545197299573
ACH-000168,-0.00701697813553029
ACH-000169,0.0654115355263966
ACH-000178,-0.023604596616227914
ACH-000183,-0.03194267782308318
ACH-000188,-0.008975348633532396
ACH-000189,0.08148014144562199
ACH-000190,0.0904914554553918
ACH-000198,0.04524305741073293
ACH-000203,0.108772453297774
ACH-000204,0.11351850302891743
ACH-000206,0.01232372708199209
ACH-000207,0.015412023416713291
ACH-000208,0.072999628637258
ACH-000210,-0.06805208044570657
ACH-000211,0.10340940901904076
ACH-000215,0.028321916782376506
ACH-000221,-0.0547455715978144
ACH-000222,-0.203049313360308
ACH-000223,-0.007633693883521436
ACH-000226,0.11340306111528325
ACH-000227,0.12266607170964998
ACH-000228,0.0483275971090044
ACH-000231,-0.0780566136597945
