,TES (26136)
ACH-000004,-0.015076043458578147
ACH-000005,-0.33244494453783385
ACH-000007,-0.18031368695546812
ACH-000009,-0.05261855290968222
ACH-000011,-0.22336219770770668
ACH-000012,-0.12689783642538474
ACH-000013,-0.059384864481298885
ACH-000014,-0.15594140407389628
ACH-000015,-0.07544142100447689
ACH-000017,0.10298124169499362
ACH-000018,-0.18580786950343905
ACH-000019,-0.03543105358154135
ACH-000021,-0.17386779916629147
ACH-000022,-0.02817931950362554
ACH-000025,-0.02814015815837917
ACH-000028,0.01983393067366137
ACH-000030,0.01432557645819667
ACH-000035,-0.13311639084521334
ACH-000036,-0.058709790505653024
ACH-000037,-0.030722263761733336
ACH-000039,-0.09979840212420098
ACH-000040,-0.04531570340770432
ACH-000041,-0.0817448598127204
ACH-000042,-0.10172504959537804
ACH-000045,-0.04352023448281128
ACH-000047,-0.07929892519227448
ACH-000052,-0.193507404790941
ACH-000053,-0.06114134765982152
ACH-000054,-0.1941396688283464
ACH-000055,-0.08578033956263273
ACH-000060,-0.08546671088106922
ACH-000067,-0.18383624138352295
ACH-000070,0.08812888638604616
ACH-000075,0.1202477878033661
ACH-000078,-0.0931353151534505
ACH-000082,-0.12821020983292195
ACH-000085,-0.034608389165860336
ACH-000086,0.04284896031098795
ACH-000087,0.061197073609932276
ACH-000092,-0.10797722770678307
ACH-000095,-0.04467103335096993
ACH-000097,-0.11043665946444953
ACH-000098,-0.06580097177262619
ACH-000099,-0.051348041487073885
ACH-000108,-0.07732547486355637
ACH-000113,0.003505452393162814
ACH-000116,-0.051951336758326666
ACH-000118,-0.03659671027818901
ACH-000120,-0.034483672058275835
ACH-000123,0.027159579493335338
ACH-000127,-0.09047927469794884
ACH-000128,-0.06987038874718461
ACH-000132,-0.0017083008497923915
ACH-000133,-0.09697229028211532
ACH-000137,-0.03389144756527635
ACH-000138,-0.01912168265704419
ACH-000142,-0.08805351083598109
ACH-000143,-0.038872091453031804
ACH-000146,0.01765710233812583
ACH-000148,-0.011141750770013987
ACH-000150,-0.056768847574266486
ACH-000152,-0.05927460807068961
ACH-000153,-0.04250067798378875
ACH-000159,-0.1270672851307829
ACH-000160,-0.04695843798363671
ACH-000163,-0.0854474224660932
ACH-000167,-0.07570961820592077
ACH-000168,0.15640549709593304
