,GML (2765)
ACH-000004,-0.17792704319613006
ACH-000005,-0.019953341149646583
ACH-000007,-0.04667742115841453
ACH-000009,-0.09179057730745148
ACH-000011,-0.21088533747258106
ACH-000012,-0.21993338717961686
ACH-000013,-0.0965088222426842
ACH-000014,-0.21274367708815056
ACH-000015,-0.2283892379402992
ACH-000017,-0.2771130135183366
ACH-000018,-0.04546532962054738
ACH-000019,-0.10805361961343356
ACH-000021,-0.06528385209108531
ACH-000022,-0.3733635416137217
ACH-000025,-0.0763194896725726
ACH-000028,-0.09089019987135318
ACH-000030,-0.1392754794427447
ACH-000035,-0.3743196641332718
ACH-000036,-0.2184185969852966
ACH-000037,-0.19310647325144067
ACH-000039,-0.13619015444581611
ACH-000040,-0.22102192142606186
ACH-000041,0.05355533721606752
ACH-000042,-0.3586577181762241
ACH-000045,-0.12532255634502987
ACH-000047,-0.15411848094717212
ACH-000052,-0.07050356772415144
ACH-000053,-0.3132959005227952
ACH-000054,-0.2305035133565185
ACH-000055,-0.19272009260190595
ACH-000060,-0.3347101791255244
ACH-000067,-0.2816048557824952
ACH-000070,-0.10760060061211914
ACH-000075,-0.214589713322182
ACH-000078,-0.17897029129203082
ACH-000082,-0.11578247469620788
ACH-000085,-0.2425151524747857
ACH-000086,-0.2489945062988591
ACH-000087,0.03291968959745726
ACH-000092,-0.1960462662633182
ACH-000095,-0.046735676235684
ACH-000097,-0.3216821404760298
ACH-000098,-0.09356906344891583
ACH-000099,-0.00911599223725918
ACH-000108,-0.13825492852133126
ACH-000113,-0.3111977844057334
ACH-000116,-0.04906014491062615
ACH-000118,-0.26012159228994736
ACH-000120,0.010246371297033471
ACH-000123,-0.14700369306392866
ACH-000127,-0.07223304718937604
ACH-000128,-0.1448206931989961
ACH-000132,-0.1255604281906633
ACH-000133,-0.04423936326355669
ACH-000137,-0.06524161834504041
ACH-000138,-0.2750296997097462
ACH-000142,-0.14811514418438992
ACH-000143,0.03129183176151246
ACH-000146,-0.2713208049399184
ACH-000148,-0.1873600515400706
ACH-000150,-0.5258552016390328
ACH-000152,-0.12285426533952205
ACH-000153,-0.20227481606370426
ACH-000159,-0.2263380079580929
ACH-000160,-0.2439605000552658
ACH-000163,-0.154605416503683
ACH-000167,-0.2357133298027041
ACH-000168,-0.053145413493173255
ACH-000169,-0.2318932016179256
ACH-000178,-0.099689454693027
ACH-000183,-0.049273723766303484
ACH-000188,-0.24131721681148696
ACH-000189,-0.05935675778879085
ACH-000190,-0.08343185969657864
ACH-000198,-0.059191918724409875
ACH-000203,-0.0462609718230339
ACH-000204,0.07176148925120461
ACH-000206,-0.03086132514285398
ACH-000207,-0.20772007039344528
ACH-000208,-0.019907686478191147
ACH-000210,0.0021502996926332013
ACH-000211,-0.1019792953116236
ACH-000215,-0.1989238690146426
ACH-000221,-0.042546059110331234
ACH-000222,-0.3439793217617688
ACH-000223,-0.1115715268626563
ACH-000226,0.05668766113574283
ACH-000227,-0.016114681922535328
ACH-000228,-0.23838613965502026
ACH-000231,-0.1339848251585102
ACH-000232,-0.15623124435438684
ACH-000233,-0.16940854205150868
ACH-000234,-0.21944169095399524
ACH-000235,-0.2685497164974921
ACH-000237,-0.15043738022024913
ACH-000238,-0.24294927837322824
ACH-000242,-0.1761794442687804
ACH-000243,-0.18185364760030445
ACH-000244,-0.3085405175306908
ACH-000246,-0.12125598910110033
ACH-000248,-0.25693519815347593
ACH-000250,-0.20352588097696966
ACH-000251,-0.15439492179677286
ACH-000252,-0.1240681026241098
ACH-000253,-0.1984055513455172
ACH-000255,-0.05531672461054665
ACH-000256,-0.16488001322799933
ACH-000257,0.15289689936300585
ACH-000258,-0.3785630346778673
ACH-000259,-0.18072910341848133
ACH-000260,-0.2586141717801656
ACH-000261,-0.04828068555020863
ACH-000262,-0.18978572418361436
ACH-000263,-0.3442446675248297
ACH-000264,-0.1675786574538128
ACH-000265,-0.15094744222386525
ACH-000266,-0.17639935806430518
ACH-000272,-0.0714165170881528
ACH-000274,-0.05514849766023538
ACH-000277,0.016209958612897285
ACH-000278,-0.06345137314666935
ACH-000279,-0.07756520326616351
ACH-000280,-0.37539350094180335
ACH-000281,-0.19537715084534152
ACH-000288,0.03347183100536032
ACH-000291,-0.19280949343125456
ACH-000293,-0.1829836051819836
ACH-000294,-0.09778396791083696
ACH-000295,-0.06908419022614584
ACH-000296,-0.07052876980032677
ACH-000302,-0.11112870958532528
ACH-000304,0.16471600625947516
ACH-000307,-0.2005607512124442
ACH-000308,-0.16949185017129698
ACH-000310,-0.041759502123881166
ACH-000311,-0.12363205757675505
ACH-000312,-0.1198064434284179
ACH-000315,-0.21417942873549276
ACH-000316,-0.092827738659949
ACH-000317,-0.2500524698092895
ACH-000318,-0.17401191962240373
ACH-000319,-0.09482804592197752
ACH-000320,-0.20287629585049186
ACH-000322,-0.17027432303017692
ACH-000323,-0.07134410411376191
ACH-000324,-0.12611867102189184
