,PALB2 (79728)
ACH-000004,-0.3267754396354431
ACH-000005,-0.31792395256922834
ACH-000007,-0.7750422600940291
ACH-000009,-0.13698580776451524
ACH-000011,-0.5764799057977976
ACH-000012,-0.3994664431071102
ACH-000013,-0.4330865671769233
ACH-000014,-0.565406559201303
ACH-000015,-0.5759330045711347
ACH-000017,-0.3538964944950573
ACH-000018,-0.33351778225852385
ACH-000019,-0.6530298663660998
ACH-000021,-0.4312101921077016
ACH-000022,-0.14666293630159855
ACH-000025,-0.466136068577315
ACH-000028,-0.6351068816753171
ACH-000030,-0.3400169623494882
ACH-000035,-0.20453938982973405
ACH-000036,-0.32461251023216525
ACH-000037,-0.452632821773416
ACH-000039,-0.4423415958213528
ACH-000040,-0.31148683879797623
ACH-000041,-0.2509365167459571
ACH-000042,-0.2085197209544053
ACH-000045,-0.19573784758100427
ACH-000047,-0.4789663449167297
ACH-000052,-0.3692089623147567
ACH-000053,-0.26452064889918725
ACH-000054,-0.4443419357729761
ACH-000055,-0.4701855295841928
ACH-000060,-0.4582519884744569
ACH-000067,-0.2977378060011839
ACH-000070,-0.4681069251785389
ACH-000075,-0.6719183388703547
ACH-000078,-0.13301508416534907
ACH-000082,-0.29290664322517795
ACH-000085,-0.4367373543788745
ACH-000086,-0.2069496837503832
ACH-000087,-0.24779788486797216
ACH-000092,-0.14862330117655426
ACH-000095,-0.11841809039610332
ACH-000097,-0.5045054200899289
ACH-000098,-0.5161302019060805
ACH-000099,-0.33274214932030793
ACH-000108,-0.3681809632560081
ACH-000113,-0.2873955723073257
ACH-000116,-0.1825859374432345
ACH-000118,-0.696917106307133
ACH-000120,-0.5560023953270797
ACH-000123,-0.3696547848036584
ACH-000127,-0.1131268150783103
ACH-000128,-0.3135024497165481
ACH-000132,-0.5552545395569035
ACH-000133,-0.2071833019102328
ACH-000137,-0.4723700747217548
ACH-000138,-0.3401596351361202
ACH-000142,-0.5853513044260825
ACH-000143,-0.2985061743134637
ACH-000146,-0.2412140915981396
ACH-000148,-0.3034621506413895
ACH-000150,-0.26240150933013234
ACH-000152,-0.4381868576348987
ACH-000153,-0.5421859820705214
ACH-000159,-0.4401682628277427
ACH-000160,-0.09654939158945676
ACH-000163,-0.21642805091598072
ACH-000167,-0.2417611824872767
ACH-000168,-0.23699184644088755
ACH-000169,-0.4714813804380413
ACH-000178,-0.3707404838267227
ACH-000183,-0.3757776802845023
ACH-000188,-0.4160775549825137
ACH-000189,-0.38693416553657
ACH-000190,-0.24197288152700155
ACH-000198,-0.21478235476866728
ACH-000203,-0.2769517920717411
ACH-000204,-0.27693571804740585
ACH-000206,-0.33816915262411146
ACH-000207,-0.28220991528248823
ACH-000208,-0.9589109879091798
ACH-000210,-0.40167420161433065
ACH-000211,-0.4626992942518994
ACH-000215,-0.4040860413266192
ACH-000221,-0.7193908187377857
ACH-000222,-0.2386970572643969
ACH-000223,-0.4749152728910456
ACH-000226,-0.5131564687598776
ACH-000227,-0.08339988735601749
ACH-000228,-0.7318563196047342
ACH-000231,-0.5086111405538762
ACH-000232,-0.5366271548290086
ACH-000233,-0.5130750803110236
ACH-000234,-0.3149640297982103
ACH-000235,-0.35297162679934496
ACH-000237,-0.5844267595438613
ACH-000238,-0.1851397966031143
ACH-000242,-0.23011564288743064
ACH-000243,-0.515952300831057
ACH-000244,-0.5912449479611604
ACH-000246,-0.3256924287786142
ACH-000248,-0.3917843244391999
ACH-000250,-0.26197474420191746
ACH-000251,-0.6923652038010096
ACH-000252,-0.3152773931986973
ACH-000253,-0.1873146590584872
ACH-000255,-0.6461922445614555
ACH-000256,-0.3507526984184329
ACH-000257,-0.25690814080982505
ACH-000258,-0.5198866039474125
ACH-000259,-0.4680988340410716
ACH-000260,-0.6400227558335849
ACH-000261,-0.5602066732140358
ACH-000262,-0.21922076816192188
ACH-000263,-0.09519329285336382
ACH-000264,-0.4290864507374648
ACH-000265,-0.5216679713642225
ACH-000266,-0.4857992701136375
ACH-000272,-0.2264494211963575
ACH-000274,-0.4802809390430682
ACH-000277,-0.3806308206599533
