,HIST1H3I (8354)
ACH-000004,-0.4530251970182786
ACH-000005,-0.4029882543192365
ACH-000007,-0.2450814216659477
ACH-000009,-0.16771514604754267
ACH-000011,-0.3366783318364664
ACH-000012,-0.3021022429593794
ACH-000013,0.04472219494455183
ACH-000014,-0.4707528672665814
ACH-000015,-0.07268210345945429
ACH-000017,-0.3259030665473062
ACH-000018,-0.25788623780866804
ACH-000019,-0.2124796246788056
ACH-000021,-0.20151178326738384
ACH-000022,-0.481501462127814
ACH-000025,-0.2886325752053036
ACH-000028,-0.29682924878303835
ACH-000030,-0.13166607106544265
ACH-000035,-0.5963775430705883
ACH-000036,-0.31758797985834303
ACH-000037,-0.1928215381431269
ACH-000039,-0.3227674775162804
ACH-000040,-0.32088630641263755
ACH-000041,-0.16932254331997176
ACH-000042,-0.21995155630544988
ACH-000045,-0.2947329819901673
ACH-000047,-0.0553149888348406
ACH-000052,-0.4892522420352845
ACH-000053,-0.19147425888113306
ACH-000054,-0.2917736122378934
ACH-000055,-0.27814347268420025
ACH-000060,-0.1944104359370747
ACH-000067,-0.4714534617010879
ACH-000070,-0.5072759640697346
ACH-000075,-0.4628858566313243
ACH-000078,-0.2455170394047228
ACH-000082,-0.35665307693766524
ACH-000085,-0.13076763971343303
ACH-000086,-0.6623194178629371
ACH-000087,-0.19088334833698792
ACH-000092,-0.3341229243557854
ACH-000095,-0.10369928944852637
ACH-000097,-0.1716257827504461
ACH-000098,-0.2899117698331297
ACH-000099,-0.3183230018135567
ACH-000108,-0.20872612793881687
ACH-000113,-0.3830608851712711
ACH-000116,-0.12401467867126033
ACH-000118,-0.318650500850155
ACH-000120,-0.1183397909203594
ACH-000123,-0.19952414097149984
ACH-000127,-0.24375677974766466
ACH-000128,-0.29569002964042185
ACH-000132,-0.1471035986508401
ACH-000133,-0.35443208295184425
ACH-000137,-0.25160932355755417
ACH-000138,-0.3888851067201941
ACH-000142,-0.4408155267603048
ACH-000143,-0.20276711964057115
ACH-000146,-0.2692126584022013
ACH-000148,-0.2196033476053774
ACH-000150,-0.2577071019930458
ACH-000152,-0.3345724006530689
ACH-000153,-0.2023364074376832
ACH-000159,-0.17266502623892127
ACH-000160,-0.4449850280027996
ACH-000163,-0.4177795647010031
ACH-000167,-0.7610102806230167
ACH-000168,-0.3216381340967073
ACH-000169,-0.4287266647045984
ACH-000178,-0.38084797495385403
ACH-000183,-0.16730363657309452
ACH-000188,-0.5809131437719975
ACH-000189,-0.5242465491151265
ACH-000190,-0.5192514779398801
ACH-000198,-0.4411468408222607
ACH-000203,-0.10507600088597707
ACH-000204,-0.07807439967795388
ACH-000206,-0.6415454215533869
ACH-000207,-0.28369596637570826
ACH-000208,-0.3186160476315367
ACH-000210,-0.09587846049441474
ACH-000211,-0.2504101237909006
ACH-000215,-0.3184061654413644
ACH-000221,-0.3408525344114567
ACH-000222,-0.4095586317576144
ACH-000223,-0.4838938225929015
ACH-000226,-0.12587546977761455
ACH-000227,-0.26917736205364795
ACH-000228,-0.2740151571966628
ACH-000231,-0.5448707631665124
ACH-000232,-0.22564460093430636
ACH-000233,-0.2983382719710138
ACH-000234,-0.3748900775705344
ACH-000235,-0.2338025027337059
ACH-000237,-0.19475964187217415
ACH-000238,-0.2821195318922997
ACH-000242,-0.2409276109848429
ACH-000243,-0.4327028588190109
ACH-000244,0.08633589178859531
ACH-000246,-0.19790115931638533
ACH-000248,-0.19397026532107603
ACH-000250,-0.3373378147655193
ACH-000251,-0.6908820240602616
ACH-000252,-0.249017607653592
ACH-000253,-0.17154370788948198
ACH-000255,-0.11856015729301812
ACH-000256,-0.4614032457295922
ACH-000257,-0.14236117755881547
ACH-000258,-0.2516424088437416
ACH-000259,-0.3022522327482932
ACH-000260,-0.29638813059320035
ACH-000261,-0.16179970646457628
ACH-000262,0.01876114112458861
ACH-000263,-0.38422924926299934
ACH-000264,-0.2993104715967863
ACH-000265,-0.3463251821280138
ACH-000266,-0.2594191645219299
ACH-000272,-0.16409445043484944
ACH-000274,-0.1705257574909174
ACH-000277,-0.2049588013959951
ACH-000278,-0.19291021367847996
ACH-000279,-0.17567275781395045
ACH-000280,-0.1308477418153538
ACH-000281,-0.2986018624111875
ACH-000288,-0.2272588541219093
ACH-000291,-0.279613569972778
ACH-000293,-0.3375740278791277
ACH-000294,-0.2365673855337959
ACH-000295,-0.0839679057999722
ACH-000296,-0.23138264423018445
ACH-000302,-0.023913542998948243
ACH-000304,-0.37239893697894016
ACH-000307,-0.2030588351166304
ACH-000308,-0.15685081348491495
ACH-000310,-0.2861267572076629
ACH-000311,-0.18695878050343345
ACH-000312,-0.16387015084459988
ACH-000315,-0.07649688256499856
ACH-000316,-0.426885205687383
ACH-000317,-0.400389740882528
ACH-000318,-0.2649204052232594
ACH-000319,-0.5235218476801017
ACH-000320,-0.4757979644051479
ACH-000322,-0.2667014423559029
ACH-000323,-0.2623855384009396
ACH-000324,-0.25898426891875265
ACH-000329,-0.2951030552728788
ACH-000330,-0.14028737262945626
ACH-000331,-0.3101282776766865
ACH-000332,-0.3100795682481684
ACH-000334,-0.5713741812785234
ACH-000335,-0.10954133388092956
ACH-000336,-0.3144944003220978
ACH-000337,-0.2600968677770162
ACH-000338,-0.25016319251703306
ACH-000339,-0.1903117393012104
ACH-000341,-0.5509415273588372
ACH-000348,-0.3914501131242429
ACH-000350,0.08159732313563921
ACH-000352,-0.12161263010103887
ACH-000356,-0.16648687927243472
ACH-000361,-0.16545968017031487
ACH-000362,-0.3642120648094949
ACH-000363,-0.2404158883775617
ACH-000364,-0.0640827891240304
ACH-000365,0.004406187770998818
ACH-000366,-0.03531577632313425
ACH-000368,-0.2340207866213063
ACH-000374,-0.3977995452515144
ACH-000375,0.044759830517253615
ACH-000376,-0.12657588581123835
ACH-000381,-0.12243866643348933
ACH-000383,-0.22105436980444929
ACH-000387,-0.4107599541124973
ACH-000389,0.07161025164590422
ACH-000390,-0.12893277300459616
ACH-000393,-0.3665208905697856
ACH-000395,-0.3812089063101002
ACH-000396,-0.042964766015027286
ACH-000397,-0.12353701650730092
ACH-000401,-0.34645871937883943
ACH-000402,-0.05175207070718018
ACH-000403,-0.24545600069838636
ACH-000404,-0.2467251219318789
ACH-000406,-0.2854869406601751
ACH-000407,-0.21070520423115324
ACH-000408,-0.22843628042989506
ACH-000410,-0.113882289359202
ACH-000411,-0.099189275285275
ACH-000414,-0.4209499623845305
ACH-000415,-0.25105624279397953
ACH-000416,-0.24930221428210586
ACH-000420,-0.15257777000188788
ACH-000421,-0.1864803028254674
ACH-000424,-0.016431156515674686
ACH-000425,-0.22917590568415144
ACH-000426,-0.08640847092845512
ACH-000427,-0.16843497364870036
ACH-000433,-0.4109426108127113
ACH-000435,-0.3155881164788515
ACH-000436,-0.2603843129567355
ACH-000444,-0.21586970942529726
ACH-000445,-0.19331044777611006
ACH-000448,-0.05231188745921166
ACH-000450,-0.5359483353587003
ACH-000452,-0.5146139807151217
ACH-000454,-0.2497922852946565
ACH-000458,-0.21855488512695545
ACH-000459,-0.28191895549394075
ACH-000460,-0.1927730607595838
ACH-000461,-0.3340457290053184
ACH-000463,-0.3287353391746202
ACH-000464,-0.1917513832854429
ACH-000466,-0.23247759296306786
ACH-000467,-0.3317689451217977
ACH-000468,-0.2808469937947525
ACH-000469,-0.35192880740702115
ACH-000470,-0.2945726755446683
ACH-000471,-0.04567677624841153
ACH-000472,-0.2326230822551479
ACH-000473,-0.18211760148071424
ACH-000475,-0.2158074318182226
ACH-000476,-0.08388220529639276
ACH-000477,-0.2406668404903541
ACH-000479,-0.5867697824623049
ACH-000480,-0.30956338295716385
ACH-000481,-0.2359294749291669
ACH-000483,-0.20877756893173996
ACH-000484,-0.2266951792350104
ACH-000485,-0.2895971153438111
ACH-000486,-0.3121407001329479
ACH-000487,-0.6218392338017668
ACH-000488,-0.3152496525637298
ACH-000490,-0.33109962957665795
ACH-000491,-0.3458253613976591
ACH-000495,-0.23536282966715275
ACH-000496,-0.30371647123741274
ACH-000499,-0.5324581372015935
ACH-000500,0.03954110973390902
ACH-000502,-0.1044252807845283
ACH-000503,-0.14947611726121388
ACH-000505,-0.3150657647542505
ACH-000507,-0.2398140183806337
ACH-000510,-0.19628075978253326
ACH-000511,-0.4054275115568466
ACH-000512,-0.4766642569426535
ACH-000516,-0.40044878508364296
ACH-000517,-0.36990784880859023
ACH-000518,-0.3823379774796716
ACH-000520,-0.21101523977359632
ACH-000521,-0.14754589842919932
ACH-000522,-0.4313256823723983
ACH-000524,-0.286881402305606
ACH-000527,-0.11252773165510432
ACH-000528,-0.1679653843341091
ACH-000537,-0.41014728592254746
ACH-000541,-0.2962913711885309
ACH-000542,-0.3316206678249381
ACH-000544,-0.6651359560414503
ACH-000545,-0.3768606877788897
ACH-000547,0.01510112414525454
ACH-000548,-0.4355437117303707
ACH-000549,-0.2236062632880248
ACH-000550,-0.3935566495608127
ACH-000552,-0.20137325919562415
ACH-000556,-0.2936490262124405
ACH-000557,-0.16353809804898226
ACH-000569,-0.12741830064517568
